date,visitors
2016-07-01,41
2016-07-02,53
2016-07-03,19
2016-07-04,19
2016-07-05,22
2016-07-06,38
2016-07-07,31
2016-07-08,17
2016-07-09,55
2016-07-10,27
2016-07-11,18
2016-07-12,44
2016-07-13,23
2016-07-14,27
2016-07-15,34
2016-07-16,77
2016-07-17,49
2016-07-18,15
2016-07-19,23
2016-07-20,24
2016-07-21,27
2016-07-22,20
2016-07-23,41
2016-07-24,23
2016-07-25,27
2016-07-26,17
2016-07-27,24
2016-07-28,32
2016-07-29,6
2016-07-30,47
2016-07-31,17
2016-08-01,16
2016-08-02,17
2016-08-03,18
2016-08-04,16
2016-08-05,23
2016-08-06,19
2016-08-07,6
2016-08-08,12
2016-08-09,15
2016-08-10,9
2016-08-11,15
2016-08-12,17
2016-08-13,30
2016-08-14,25
2016-08-15,1
2016-08-18,9
2016-08-19,21
2016-08-20,23
2016-08-21,6
2016-08-22,8
2016-08-23,16
2016-08-24,13
2016-08-25,10
2016-08-26,23
2016-08-27,22
2016-08-28,9
2016-08-30,7
2016-08-31,12
2016-09-01,13
2016-09-02,9
2016-09-03,38
2016-09-04,6
2016-09-05,13
2016-09-06,12
2016-09-07,11
2016-09-08,11
2016-09-09,12
2016-09-10,32
2016-09-11,10
2016-09-12,18
2016-09-13,20
2016-09-14,18
2016-09-15,27
2016-09-16,19
2016-09-17,29
2016-09-18,24
2016-09-19,3
2016-09-20,10
2016-09-21,19
2016-09-22,36
2016-09-23,19
2016-09-24,37
2016-09-25,17
2016-09-26,10
2016-09-27,8
2016-09-28,10
2016-09-29,8
2016-09-30,16
2016-10-01,45
2016-10-02,27
2016-10-03,12
2016-10-04,24
2016-10-06,17
2016-10-07,21
2016-10-08,25
2016-10-09,23
2016-10-10,1
2016-10-11,11
2016-10-12,21
2016-10-13,13
2016-10-14,18
2016-10-15,32
2016-10-16,8
2016-10-17,5
2016-10-18,12
2016-10-19,18
2016-10-20,19
2016-10-21,18
2016-10-22,34
2016-10-23,16
2016-10-24,9
2016-10-25,11
2016-10-26,19
2016-10-27,16
2016-10-28,20
2016-10-29,40
2016-10-30,8
2016-10-31,11
2016-11-01,9
2016-11-02,14
2016-11-03,22
2016-11-04,17
2016-11-05,26
2016-11-06,10
2016-11-07,3
2016-11-08,8
2016-11-09,16
2016-11-10,17
2016-11-11,25
2016-11-12,30
2016-11-13,13
2016-11-14,5
2016-11-15,18
2016-11-16,19
2016-11-17,16
2016-11-18,22
2016-11-19,33
2016-11-20,9
2016-11-21,8
2016-11-22,16
2016-11-23,12
2016-11-24,5
2016-11-25,17
2016-11-26,28
2016-11-27,9
2016-11-28,17
2016-11-29,11
2016-11-30,9
2016-12-01,9
2016-12-02,13
2016-12-03,19
2016-12-04,12
2016-12-05,8
2016-12-06,11
2016-12-07,5
2016-12-08,14
2016-12-09,15
2016-12-10,41
2016-12-11,9
2016-12-12,15
2016-12-13,14
2016-12-14,7
2016-12-15,19
2016-12-16,18
2016-12-17,33
2016-12-18,23
2016-12-19,14
2016-12-20,16
2016-12-21,7
2016-12-22,18
2016-12-23,36
2016-12-24,34
2016-12-25,21
2016-12-26,6
2016-12-27,24
2016-12-28,16
2016-12-29,22
2016-12-30,17
2017-01-06,6
2017-01-07,28
2017-01-08,27
2017-01-09,17
2017-01-10,12
2017-01-11,11
2017-01-12,20
2017-01-13,15
2017-01-14,41
2017-01-15,7
2017-01-16,11
2017-01-17,8
2017-01-18,18
2017-01-19,20
2017-01-20,15
2017-01-21,20
2017-01-22,10
2017-01-23,7
2017-01-24,7
2017-01-25,15
2017-01-26,15
2017-01-27,17
2017-01-28,13
2017-01-29,9
2017-01-30,6
2017-01-31,13
2017-02-01,21
2017-02-02,15
2017-02-03,26
2017-02-04,22
2017-02-05,4
2017-02-06,6
2017-02-07,18
2017-02-08,20
2017-02-09,21
2017-02-10,19
2017-02-11,29
2017-02-12,14
2017-02-13,7
2017-02-14,8
2017-02-15,16
2017-02-16,22
2017-02-17,18
2017-02-18,19
2017-02-19,8
2017-02-20,3
2017-02-21,17
2017-02-22,19
2017-02-23,18
