date,visitors
2016-07-01,16
2016-07-02,16
2016-07-03,14
2016-07-05,16
2016-07-06,20
2016-07-07,14
2016-07-08,16
2016-07-09,13
2016-07-10,16
2016-07-19,17
2016-07-20,16
2016-07-21,16
2016-07-22,16
2016-07-23,16
2016-07-24,16
2016-07-26,16
2016-07-27,14
2016-07-28,16
2016-07-29,16
2016-07-30,16
2016-07-31,16
2016-08-02,16
2016-08-03,15
2016-08-04,16
2016-08-05,16
2016-08-06,20
2016-08-07,30
2016-08-09,14
2016-08-10,17
2016-08-11,16
2016-08-12,16
2016-08-13,16
2016-08-14,32
2016-08-17,16
2016-08-18,16
2016-08-19,15
2016-08-20,16
2016-08-21,16
2016-08-24,14
2016-08-25,16
2016-08-26,16
2016-08-27,16
2016-08-28,16
2016-08-30,16
2016-08-31,15
2016-09-01,16
2016-09-02,16
2016-09-03,16
2016-09-04,16
2016-09-07,16
2016-09-08,12
2016-09-09,15
2016-09-10,16
2016-09-11,16
2016-09-13,16
2016-09-14,16
2016-09-15,16
2016-09-16,16
2016-09-17,16
2016-09-18,15
2016-09-21,17
2016-09-22,16
2016-09-23,16
2016-09-24,18
2016-09-25,16
2016-09-27,15
2016-09-28,14
2016-09-29,15
2016-09-30,16
2016-10-01,16
2016-10-02,31
2016-10-05,16
2016-10-06,16
2016-10-07,16
2016-10-08,16
2016-10-09,16
2016-10-11,14
2016-10-12,16
2016-10-13,10
2016-10-14,16
2016-10-15,16
2016-10-16,30
2016-10-19,16
2016-10-20,16
2016-10-21,17
2016-10-22,16
2016-10-23,32
2016-10-25,16
2016-10-26,16
2016-10-27,16
2016-10-28,18
2016-10-29,16
2016-10-30,16
2016-11-02,15
2016-11-03,16
2016-11-04,16
2016-11-05,16
2016-11-06,33
2016-11-08,16
2016-11-09,16
2016-11-10,16
2016-11-11,16
2016-11-12,16
2016-11-13,16
2016-11-16,16
2016-11-17,16
2016-11-18,16
2016-11-19,16
2016-11-20,16
2016-11-22,11
2016-11-23,16
2016-11-24,15
2016-11-25,15
2016-11-26,16
2016-11-27,16
2016-11-30,16
2016-12-01,16
2016-12-02,14
2016-12-03,16
2016-12-04,16
2016-12-06,16
2016-12-07,15
2016-12-08,16
2016-12-09,16
2016-12-10,16
2016-12-11,16
2016-12-14,16
2016-12-15,16
2016-12-16,15
2016-12-17,16
2016-12-18,16
2016-12-20,15
2016-12-21,14
2016-12-22,16
2016-12-23,17
2016-12-24,16
2016-12-25,18
2016-12-28,17
2016-12-29,16
2016-12-30,16
2017-01-06,16
2017-01-07,16
2017-01-08,16
2017-01-10,16
2017-01-11,15
2017-01-12,16
2017-01-13,16
2017-01-14,16
2017-01-15,16
2017-01-18,16
2017-01-19,16
2017-01-20,16
2017-01-21,15
2017-01-22,32
2017-01-24,16
2017-01-25,16
2017-01-26,15
2017-01-27,16
2017-01-28,16
2017-01-29,32
2017-02-01,16
2017-02-02,16
2017-02-03,16
2017-02-04,14
2017-02-05,31
2017-02-07,11
2017-02-08,26
2017-02-09,16
2017-02-10,16
2017-02-11,16
2017-02-12,32
2017-02-15,15
2017-02-16,17
2017-02-17,16
2017-02-18,16
2017-02-19,26
