date,visitors
2016-07-01,19
2016-07-03,10
2016-07-05,5
2016-07-07,2
2016-07-08,10
2016-07-09,9
2016-07-11,2
2016-07-12,3
2016-07-14,7
2016-07-15,11
2016-07-17,11
2016-07-18,2
2016-07-19,11
2016-07-20,11
2016-07-21,18
2016-07-22,7
2016-07-24,5
2016-07-26,10
2016-07-28,8
2016-07-29,18
2016-07-31,2
2016-08-01,11
2016-08-04,8
2016-08-05,5
2016-08-07,14
2016-08-08,2
2016-08-09,5
2016-08-10,13
2016-08-11,6
2016-08-12,2
2016-08-14,4
2016-08-18,2
2016-08-19,20
2016-08-20,11
2016-08-21,20
2016-08-22,23
2016-08-24,18
2016-08-27,18
2016-08-28,12
2016-08-29,19
2016-09-01,6
2016-09-02,7
2016-09-04,6
2016-09-05,2
2016-09-08,6
2016-09-09,17
2016-09-11,10
2016-09-12,4
2016-09-15,4
2016-09-16,6
2016-09-17,14
2016-09-18,4
2016-09-19,10
2016-09-22,16
2016-09-23,8
2016-09-24,11
2016-09-25,6
2016-09-26,12
2016-09-29,12
2016-09-30,28
2016-10-01,14
2016-10-03,12
2016-10-05,9
2016-10-07,13
2016-10-09,17
2016-10-10,8
2016-10-11,13
2016-10-13,4
2016-10-14,9
2016-10-15,19
2016-10-16,22
2016-10-19,4
2016-10-21,17
2016-10-22,12
2016-10-23,7
2016-10-24,10
2016-10-26,2
2016-10-27,3
2016-10-28,10
2016-10-29,14
2016-10-30,18
2016-11-03,18
2016-11-04,11
2016-11-05,11
2016-11-07,19
2016-11-10,12
2016-11-11,1
2016-11-12,11
2016-11-13,58
2016-11-14,10
2016-11-17,8
2016-11-18,10
2016-11-19,8
2016-11-20,16
2016-11-21,8
2016-11-23,6
2016-11-25,26
2016-11-27,8
2016-11-28,8
2016-11-29,14
2016-11-30,6
2016-12-02,2
2016-12-03,4
2016-12-04,28
2016-12-05,10
2016-12-06,4
2016-12-08,5
2016-12-09,16
2016-12-11,27
2016-12-12,13
2016-12-13,4
2016-12-15,30
2016-12-17,22
2016-12-18,10
2016-12-19,17
2016-12-20,13
2016-12-21,2
2016-12-22,19
2016-12-23,22
2016-12-24,9
2016-12-25,17
2016-12-26,10
2016-12-27,14
2016-12-28,25
2016-12-29,23
2016-12-30,13
2016-12-31,14
2017-01-04,14
2017-01-06,14
2017-01-07,7
2017-01-09,5
2017-01-10,12
2017-01-11,15
2017-01-12,8
2017-01-13,13
2017-01-14,3
2017-01-15,6
2017-01-16,20
2017-01-18,12
2017-01-20,15
2017-01-21,23
2017-01-22,10
2017-01-24,15
2017-01-26,14
2017-01-27,10
2017-01-29,25
2017-01-31,3
2017-02-01,10
2017-02-03,18
2017-02-05,24
2017-02-08,3
2017-02-09,10
2017-02-10,12
2017-02-11,18
2017-02-13,17
2017-02-16,18
2017-02-17,13
2017-02-18,19
2017-02-20,15
2017-02-24,4
2017-02-25,17
2017-02-26,21
