date,visitors
2016-07-01,10
2016-07-02,15
2016-07-04,1
2016-07-05,9
2016-07-06,15
2016-07-07,11
2016-07-08,19
2016-07-09,12
2016-07-10,2
2016-07-11,3
2016-07-12,6
2016-07-13,6
2016-07-14,6
2016-07-15,10
2016-07-16,6
2016-07-17,10
2016-07-18,3
2016-07-19,6
2016-07-20,10
2016-07-21,3
2016-07-22,8
2016-07-23,12
2016-07-24,9
2016-07-25,7
2016-07-26,2
2016-07-27,10
2016-07-28,4
2016-07-29,8
2016-07-30,4
2016-07-31,10
2016-08-01,5
2016-08-02,3
2016-08-03,6
2016-08-04,1
2016-08-05,11
2016-08-06,8
2016-08-07,1
2016-08-08,1
2016-08-09,5
2016-08-10,5
2016-08-11,7
2016-08-12,6
2016-08-13,6
2016-08-16,3
2016-08-17,4
2016-08-18,17
2016-08-20,6
2016-08-21,1
2016-08-22,6
2016-08-23,8
2016-08-24,6
2016-08-25,9
2016-08-26,7
2016-08-27,5
2016-08-28,11
2016-08-29,5
2016-08-30,2
2016-08-31,11
2016-09-01,4
2016-09-02,1
2016-09-03,10
2016-09-04,2
2016-09-05,9
2016-09-06,1
2016-09-07,10
2016-09-08,5
2016-09-09,7
2016-09-10,1
2016-09-11,2
2016-09-13,3
2016-09-14,6
2016-09-15,7
2016-09-16,3
2016-09-17,12
2016-09-18,8
2016-09-19,10
2016-09-20,2
2016-09-21,2
2016-09-22,5
2016-09-23,4
2016-09-25,14
2016-09-27,7
2016-09-28,7
2016-09-29,4
2016-09-30,9
2016-10-01,10
2016-10-02,2
2016-10-03,3
2016-10-04,4
2016-10-05,3
2016-10-06,5
2016-10-07,4
2016-10-08,2
2016-10-09,7
2016-10-10,3
2016-10-11,14
2016-10-12,6
2016-10-13,1
2016-10-14,4
2016-10-15,9
2016-10-16,8
2016-10-17,2
2016-10-18,10
2016-10-19,2
2016-10-20,5
2016-10-21,3
2016-10-22,8
2016-10-23,3
2016-10-24,11
2016-10-25,8
2016-10-26,7
2016-10-27,5
2016-10-28,10
2016-10-29,6
2016-10-30,2
2016-11-01,13
2016-11-02,6
2016-11-03,3
2016-11-04,3
2016-11-05,3
2016-11-06,3
2016-11-07,6
2016-11-10,8
2016-11-11,12
2016-11-12,2
2016-11-13,2
2016-11-14,4
2016-11-15,10
2016-11-16,4
2016-11-18,10
2016-11-19,5
2016-11-20,16
2016-11-21,4
2016-11-22,12
2016-11-23,11
2016-11-24,2
2016-11-25,6
2016-11-26,6
2016-11-27,10
2016-11-28,10
2016-11-29,4
2016-11-30,13
2016-12-01,10
2016-12-02,2
2016-12-03,4
2016-12-04,8
2016-12-05,12
2016-12-06,4
2016-12-07,4
2016-12-08,4
2016-12-09,15
2016-12-10,10
2016-12-11,9
2016-12-12,9
2016-12-13,7
2016-12-15,11
2016-12-16,4
2016-12-17,18
2016-12-18,4
2016-12-19,3
2016-12-20,13
2016-12-21,5
2016-12-22,2
2016-12-23,3
2016-12-24,5
2016-12-25,3
2016-12-26,6
2016-12-27,8
2016-12-28,9
2016-12-31,1
2017-01-01,1
2017-01-03,1
2017-01-04,4
2017-01-05,5
2017-01-06,14
2017-01-07,5
2017-01-08,5
2017-01-09,2
2017-01-10,4
2017-01-11,7
2017-01-12,4
2017-01-13,2
2017-01-14,5
2017-01-15,1
2017-01-16,1
2017-01-17,4
2017-01-18,4
2017-01-19,4
2017-01-20,5
2017-01-21,2
2017-01-23,6
2017-01-24,3
2017-01-25,10
2017-01-26,15
2017-01-27,9
2017-01-28,3
2017-01-29,1
2017-01-30,10
2017-01-31,3
2017-02-01,13
2017-02-02,7
2017-02-03,6
2017-02-04,4
2017-02-05,5
2017-02-06,5
2017-02-07,5
2017-02-08,5
2017-02-09,6
2017-02-10,5
2017-02-12,4
2017-02-13,5
2017-02-14,9
2017-02-15,15
2017-02-16,15
2017-02-17,13
2017-02-18,4
2017-02-19,5
2017-02-20,8
2017-02-21,9
2017-02-22,9
2017-02-23,5
