date,visitors
2016-07-01,9
2016-07-02,3
2016-07-03,2
2016-07-06,1
2016-07-07,8
2016-07-08,5
2016-07-09,8
2016-07-11,5
2016-07-12,4
2016-07-13,5
2016-07-14,2
2016-07-15,3
2016-07-16,7
2016-07-17,3
2016-07-18,4
2016-07-20,7
2016-07-21,3
2016-07-22,4
2016-07-24,11
2016-07-25,3
2016-07-27,5
2016-07-28,7
2016-07-29,6
2016-07-30,5
2016-07-31,2
2016-08-03,3
2016-08-04,8
2016-08-05,2
2016-08-06,3
2016-08-07,5
2016-08-10,7
2016-08-11,3
2016-08-13,10
2016-08-17,4
2016-08-18,3
2016-08-19,2
2016-08-20,5
2016-08-21,1
2016-08-23,4
2016-08-24,5
2016-08-25,3
2016-08-27,3
2016-08-28,7
2016-08-31,5
2016-09-02,1
2016-09-03,11
2016-09-04,5
2016-09-05,13
2016-09-07,10
2016-09-08,8
2016-09-10,10
2016-09-11,3
2016-09-14,7
2016-09-15,3
2016-09-18,12
2016-09-19,13
2016-09-21,5
2016-09-22,3
2016-09-24,6
2016-09-25,14
2016-09-28,7
2016-09-29,4
2016-10-01,37
2016-10-02,2
2016-10-05,13
2016-10-08,9
2016-10-09,5
2016-10-10,5
2016-10-12,11
2016-10-13,4
2016-10-14,3
2016-10-15,14
2016-10-16,1
2016-10-19,8
2016-10-21,15
2016-10-22,7
2016-10-23,46
2016-10-26,8
2016-10-27,5
2016-10-30,10
2016-11-02,11
2016-11-03,2
2016-11-04,3
2016-11-05,21
2016-11-06,4
2016-11-07,2
2016-11-09,7
2016-11-11,8
2016-11-12,42
2016-11-14,3
2016-11-16,3
2016-11-17,7
2016-11-18,5
2016-11-20,7
2016-11-24,8
2016-11-26,48
2016-11-27,17
2016-11-30,9
2016-12-01,3
2016-12-02,3
2016-12-03,8
2016-12-04,36
2016-12-07,9
2016-12-08,4
2016-12-10,18
2016-12-11,3
2016-12-14,15
2016-12-16,11
2016-12-17,9
2016-12-18,34
2016-12-21,12
2016-12-22,2
2016-12-24,11
2016-12-25,31
2016-12-28,9
2016-12-29,7
2016-12-30,5
2016-12-31,8
2017-01-06,6
2017-01-07,22
2017-01-08,4
2017-01-10,1
2017-01-11,3
2017-01-12,2
2017-01-13,6
2017-01-14,32
2017-01-15,2
2017-01-17,2
2017-01-18,5
2017-01-19,5
2017-01-20,5
2017-01-21,5
2017-01-22,21
2017-01-25,2
2017-01-26,7
2017-01-28,3
2017-01-29,34
2017-02-01,3
2017-02-03,8
2017-02-05,38
2017-02-08,5
2017-02-10,1
2017-02-11,58
2017-02-12,50
2017-02-15,4
2017-02-17,7
