date,visitors
2016-01-01,7
2016-01-03,21
2016-01-04,16
2016-01-05,11
2016-01-06,1
2016-01-07,6
2016-01-08,18
2016-01-09,26
2016-01-10,17
2016-01-11,25
2016-01-12,1
2016-01-13,10
2016-01-14,4
2016-01-15,19
2016-01-16,10
2016-01-17,9
2016-01-18,5
2016-01-19,4
2016-01-20,6
2016-01-21,3
2016-01-22,26
2016-01-23,52
2016-01-24,24
2016-01-25,23
2016-01-26,23
2016-01-27,13
2016-01-28,13
2016-01-29,23
2016-01-30,15
2016-01-31,19
2016-02-01,10
2016-02-02,5
2016-02-03,13
2016-02-04,5
2016-02-05,19
2016-02-06,32
2016-02-07,14
2016-02-08,2
2016-02-09,6
2016-02-10,17
2016-02-11,14
2016-02-12,13
2016-02-13,9
2016-02-14,21
2016-02-15,5
2016-02-16,9
2016-02-17,5
2016-02-18,12
2016-02-19,25
2016-02-20,22
2016-02-21,22
2016-02-22,2
2016-02-23,5
2016-02-24,3
2016-02-25,27
2016-02-26,26
2016-02-27,37
2016-02-28,10
2016-02-29,9
2016-03-01,5
2016-03-02,13
2016-03-03,2
2016-03-04,15
2016-03-05,18
2016-03-06,6
2016-03-07,18
2016-03-08,2
2016-03-09,11
2016-03-10,16
2016-03-11,23
2016-03-12,34
2016-03-13,16
2016-03-14,4
2016-03-15,23
2016-03-16,17
2016-03-17,12
2016-03-18,16
2016-03-19,23
2016-03-20,23
2016-03-21,4
2016-03-22,17
2016-03-23,12
2016-03-24,9
2016-03-25,13
2016-03-26,41
2016-03-27,27
2016-03-28,63
2016-03-29,26
2016-03-30,7
2016-03-31,2
2016-04-01,13
2016-04-02,34
2016-04-03,8
2016-04-05,8
2016-04-06,2
2016-04-07,9
2016-04-08,18
2016-04-09,34
2016-04-10,11
2016-04-11,3
2016-04-12,12
2016-04-13,38
2016-04-14,15
2016-04-15,6
2016-04-16,16
2016-04-17,11
2016-04-18,15
2016-04-19,22
2016-04-20,9
2016-04-21,5
2016-04-22,38
2016-04-23,26
2016-04-24,11
2016-04-25,16
2016-04-26,17
2016-04-27,16
2016-04-28,24
2016-04-29,22
2016-04-30,17
2016-05-01,3
2016-05-02,20
2016-05-03,25
2016-05-04,17
2016-05-05,21
2016-05-06,3
2016-05-07,9
2016-05-08,10
2016-05-09,5
2016-05-10,1
2016-05-11,18
2016-05-12,11
2016-05-13,20
2016-05-14,35
2016-05-15,10
2016-05-16,22
2016-05-17,5
2016-05-18,8
2016-05-19,14
2016-05-20,18
2016-05-21,26
2016-05-22,7
2016-05-23,36
2016-05-25,15
2016-05-26,9
2016-05-27,15
2016-05-28,31
2016-05-29,15
2016-05-30,2
2016-05-31,11
2016-06-01,4
2016-06-02,3
2016-06-03,16
2016-06-04,27
2016-06-05,6
2016-06-06,3
2016-06-07,3
2016-06-08,18
2016-06-09,5
2016-06-10,9
2016-06-11,34
2016-06-12,12
2016-06-13,4
2016-06-14,11
2016-06-15,14
2016-06-16,5
2016-06-17,22
2016-06-18,33
2016-06-19,16
2016-06-20,21
2016-06-21,3
2016-06-22,10
2016-06-23,6
2016-06-24,23
2016-06-25,33
2016-06-26,22
2016-06-27,8
2016-06-28,17
2016-06-29,23
2016-06-30,30
2016-07-01,20
2016-07-02,19
2016-07-05,26
2016-07-06,2
2016-07-07,32
2016-07-08,18
2016-07-09,20
2016-07-10,4
2016-07-12,20
2016-07-13,2
2016-07-14,10
2016-07-15,44
2016-07-16,11
2016-07-17,27
2016-07-19,25
2016-07-20,8
2016-07-21,20
2016-07-22,17
2016-07-23,29
2016-07-24,28
2016-07-26,3
2016-07-27,23
2016-07-28,5
2016-07-29,7
2016-07-30,10
2016-07-31,12
2016-08-02,10
2016-08-03,14
2016-08-04,13
2016-08-05,14
2016-08-06,5
2016-08-07,17
2016-08-09,6
2016-08-10,8
2016-08-11,17
2016-08-12,14
2016-08-13,13
2016-08-14,13
2016-08-17,12
2016-08-18,23
2016-08-19,9
2016-08-20,15
2016-08-21,10
2016-08-23,3
2016-08-24,1
2016-08-25,6
2016-08-26,7
2016-08-27,31
2016-08-28,4
2016-08-30,10
2016-08-31,10
2016-09-01,8
2016-09-02,17
2016-09-03,23
2016-09-04,3
2016-09-06,21
2016-09-07,8
2016-09-08,5
2016-09-09,25
2016-09-10,24
2016-09-11,35
2016-09-13,4
2016-09-14,7
2016-09-16,23
2016-09-17,20
2016-09-18,13
2016-09-19,5
2016-09-21,13
2016-09-22,6
2016-09-23,2
2016-09-24,15
2016-09-25,15
2016-09-27,15
2016-09-28,22
2016-09-29,12
2016-09-30,7
2016-10-01,7
2016-10-04,7
2016-10-06,3
2016-10-07,27
2016-10-08,12
2016-10-09,16
2016-10-11,13
2016-10-12,8
2016-10-13,7
2016-10-14,4
2016-10-15,8
2016-10-16,18
2016-10-18,9
2016-10-19,1
2016-10-20,5
2016-10-21,12
2016-10-22,14
2016-10-23,8
2016-10-25,8
2016-10-26,3
2016-10-27,7
2016-10-28,35
2016-10-29,19
2016-10-30,6
2016-11-01,11
2016-11-02,25
2016-11-03,6
2016-11-04,4
2016-11-05,4
2016-11-06,8
2016-11-08,1
2016-11-09,9
2016-11-10,11
2016-11-11,9
2016-11-12,6
2016-11-13,3
2016-11-15,7
2016-11-16,12
2016-11-17,3
2016-11-18,23
2016-11-19,31
2016-11-20,20
2016-11-22,14
2016-11-23,3
2016-11-24,13
2016-11-25,7
2016-11-26,8
2016-11-27,2
2016-11-29,2
2016-11-30,4
2016-12-01,2
2016-12-02,11
2016-12-03,10
2016-12-04,5
2016-12-06,6
2016-12-07,3
2016-12-08,3
2016-12-09,30
2016-12-10,36
2016-12-11,2
2016-12-13,6
2016-12-14,13
2016-12-15,14
2016-12-16,12
2016-12-17,26
2016-12-18,9
2016-12-19,16
2016-12-20,6
2016-12-21,23
2016-12-22,20
2016-12-23,15
2016-12-24,28
2016-12-25,13
2016-12-26,9
2016-12-27,19
2016-12-28,37
2016-12-29,29
2016-12-30,35
2017-01-03,9
2017-01-04,6
2017-01-05,1
2017-01-06,10
2017-01-07,8
2017-01-08,25
2017-01-10,9
2017-01-11,9
2017-01-12,6
2017-01-13,8
2017-01-14,18
