date,visitors
2016-07-01,45
2016-07-02,44
2016-07-04,18
2016-07-05,24
2016-07-06,17
2016-07-07,20
2016-07-08,39
2016-07-09,21
2016-07-11,9
2016-07-12,13
2016-07-13,30
2016-07-14,12
2016-07-15,44
2016-07-16,4
2016-07-19,11
2016-07-20,34
2016-07-21,33
2016-07-22,46
2016-07-23,27
2016-07-25,37
2016-07-26,23
2016-07-27,42
2016-07-28,38
2016-07-29,42
2016-07-30,42
2016-08-01,29
2016-08-02,13
2016-08-03,20
2016-08-04,29
2016-08-05,50
2016-08-06,28
2016-08-08,29
2016-08-09,29
2016-08-10,44
2016-08-15,10
2016-08-16,9
2016-08-17,21
2016-08-18,29
2016-08-19,38
2016-08-20,20
2016-08-22,20
2016-08-23,26
2016-08-24,41
2016-08-25,31
2016-08-26,34
2016-08-27,10
2016-08-29,22
2016-08-30,33
2016-08-31,50
2016-09-01,19
2016-09-02,38
2016-09-03,28
2016-09-05,46
2016-09-06,28
2016-09-07,28
2016-09-08,43
2016-09-09,34
2016-09-10,29
2016-09-12,21
2016-09-13,35
2016-09-14,34
2016-09-15,24
2016-09-16,26
2016-09-17,25
2016-09-20,32
2016-09-21,42
2016-09-23,39
2016-09-24,24
2016-09-26,15
2016-09-27,39
2016-09-28,33
2016-09-29,30
2016-09-30,40
2016-10-01,12
2016-10-03,23
2016-10-04,18
2016-10-05,20
2016-10-06,20
2016-10-07,43
2016-10-08,23
2016-10-11,8
2016-10-12,35
2016-10-13,40
2016-10-14,39
2016-10-15,12
2016-10-17,36
2016-10-18,26
2016-10-19,21
2016-10-20,31
2016-10-21,38
2016-10-22,22
2016-10-24,15
2016-10-25,16
2016-10-26,40
2016-10-27,37
2016-10-28,46
2016-10-29,24
2016-10-31,36
2016-11-01,7
2016-11-02,40
2016-11-04,36
2016-11-05,13
2016-11-07,14
2016-11-08,38
2016-11-09,14
2016-11-10,36
2016-11-11,35
2016-11-12,28
2016-11-14,19
2016-11-15,26
2016-11-16,25
2016-11-17,37
2016-11-18,49
2016-11-19,25
2016-11-21,15
2016-11-22,51
2016-11-24,11
2016-11-25,40
2016-11-26,21
2016-11-28,4
2016-11-29,14
2016-11-30,19
2016-12-01,35
2016-12-02,43
2016-12-03,27
2016-12-05,15
2016-12-06,41
2016-12-07,37
2016-12-08,31
2016-12-09,56
2016-12-10,43
2016-12-12,16
2016-12-13,23
2016-12-14,39
2016-12-15,34
2016-12-16,52
2016-12-17,45
2016-12-19,50
2016-12-20,42
2016-12-21,42
2016-12-22,44
2016-12-24,30
2016-12-26,47
2016-12-27,47
2016-12-28,48
2016-12-29,48
2016-12-30,28
2017-01-05,53
2017-01-06,40
2017-01-07,20
2017-01-10,20
2017-01-11,4
2017-01-12,27
2017-01-13,62
2017-01-14,42
2017-01-16,34
2017-01-17,14
2017-01-18,44
2017-01-19,30
2017-01-20,43
2017-01-21,27
2017-01-23,18
2017-01-24,4
2017-01-25,33
2017-01-26,18
2017-01-27,53
2017-01-28,34
2017-01-30,19
2017-01-31,30
2017-02-01,11
2017-02-02,9
2017-02-03,17
2017-02-04,19
2017-02-06,14
2017-02-07,26
2017-02-08,55
2017-02-09,34
2017-02-10,38
2017-02-13,41
2017-02-14,17
2017-02-15,34
2017-02-16,50
2017-02-17,41
2017-02-18,41
2017-02-20,27
2017-02-21,16
2017-02-22,40
2017-02-23,32
2017-02-24,44
