date,visitors
2016-07-01,21
2016-07-02,24
2016-07-03,42
2016-07-04,18
2016-07-05,29
2016-07-06,16
2016-07-07,23
2016-07-08,26
2016-07-09,36
2016-07-10,45
2016-07-11,24
2016-07-12,29
2016-07-13,24
2016-07-14,21
2016-07-15,30
2016-07-16,36
2016-07-17,38
2016-07-18,29
2016-07-19,21
2016-07-20,24
2016-07-21,20
2016-07-22,23
2016-07-23,39
2016-07-24,35
2016-07-25,17
2016-07-26,25
2016-07-27,10
2016-07-28,13
2016-07-29,14
2016-07-30,22
2016-07-31,28
2016-08-01,18
2016-08-02,19
2016-08-03,12
2016-08-04,18
2016-08-05,18
2016-08-06,28
2016-08-07,19
2016-08-08,20
2016-08-09,24
2016-08-10,23
2016-08-11,27
2016-08-12,32
2016-08-13,33
2016-08-14,29
2016-08-15,20
2016-08-18,15
2016-08-19,19
2016-08-20,27
2016-08-21,36
2016-08-22,9
2016-08-23,17
2016-08-24,16
2016-08-25,18
2016-08-26,20
2016-08-27,23
2016-08-28,32
2016-08-29,17
2016-08-30,18
2016-08-31,13
2016-09-01,14
2016-09-02,26
2016-09-03,37
2016-09-04,35
2016-09-05,18
2016-09-06,11
2016-09-07,21
2016-09-08,15
2016-09-09,16
2016-09-10,32
2016-09-11,34
2016-09-12,16
2016-09-13,20
2016-09-14,21
2016-09-15,21
2016-09-16,15
2016-09-17,38
2016-09-18,40
2016-09-19,31
2016-09-20,14
2016-09-21,24
2016-09-22,22
2016-09-23,18
2016-09-24,33
2016-09-25,42
2016-09-26,23
2016-09-27,22
2016-09-28,25
2016-09-29,23
2016-09-30,28
2016-10-01,31
2016-10-02,48
2016-10-03,17
2016-10-04,17
2016-10-05,23
2016-10-06,19
2016-10-07,27
2016-10-08,19
2016-10-09,34
2016-10-10,36
2016-10-11,20
2016-10-12,18
2016-10-13,15
2016-10-14,27
2016-10-15,34
2016-10-16,36
2016-10-17,26
2016-10-18,25
2016-10-19,20
2016-10-20,17
2016-10-21,27
2016-10-22,34
2016-10-23,32
2016-10-24,20
2016-10-25,18
2016-10-26,23
2016-10-27,19
2016-10-28,21
2016-10-29,42
2016-10-30,41
2016-10-31,26
2016-11-01,22
2016-11-02,34
2016-11-03,45
2016-11-04,22
2016-11-05,45
2016-11-06,47
2016-11-07,29
2016-11-08,24
2016-11-09,17
2016-11-10,21
2016-11-11,13
2016-11-12,32
2016-11-13,34
2016-11-14,27
2016-11-15,15
2016-11-16,30
2016-11-17,28
2016-11-18,20
2016-11-19,24
2016-11-20,28
2016-11-21,21
2016-11-22,31
2016-11-23,32
2016-11-24,19
2016-11-25,31
2016-11-26,42
2016-11-27,35
2016-11-28,20
2016-11-29,25
2016-11-30,26
2016-12-01,25
2016-12-02,18
2016-12-03,46
2016-12-04,43
2016-12-05,34
2016-12-06,18
2016-12-07,23
2016-12-08,21
2016-12-09,31
2016-12-10,50
2016-12-11,50
2016-12-12,31
2016-12-13,31
2016-12-14,34
2016-12-15,32
2016-12-16,28
2016-12-17,53
2016-12-18,55
2016-12-19,33
2016-12-20,34
2016-12-21,33
2016-12-22,25
2016-12-23,61
2016-12-24,127
2016-12-25,75
2016-12-26,26
2016-12-27,27
2016-12-28,24
2016-12-29,32
2016-12-30,33
2016-12-31,57
2017-01-02,45
2017-01-03,39
2017-01-04,33
2017-01-05,12
2017-01-06,29
2017-01-07,39
2017-01-08,22
2017-01-09,33
2017-01-10,26
2017-01-11,22
2017-01-12,19
2017-01-13,24
2017-01-14,32
2017-01-15,36
2017-01-16,18
2017-01-17,22
2017-01-18,24
2017-01-19,17
2017-01-20,15
2017-01-21,38
2017-01-22,31
2017-01-23,15
2017-01-24,21
2017-01-25,23
2017-01-26,28
2017-01-27,25
2017-01-28,37
2017-01-29,37
2017-01-30,18
2017-01-31,26
2017-02-01,27
2017-02-02,20
2017-02-03,17
2017-02-04,51
2017-02-05,37
2017-02-06,18
2017-02-07,23
2017-02-08,28
2017-02-09,17
2017-02-10,28
2017-02-11,44
2017-02-12,49
2017-02-13,28
2017-02-14,42
2017-02-15,21
2017-02-16,25
2017-02-17,24
2017-02-18,40
2017-02-19,33
2017-02-20,15
2017-02-21,34
2017-02-22,23
