date,visitors
2016-07-01,40
2016-07-02,15
2016-07-03,15
2016-07-05,9
2016-07-06,21
2016-07-07,17
2016-07-08,24
2016-07-09,31
2016-07-10,22
2016-07-12,2
2016-07-13,16
2016-07-14,21
2016-07-15,28
2016-07-16,22
2016-07-17,38
2016-07-18,19
2016-07-20,18
2016-07-21,2
2016-07-22,28
2016-07-23,16
2016-07-24,13
2016-07-26,8
2016-07-28,14
2016-07-29,26
2016-07-30,22
2016-07-31,20
2016-08-02,4
2016-08-03,8
2016-08-04,15
2016-08-05,23
2016-08-06,24
2016-08-07,14
2016-08-09,26
2016-08-10,34
2016-08-11,26
2016-08-12,35
2016-08-13,3
2016-08-14,26
2016-08-15,26
2016-08-17,17
2016-08-18,23
2016-08-19,18
2016-08-20,23
2016-08-21,34
2016-08-23,6
2016-08-24,31
2016-08-25,7
2016-08-26,24
2016-08-27,32
2016-08-28,9
2016-08-30,16
2016-08-31,16
2016-09-01,7
2016-09-02,21
2016-09-03,5
2016-09-04,14
2016-09-06,8
2016-09-07,9
2016-09-08,10
2016-09-09,22
2016-09-10,21
2016-09-11,11
2016-09-14,16
2016-09-15,9
2016-09-16,27
2016-09-17,17
2016-09-18,25
2016-09-19,20
2016-09-21,35
2016-09-22,2
2016-09-23,27
2016-09-24,29
2016-09-25,22
2016-09-27,16
2016-09-28,11
2016-09-29,11
2016-09-30,35
2016-10-01,21
2016-10-02,11
2016-10-04,10
2016-10-05,3
2016-10-06,2
2016-10-07,18
2016-10-08,18
2016-10-09,32
2016-10-10,26
2016-10-12,10
2016-10-13,14
2016-10-14,7
2016-10-15,26
2016-10-16,7
2016-10-18,11
2016-10-19,20
2016-10-20,5
2016-10-21,30
2016-10-22,31
2016-10-23,25
2016-10-25,12
2016-10-26,6
2016-10-27,23
2016-10-28,37
2016-10-29,18
2016-10-30,32
2016-11-01,22
2016-11-02,31
2016-11-03,14
2016-11-04,8
2016-11-05,24
2016-11-06,21
2016-11-08,7
2016-11-09,12
2016-11-10,8
2016-11-11,11
2016-11-12,25
2016-11-13,17
2016-11-15,26
2016-11-16,27
2016-11-17,18
2016-11-18,22
2016-11-19,34
2016-11-20,25
2016-11-22,35
2016-11-23,19
2016-11-24,8
2016-11-25,19
2016-11-26,29
2016-11-27,33
2016-11-29,13
2016-11-30,10
2016-12-01,26
2016-12-02,31
2016-12-03,28
2016-12-04,11
2016-12-06,11
2016-12-07,4
2016-12-08,6
2016-12-09,24
2016-12-10,40
2016-12-11,21
2016-12-13,15
2016-12-14,15
2016-12-15,10
2016-12-16,22
2016-12-17,24
2016-12-18,22
2016-12-20,18
2016-12-21,22
2016-12-22,34
2016-12-23,27
2016-12-24,30
2016-12-25,36
2016-12-27,30
2016-12-28,34
2016-12-29,29
2016-12-30,30
2017-01-03,32
2017-01-04,23
2017-01-05,27
2017-01-06,14
2017-01-07,19
2017-01-08,23
2017-01-09,15
2017-01-11,8
2017-01-12,21
2017-01-13,31
2017-01-14,23
2017-01-15,10
2017-01-17,19
2017-01-18,21
2017-01-19,7
2017-01-20,30
2017-01-21,25
2017-01-22,18
2017-01-24,6
2017-01-25,20
2017-01-26,5
2017-01-27,27
2017-01-28,34
2017-01-29,21
2017-01-31,19
2017-02-01,14
2017-02-02,7
2017-02-03,11
2017-02-04,31
2017-02-05,30
2017-02-07,20
2017-02-08,24
2017-02-09,3
2017-02-10,21
2017-02-11,30
2017-02-12,23
2017-02-14,14
2017-02-15,9
2017-02-16,24
2017-02-17,42
2017-02-18,25
2017-02-19,5
2017-02-21,11
2017-02-22,10
2017-02-23,18
