date,visitors
2016-07-01,56
2016-07-02,58
2016-07-03,51
2016-07-04,22
2016-07-05,29
2016-07-06,37
2016-07-07,29
2016-07-08,43
2016-07-09,55
2016-07-10,25
2016-07-11,30
2016-07-12,27
2016-07-13,22
2016-07-14,51
2016-07-15,57
2016-07-16,79
2016-07-17,62
2016-07-18,28
2016-07-19,26
2016-07-20,18
2016-07-21,18
2016-07-22,45
2016-07-23,54
2016-07-24,48
2016-07-25,23
2016-07-26,26
2016-07-27,21
2016-07-28,14
2016-07-29,43
2016-07-30,38
2016-07-31,47
2016-08-01,23
2016-08-02,26
2016-08-03,53
2016-08-04,21
2016-08-05,26
2016-08-06,58
2016-08-07,51
2016-08-08,18
2016-08-09,38
2016-08-10,43
2016-08-11,29
2016-08-12,45
2016-08-13,47
2016-08-14,34
2016-08-15,45
2016-08-16,50
2016-08-17,33
2016-08-18,38
2016-08-19,41
2016-08-20,51
2016-08-21,27
2016-08-22,35
2016-08-23,19
2016-08-24,59
2016-08-25,19
2016-08-26,50
2016-08-27,68
2016-08-28,6
2016-08-30,24
2016-08-31,37
2016-09-01,25
2016-09-02,38
2016-09-03,39
2016-09-04,28
2016-09-05,26
2016-09-06,46
2016-09-07,21
2016-09-08,16
2016-09-09,32
2016-09-10,54
2016-09-11,45
2016-09-12,41
2016-09-13,18
2016-09-14,47
2016-09-15,44
2016-09-16,34
2016-09-17,69
2016-09-18,38
2016-09-19,19
2016-09-20,32
2016-09-21,49
2016-09-22,25
2016-09-23,43
2016-09-24,54
2016-09-25,49
2016-09-26,49
2016-09-27,27
2016-09-28,33
2016-09-29,30
2016-09-30,38
2016-10-01,43
2016-10-02,20
2016-10-03,27
2016-10-04,26
2016-10-05,39
2016-10-06,33
2016-10-07,33
2016-10-08,39
2016-10-09,52
2016-10-10,25
2016-10-11,35
2016-10-12,49
2016-10-13,13
2016-10-14,46
2016-10-15,53
2016-10-16,31
2016-10-17,28
2016-10-18,26
2016-10-19,9
2016-10-20,21
2016-10-21,66
2016-10-22,37
2016-10-23,40
2016-10-24,14
2016-10-25,19
2016-10-26,28
2016-10-27,36
2016-10-28,56
2016-10-29,44
2016-10-30,36
2016-10-31,17
2016-11-01,38
2016-11-02,33
2016-11-03,26
2016-11-04,26
2016-11-05,41
2016-11-06,25
2016-11-07,23
2016-11-08,28
2016-11-09,60
2016-11-10,26
2016-11-11,52
2016-11-12,40
2016-11-13,20
2016-11-14,37
2016-11-15,46
2016-11-16,22
2016-11-17,9
2016-11-18,19
2016-11-19,107
2016-11-20,43
2016-11-21,38
2016-11-22,45
2016-11-23,17
2016-11-24,34
2016-11-25,36
2016-11-26,76
2016-11-27,25
2016-11-28,65
2016-11-29,23
2016-11-30,26
2016-12-01,25
2016-12-02,43
2016-12-03,77
2016-12-04,27
2016-12-05,20
2016-12-06,49
2016-12-07,25
2016-12-08,15
2016-12-09,52
2016-12-10,65
2016-12-11,28
2016-12-12,38
2016-12-13,48
2016-12-14,65
2016-12-15,39
2016-12-16,50
2016-12-17,96
2016-12-18,35
2016-12-19,52
2016-12-20,48
2016-12-21,23
2016-12-22,59
2016-12-23,49
2016-12-24,44
2016-12-25,19
2016-12-26,39
2016-12-27,50
2016-12-28,66
2016-12-29,69
2016-12-30,65
2017-01-01,46
2017-01-02,22
2017-01-03,43
2017-01-04,50
2017-01-05,36
2017-01-06,53
2017-01-07,45
2017-01-08,39
2017-01-09,20
2017-01-10,13
2017-01-11,26
2017-01-12,12
2017-01-13,80
2017-01-14,57
2017-01-15,18
2017-01-16,21
2017-01-17,32
2017-01-18,23
2017-01-19,20
2017-01-20,42
2017-01-21,43
2017-01-22,53
2017-01-23,40
2017-01-24,45
2017-01-25,23
2017-01-26,20
2017-01-27,68
2017-01-28,36
2017-01-29,28
2017-01-30,35
2017-02-01,15
2017-02-02,40
2017-02-03,7
2017-02-04,29
2017-02-05,24
2017-02-06,34
2017-02-07,36
2017-02-08,11
2017-02-09,33
2017-02-10,29
2017-02-11,35
2017-02-12,40
2017-02-13,23
2017-02-14,7
2017-02-15,22
2017-02-16,34
2017-02-17,46
2017-02-18,34
2017-02-19,26
2017-02-20,40
2017-02-21,43
