date,visitors
2016-07-01,20
2016-07-02,32
2016-07-03,37
2016-07-04,15
2016-07-05,23
2016-07-07,16
2016-07-08,15
2016-07-09,20
2016-07-10,35
2016-07-11,19
2016-07-12,19
2016-07-14,12
2016-07-15,10
2016-07-16,30
2016-07-17,32
2016-07-18,23
2016-07-19,16
2016-07-21,17
2016-07-22,7
2016-07-24,28
2016-07-25,22
2016-07-26,8
2016-07-28,26
2016-07-29,24
2016-07-30,23
2016-07-31,22
2016-08-01,10
2016-08-02,12
2016-08-04,11
2016-08-05,19
2016-08-06,15
2016-08-07,16
2016-08-08,20
2016-08-09,11
2016-08-11,31
2016-08-12,19
2016-08-15,26
2016-08-16,6
2016-08-18,15
2016-08-19,16
2016-08-20,20
2016-08-21,24
2016-08-22,1
2016-08-23,19
2016-08-25,15
2016-08-26,21
2016-08-27,23
2016-08-28,33
2016-08-29,8
2016-09-01,7
2016-09-02,4
2016-09-03,33
2016-09-04,30
2016-09-05,7
2016-09-06,18
2016-09-08,10
2016-09-09,12
2016-09-10,36
2016-09-11,17
2016-09-12,16
2016-09-13,4
2016-09-15,6
2016-09-16,23
2016-09-17,21
2016-09-18,28
2016-09-19,15
2016-09-22,21
2016-09-23,8
2016-09-24,20
2016-09-29,9
2016-09-30,19
2016-10-01,40
2016-10-02,24
2016-10-03,14
2016-10-04,8
2016-10-06,12
2016-10-09,20
2016-10-10,37
2016-10-11,13
2016-10-13,20
2016-10-14,11
2016-10-15,29
2016-10-16,25
2016-10-17,15
2016-10-18,16
2016-10-20,12
2016-10-21,15
2016-10-22,18
2016-10-23,24
2016-10-24,14
2016-10-25,15
2016-10-27,17
2016-10-28,17
2016-10-29,16
2016-10-30,15
2016-10-31,16
2016-11-01,9
2016-11-03,25
2016-11-04,18
2016-11-05,24
2016-11-06,16
2016-11-07,12
2016-11-08,19
2016-11-10,11
2016-11-11,10
2016-11-12,22
2016-11-13,25
2016-11-14,9
2016-11-15,13
2016-11-17,21
2016-11-18,11
2016-11-19,24
2016-11-21,17
2016-11-22,10
2016-11-23,16
2016-11-24,5
2016-11-25,12
2016-11-26,25
2016-11-27,19
2016-11-28,17
2016-11-29,23
2016-12-01,14
2016-12-02,16
2016-12-03,26
2016-12-04,37
2016-12-05,14
2016-12-06,2
2016-12-08,19
2016-12-09,21
2016-12-10,45
2016-12-11,11
2016-12-12,7
2016-12-13,18
2016-12-15,8
2016-12-16,17
2016-12-17,24
2016-12-18,17
2016-12-19,15
2016-12-20,13
2016-12-22,5
2016-12-23,21
2016-12-24,21
2016-12-25,14
2016-12-26,4
2016-12-27,7
2016-12-29,8
2017-01-07,24
2017-01-08,11
2017-01-09,19
2017-01-10,13
2017-01-12,11
2017-01-13,9
2017-01-14,15
2017-01-15,20
2017-01-16,16
2017-01-17,26
2017-01-19,12
2017-01-20,10
2017-01-21,10
2017-01-22,37
2017-01-23,12
2017-01-26,17
2017-01-27,18
2017-01-28,19
2017-01-29,34
2017-01-30,14
2017-01-31,15
2017-02-02,16
2017-02-03,13
2017-02-04,21
2017-02-05,26
2017-02-06,15
2017-02-07,20
2017-02-09,8
2017-02-10,14
2017-02-11,16
2017-02-12,31
2017-02-13,28
2017-02-14,13
2017-02-16,7
2017-02-17,14
2017-02-18,12
2017-02-19,37
2017-02-20,24
2017-02-21,13
2017-02-23,21
