date,visitors
2016-07-01,24
2016-07-02,42
2016-07-03,54
2016-07-05,35
2016-07-06,40
2016-07-07,38
2016-07-08,42
2016-07-09,45
2016-07-10,66
2016-07-12,33
2016-07-13,35
2016-07-14,27
2016-07-15,27
2016-07-16,31
2016-07-17,39
2016-07-19,42
2016-07-20,46
2016-07-21,25
2016-07-22,21
2016-07-23,35
2016-07-24,62
2016-07-26,33
2016-07-27,47
2016-07-28,42
2016-07-29,34
2016-07-30,39
2016-07-31,65
2016-08-02,25
2016-08-03,31
2016-08-04,28
2016-08-06,43
2016-08-07,55
2016-08-09,44
2016-08-10,54
2016-08-11,46
2016-08-16,45
2016-08-17,39
2016-08-18,41
2016-08-19,26
2016-08-20,48
2016-08-21,46
2016-08-23,27
2016-08-24,44
2016-08-25,27
2016-08-26,27
2016-08-27,43
2016-08-28,52
2016-08-30,28
2016-08-31,36
2016-09-01,38
2016-09-02,39
2016-09-03,47
2016-09-04,46
2016-09-06,24
2016-09-07,39
2016-09-08,32
2016-09-09,36
2016-09-10,51
2016-09-11,35
2016-09-13,40
2016-09-14,39
2016-09-15,36
2016-09-16,34
2016-09-17,31
2016-09-18,51
2016-09-19,31
2016-09-20,51
2016-09-22,42
2016-09-23,37
2016-09-24,41
2016-09-25,47
2016-09-27,43
2016-09-28,50
2016-09-29,20
2016-09-30,42
2016-10-01,57
2016-10-02,51
2016-10-04,40
2016-10-05,22
2016-10-06,45
2016-10-07,30
2016-10-08,38
2016-10-09,55
2016-10-10,34
2016-10-12,29
2016-10-13,34
2016-10-18,25
2016-10-19,39
2016-10-20,45
2016-10-21,29
2016-10-22,50
2016-10-23,49
2016-10-25,24
2016-10-26,38
2016-10-27,36
2016-10-28,23
2016-10-29,41
2016-10-30,70
2016-11-01,33
2016-11-02,52
2016-11-03,49
2016-11-04,39
2016-11-05,46
2016-11-06,42
2016-11-08,23
2016-11-09,26
2016-11-10,29
2016-11-11,33
2016-11-12,46
2016-11-13,58
2016-11-15,41
2016-11-16,36
2016-11-17,36
2016-11-18,29
2016-11-19,34
2016-11-20,43
2016-11-22,34
2016-11-23,40
2016-11-24,36
2016-11-25,33
2016-11-26,34
2016-11-27,42
2016-11-29,39
2016-11-30,46
2016-12-01,37
2016-12-02,1
2016-12-03,50
2016-12-04,57
2016-12-06,37
2016-12-07,45
2016-12-08,28
2016-12-09,22
2016-12-10,54
2016-12-11,51
2016-12-13,50
2016-12-14,34
2016-12-15,42
2016-12-16,41
2016-12-17,54
2016-12-18,46
2016-12-21,55
2016-12-22,42
2016-12-23,42
2016-12-24,40
2016-12-25,49
2016-12-27,31
2016-12-28,20
2017-01-05,37
2017-01-06,33
2017-01-07,47
2017-01-08,44
2017-01-10,16
2017-01-11,37
2017-01-12,36
2017-01-13,41
2017-01-14,58
2017-01-15,44
2017-01-16,19
2017-01-18,30
2017-01-19,47
2017-01-20,33
2017-01-21,35
2017-01-22,52
2017-01-24,32
2017-01-25,44
2017-01-26,36
2017-01-27,38
2017-01-28,49
2017-01-29,34
2017-01-31,36
2017-02-01,34
2017-02-02,32
2017-02-03,43
2017-02-04,40
2017-02-05,32
2017-02-07,35
2017-02-08,48
2017-02-09,29
2017-02-10,50
2017-02-11,58
2017-02-12,54
2017-02-14,48
2017-02-15,55
2017-02-16,50
