date,visitors
2016-07-01,22
2016-07-02,44
2016-07-05,3
2016-07-06,18
2016-07-07,12
2016-07-08,14
2016-07-09,40
2016-07-10,1
2016-07-11,8
2016-07-12,73
2016-07-13,8
2016-07-14,23
2016-07-15,20
2016-07-16,1
2016-07-17,71
2016-07-18,6
2016-07-19,23
2016-07-20,12
2016-07-21,39
2016-07-22,30
2016-07-23,34
2016-07-24,2
2016-07-25,1
2016-07-26,11
2016-07-27,14
2016-07-28,16
2016-07-29,42
2016-07-30,29
2016-07-31,2
2016-08-01,13
2016-08-02,24
2016-08-03,3
2016-08-04,21
2016-08-05,23
2016-08-06,14
2016-08-08,14
2016-08-09,31
2016-08-10,14
2016-08-11,23
2016-08-12,1
2016-08-16,11
2016-08-17,7
2016-08-18,41
2016-08-19,21
2016-08-20,17
2016-08-21,14
2016-08-23,4
2016-08-24,2
2016-08-25,24
2016-08-26,4
2016-08-27,27
2016-08-28,14
2016-08-30,22
2016-08-31,17
2016-09-01,31
2016-09-02,14
2016-09-03,20
2016-09-04,3
2016-09-06,21
2016-09-07,23
2016-09-08,10
2016-09-09,19
2016-09-10,46
2016-09-11,13
2016-09-12,9
2016-09-13,6
2016-09-14,14
2016-09-15,18
2016-09-16,33
2016-09-17,20
2016-09-18,19
2016-09-20,2
2016-09-21,33
2016-09-22,10
2016-09-23,37
2016-09-24,27
2016-09-25,8
2016-09-26,20
2016-09-27,22
2016-09-28,5
2016-09-29,23
2016-09-30,40
2016-10-01,8
2016-10-02,4
2016-10-04,6
2016-10-05,23
2016-10-07,23
2016-10-08,25
2016-10-09,24
2016-10-11,6
2016-10-12,21
2016-10-13,9
2016-10-14,59
2016-10-15,15
2016-10-16,21
2016-10-17,3
2016-10-18,13
2016-10-19,21
2016-10-20,7
2016-10-21,16
2016-10-22,41
2016-10-23,3
2016-10-24,8
2016-10-25,20
2016-10-26,25
2016-10-27,32
2016-10-28,16
2016-10-29,41
2016-10-30,8
2016-10-31,15
2016-11-01,23
2016-11-02,22
2016-11-03,18
2016-11-04,13
2016-11-05,25
2016-11-06,6
2016-11-08,17
2016-11-09,10
2016-11-10,19
2016-11-11,20
2016-11-12,27
2016-11-13,6
2016-11-14,17
2016-11-15,8
2016-11-16,7
2016-11-17,16
2016-11-18,10
2016-11-19,49
2016-11-24,79
2016-11-25,10
2016-11-26,33
2016-11-27,6
2016-11-29,21
2016-11-30,8
2016-12-01,20
2016-12-02,12
2016-12-03,43
2016-12-04,32
2016-12-06,3
2016-12-07,26
2016-12-08,6
2016-12-09,19
2016-12-10,67
2016-12-11,2
2016-12-12,11
2016-12-13,6
2016-12-14,38
2016-12-15,12
2016-12-16,2
2016-12-17,24
2016-12-19,12
2016-12-20,9
2016-12-21,35
2016-12-22,28
2016-12-23,14
2016-12-24,50
2016-12-25,6
2016-12-26,10
2016-12-27,20
2016-12-28,24
2016-12-29,37
2017-01-05,3
2017-01-06,9
2017-01-07,22
2017-01-08,3
2017-01-09,12
2017-01-10,13
2017-01-11,6
2017-01-12,20
2017-01-13,11
2017-01-14,46
2017-01-15,6
2017-01-16,16
2017-01-17,41
2017-01-18,23
2017-01-19,20
2017-01-20,3
2017-01-21,50
2017-01-22,13
2017-01-23,12
2017-01-24,17
2017-01-25,16
2017-01-26,22
2017-01-27,11
2017-01-28,33
2017-01-29,8
2017-01-30,17
2017-01-31,20
2017-02-01,15
2017-02-02,11
2017-02-03,17
2017-02-04,44
2017-02-05,3
2017-02-07,4
2017-02-08,18
2017-02-09,24
2017-02-10,12
2017-02-11,20
2017-02-12,41
2017-02-13,3
2017-02-14,10
2017-02-15,22
2017-02-16,13
2017-02-17,4
2017-02-18,15
2017-02-19,3
2017-02-20,6
2017-02-21,26
2017-02-22,14
2017-02-23,28
2017-02-24,3
2017-02-25,23
