date,visitors
2016-07-01,22
2016-07-04,15
2016-07-05,23
2016-07-06,2
2016-07-07,32
2016-07-08,20
2016-07-11,13
2016-07-12,18
2016-07-13,16
2016-07-14,14
2016-07-15,23
2016-07-19,21
2016-07-20,10
2016-07-21,17
2016-07-22,25
2016-07-25,12
2016-07-26,17
2016-07-27,28
2016-07-28,24
2016-07-29,30
2016-08-01,20
2016-08-02,29
2016-08-03,22
2016-08-04,28
2016-08-05,12
2016-08-08,27
2016-08-09,24
2016-08-10,12
2016-08-16,20
2016-08-17,18
2016-08-18,25
2016-08-19,15
2016-08-22,5
2016-08-23,25
2016-08-24,15
2016-08-25,21
2016-08-26,13
2016-08-29,10
2016-08-30,34
2016-08-31,14
2016-09-01,13
2016-09-02,16
2016-09-05,12
2016-09-06,9
2016-09-07,23
2016-09-08,23
2016-09-09,20
2016-09-12,17
2016-09-13,18
2016-09-14,26
2016-09-15,16
2016-09-16,26
2016-09-20,13
2016-09-21,20
2016-09-23,19
2016-09-26,21
2016-09-27,4
2016-09-28,15
2016-09-29,19
2016-09-30,16
2016-10-01,12
2016-10-03,10
2016-10-04,9
2016-10-05,28
2016-10-06,14
2016-10-07,21
2016-10-11,21
2016-10-12,24
2016-10-13,16
2016-10-14,16
2016-10-18,20
2016-10-19,25
2016-10-20,17
2016-10-21,17
2016-10-24,18
2016-10-25,7
2016-10-26,34
2016-10-27,12
2016-10-28,26
2016-10-29,5
2016-10-31,6
2016-11-01,23
2016-11-02,17
2016-11-04,2
2016-11-07,17
2016-11-08,10
2016-11-09,13
2016-11-10,22
2016-11-11,25
2016-11-14,15
2016-11-15,25
2016-11-16,15
2016-11-17,24
2016-11-18,25
2016-11-21,11
2016-11-22,25
2016-11-24,25
2016-11-25,29
2016-11-28,19
2016-11-29,11
2016-11-30,27
2016-12-01,26
2016-12-02,24
2016-12-05,21
2016-12-06,3
2016-12-07,25
2016-12-08,30
2016-12-09,21
2016-12-10,5
2016-12-12,18
2016-12-13,18
2016-12-14,27
2016-12-15,26
2016-12-16,31
2016-12-19,30
2016-12-20,34
2016-12-21,28
2016-12-22,33
2016-12-26,13
2016-12-28,2
2016-12-29,6
2017-01-05,3
2017-01-06,15
2017-01-10,20
2017-01-11,12
2017-01-12,29
2017-01-13,9
2017-01-16,4
2017-01-18,19
2017-01-19,13
2017-01-20,29
2017-01-23,16
2017-01-24,17
2017-01-25,19
2017-01-26,16
2017-01-27,24
2017-01-30,18
2017-02-01,22
2017-02-02,6
2017-02-03,22
2017-02-06,7
2017-02-07,13
2017-02-08,18
2017-02-09,6
2017-02-10,7
2017-02-14,5
2017-02-15,3
2017-02-16,9
2017-02-17,12
2017-02-20,21
2017-02-21,7
2017-02-22,26
2017-02-23,24
2017-02-24,12
