date,visitors
2016-01-01,3
2016-01-02,12
2016-01-08,17
2016-01-09,8
2016-01-12,15
2016-01-13,17
2016-01-14,15
2016-01-15,19
2016-01-16,8
2016-01-18,25
2016-01-19,11
2016-01-20,12
2016-01-21,9
2016-01-22,8
2016-01-25,16
2016-01-26,9
2016-01-27,12
2016-01-28,10
2016-01-29,10
2016-01-30,15
2016-02-01,11
2016-02-02,10
2016-02-03,7
2016-02-04,17
2016-02-05,14
2016-02-06,7
2016-02-08,12
2016-02-09,11
2016-02-10,15
2016-02-12,12
2016-02-15,9
2016-02-16,6
2016-02-17,6
2016-02-18,2
2016-02-19,14
2016-02-20,4
2016-02-22,2
2016-02-23,13
2016-02-24,8
2016-02-25,8
2016-02-26,27
2016-02-27,15
2016-02-29,11
2016-03-01,4
2016-03-02,10
2016-03-03,12
2016-03-04,15
2016-03-05,2
2016-03-07,11
2016-03-08,7
2016-03-09,14
2016-03-10,14
2016-03-11,16
2016-03-12,8
2016-03-14,12
2016-03-15,4
2016-03-16,10
2016-03-17,10
2016-03-18,11
2016-03-19,11
2016-03-22,12
2016-03-23,16
2016-03-24,16
2016-03-25,14
2016-03-26,6
2016-03-28,14
2016-03-29,5
2016-03-30,11
2016-03-31,16
2016-04-01,10
2016-04-02,9
2016-04-04,13
2016-04-05,11
2016-04-06,15
2016-04-07,14
2016-04-08,11
2016-04-09,6
2016-04-11,6
2016-04-12,21
2016-04-13,17
2016-04-14,7
2016-04-15,18
2016-04-16,8
2016-04-18,13
2016-04-19,10
2016-04-20,10
2016-04-21,15
2016-04-22,19
2016-04-23,12
2016-04-25,11
2016-04-26,13
2016-04-27,15
2016-04-28,10
2016-04-29,9
2016-04-30,13
2016-05-02,14
2016-05-03,17
2016-05-05,12
2016-05-06,14
2016-05-09,13
2016-05-10,11
2016-05-11,12
2016-05-12,18
2016-05-13,14
2016-05-14,4
2016-05-16,12
2016-05-17,13
2016-05-18,7
2016-05-19,18
2016-05-20,12
2016-05-21,6
2016-05-23,2
2016-05-24,15
2016-05-25,11
2016-05-26,13
2016-05-27,12
2016-05-28,15
2016-05-30,10
2016-05-31,7
2016-06-01,11
2016-06-02,11
2016-06-03,10
2016-06-04,12
2016-06-06,14
2016-06-07,10
2016-06-08,12
2016-06-09,14
2016-06-10,13
2016-06-11,6
2016-06-13,20
2016-06-14,12
2016-06-15,15
2016-06-16,14
2016-06-17,18
2016-06-18,8
2016-06-20,7
2016-06-21,10
2016-06-22,11
2016-06-23,8
2016-06-24,18
2016-06-25,12
2016-06-27,11
2016-06-28,16
2016-06-29,8
2016-06-30,12
2016-07-01,13
2016-07-02,8
2016-07-04,12
2016-07-05,4
2016-07-06,20
2016-07-07,2
2016-07-08,10
2016-07-09,15
2016-07-11,13
2016-07-12,5
2016-07-13,10
2016-07-14,13
2016-07-15,10
2016-07-19,17
2016-07-20,14
2016-07-21,16
2016-07-22,18
2016-07-23,7
2016-07-25,6
2016-07-26,16
2016-07-27,34
2016-07-28,12
2016-07-29,14
2016-07-30,12
2016-07-31,4
2016-08-01,15
2016-08-02,12
2016-08-03,9
2016-08-04,20
2016-08-05,16
2016-08-08,12
2016-08-09,17
2016-08-10,16
2016-08-11,10
2016-08-12,12
2016-08-13,7
2016-08-15,6
2016-08-16,11
2016-08-17,4
2016-08-18,4
2016-08-19,10
2016-08-20,11
2016-08-22,12
2016-08-23,38
2016-08-24,17
2016-08-25,13
2016-08-26,12
2016-08-27,10
2016-08-29,17
2016-08-30,12
2016-08-31,12
2016-09-01,6
2016-09-02,4
2016-09-03,7
2016-09-05,8
2016-09-06,14
2016-09-07,19
2016-09-08,6
2016-09-09,13
2016-09-10,1
2016-09-12,6
2016-09-13,18
2016-09-14,12
2016-09-15,12
2016-09-16,6
2016-09-23,5
2016-09-24,9
2016-09-26,16
2016-09-27,16
2016-09-28,12
2016-09-29,18
2016-09-30,10
2016-10-01,10
2016-10-03,16
2016-10-04,16
2016-10-05,12
2016-10-06,16
2016-10-07,13
2016-10-08,16
2016-10-11,13
2016-10-12,18
2016-10-13,12
2016-10-14,7
2016-10-15,8
2016-10-17,7
2016-10-18,12
2016-10-19,14
2016-10-20,12
2016-10-21,7
2016-10-22,10
2016-10-24,10
2016-10-25,1
2016-10-26,10
2016-10-27,8
2016-10-28,10
2016-10-29,4
2016-10-31,11
2016-11-01,10
2016-11-02,8
2016-11-03,6
2016-11-04,14
2016-11-05,2
2016-11-07,4
2016-11-08,6
2016-11-09,17
2016-11-10,15
2016-11-11,13
2016-11-12,13
2016-11-14,8
2016-11-15,12
2016-11-16,10
2016-11-17,16
2016-11-18,21
2016-11-19,13
2016-11-21,6
2016-11-22,12
2016-11-23,14
2016-11-24,12
2016-11-25,14
2016-11-26,10
2016-11-28,6
2016-11-29,14
2016-11-30,15
2016-12-01,18
2016-12-02,16
2016-12-03,16
2016-12-05,14
2016-12-06,6
2016-12-07,17
2016-12-08,15
2016-12-09,16
2016-12-10,13
2016-12-12,12
2016-12-13,14
2016-12-14,12
2016-12-15,7
2016-12-16,16
2016-12-17,10
2016-12-19,6
2016-12-20,16
2016-12-21,16
2016-12-22,16
2016-12-23,14
2016-12-24,15
2016-12-26,5
2016-12-27,15
2016-12-28,17
2016-12-29,12
2016-12-30,15
2016-12-31,14
2017-01-01,12
2017-01-02,13
2017-01-03,14
2017-01-10,10
2017-01-11,8
2017-01-12,13
2017-01-13,14
2017-01-16,11
2017-01-18,13
2017-01-19,12
2017-01-20,9
