date,visitors
2016-07-01,19
2016-07-02,13
2016-07-04,6
2016-07-05,20
2016-07-06,14
2016-07-07,18
2016-07-08,10
2016-07-09,16
2016-07-12,17
2016-07-13,17
2016-07-14,12
2016-07-15,11
2016-07-16,16
2016-07-19,11
2016-07-20,22
2016-07-21,22
2016-07-22,16
2016-07-23,19
2016-07-25,12
2016-07-26,19
2016-07-27,15
2016-07-28,13
2016-07-29,25
2016-07-30,18
2016-08-01,8
2016-08-02,14
2016-08-03,13
2016-08-04,11
2016-08-05,17
2016-08-06,19
2016-08-08,17
2016-08-09,15
2016-08-10,21
2016-08-11,6
2016-08-12,12
2016-08-13,5
2016-08-15,5
2016-08-16,12
2016-08-17,18
2016-08-18,23
2016-08-19,7
2016-08-20,2
2016-08-22,4
2016-08-23,12
2016-08-24,6
2016-08-25,24
2016-08-26,22
2016-08-27,17
2016-08-29,9
2016-08-30,9
2016-08-31,23
2016-09-01,9
2016-09-02,22
2016-09-03,16
2016-09-05,15
2016-09-06,11
2016-09-07,6
2016-09-08,11
2016-09-09,19
2016-09-10,21
2016-09-12,12
2016-09-13,20
2016-09-14,10
2016-09-15,12
2016-09-16,11
2016-09-17,7
2016-09-18,17
2016-09-20,4
2016-09-21,6
2016-09-22,1
2016-09-23,13
2016-09-24,23
2016-09-25,4
2016-09-26,16
2016-09-27,14
2016-09-28,19
2016-09-29,13
2016-09-30,26
2016-10-01,9
2016-10-03,10
2016-10-04,14
2016-10-05,18
2016-10-06,19
2016-10-07,7
2016-10-08,11
2016-10-09,10
2016-10-12,8
2016-10-13,7
2016-10-14,18
2016-10-15,8
2016-10-16,4
2016-10-17,2
2016-10-18,17
2016-10-19,12
2016-10-20,24
2016-10-21,19
2016-10-22,13
2016-10-25,5
2016-10-26,16
2016-10-27,10
2016-10-28,13
2016-10-29,25
2016-10-30,13
2016-10-31,5
2016-11-01,19
2016-11-02,9
2016-11-03,16
2016-11-04,18
2016-11-05,13
2016-11-07,9
2016-11-08,15
2016-11-09,12
2016-11-10,14
2016-11-11,18
2016-11-12,17
2016-11-14,8
2016-11-15,22
2016-11-16,18
2016-11-17,14
2016-11-18,6
2016-11-19,10
2016-11-21,14
2016-11-22,21
2016-11-23,3
2016-11-24,4
2016-11-25,17
2016-11-26,25
2016-11-28,9
2016-11-29,6
2016-11-30,13
2016-12-01,2
2016-12-02,11
2016-12-03,20
2016-12-05,9
2016-12-06,12
2016-12-07,2
2016-12-08,21
2016-12-09,30
2016-12-10,18
2016-12-12,9
2016-12-13,21
2016-12-14,19
2016-12-15,25
2016-12-16,20
2016-12-17,14
2016-12-19,17
2016-12-20,17
2016-12-21,17
2016-12-22,26
2016-12-23,29
2016-12-24,15
2016-12-26,27
2016-12-27,23
2016-12-28,16
2016-12-29,13
2017-01-05,11
2017-01-06,10
2017-01-07,19
2017-01-08,13
2017-01-10,16
2017-01-11,10
2017-01-12,5
2017-01-13,18
2017-01-14,18
2017-01-16,14
2017-01-17,21
2017-01-18,12
2017-01-19,19
2017-01-20,18
2017-01-21,19
2017-01-23,6
2017-01-24,16
2017-01-25,21
2017-01-26,22
2017-01-27,16
2017-01-28,10
2017-01-30,12
2017-01-31,10
2017-02-01,12
2017-02-02,17
2017-02-03,17
2017-02-04,14
2017-02-05,3
2017-02-06,8
2017-02-07,9
2017-02-08,21
2017-02-09,9
2017-02-10,19
2017-02-11,19
2017-02-13,17
2017-02-14,11
2017-02-15,14
2017-02-16,19
2017-02-17,15
2017-02-18,19
2017-02-20,13
2017-02-21,12
2017-02-22,12
2017-02-23,9
