date,visitors
2016-01-05,49
2016-01-06,22
2016-01-07,24
2016-01-08,44
2016-01-09,28
2016-01-11,25
2016-01-12,33
2016-01-13,17
2016-01-14,34
2016-01-15,35
2016-01-16,24
2016-01-18,24
2016-01-19,40
2016-01-20,46
2016-01-21,46
2016-01-22,38
2016-01-23,22
2016-01-25,28
2016-01-26,27
2016-01-27,36
2016-01-28,40
2016-01-29,49
2016-01-30,27
2016-02-01,32
2016-02-02,50
2016-02-03,33
2016-02-04,37
2016-02-05,51
2016-02-06,48
2016-02-08,33
2016-02-09,39
2016-02-10,42
2016-02-11,18
2016-02-12,37
2016-02-13,29
2016-02-15,33
2016-02-16,28
2016-02-17,50
2016-02-18,47
2016-02-19,69
2016-02-20,21
2016-02-23,36
2016-02-24,24
2016-02-25,48
2016-02-26,65
2016-02-27,33
2016-02-29,39
2016-03-01,46
2016-03-02,62
2016-03-03,55
2016-03-04,58
2016-03-07,27
2016-03-08,38
2016-03-09,32
2016-03-10,53
2016-03-11,49
2016-03-12,36
2016-03-14,45
2016-03-15,54
2016-03-16,65
2016-03-17,48
2016-03-18,58
2016-03-19,44
2016-03-21,46
2016-03-22,22
2016-03-23,46
2016-03-24,42
2016-03-25,53
2016-03-26,45
2016-03-28,50
2016-03-29,49
2016-03-30,76
2016-03-31,64
2016-04-01,72
2016-04-02,40
2016-04-04,41
2016-04-05,48
2016-04-06,66
2016-04-07,32
2016-04-08,47
2016-04-09,54
2016-04-11,29
2016-04-12,23
2016-04-13,31
2016-04-14,40
2016-04-15,22
2016-04-16,21
2016-04-18,37
2016-04-19,18
2016-04-20,34
2016-04-21,41
2016-04-22,49
2016-04-23,36
2016-04-25,48
2016-04-26,41
2016-04-27,54
2016-04-28,34
2016-04-29,36
2016-04-30,51
2016-05-06,47
2016-05-07,41
2016-05-09,51
2016-05-10,37
2016-05-11,21
2016-05-12,31
2016-05-13,54
2016-05-14,51
2016-05-16,51
2016-05-17,28
2016-05-18,75
2016-05-19,42
2016-05-20,54
2016-05-21,20
2016-05-23,51
2016-05-24,36
2016-05-25,36
2016-05-26,55
2016-05-27,41
2016-05-28,8
2016-05-30,51
2016-05-31,43
2016-06-01,48
2016-06-02,6
2016-06-03,40
2016-06-06,60
2016-06-07,32
2016-06-08,51
2016-06-09,48
2016-06-10,56
2016-06-11,30
2016-06-13,20
2016-06-14,13
2016-06-15,25
2016-06-16,3
2016-06-17,57
2016-06-18,44
2016-06-20,54
2016-06-21,38
2016-06-22,41
2016-06-24,16
2016-06-25,15
2016-06-27,69
2016-06-28,43
2016-06-29,20
2016-06-30,23
2016-07-01,9
2016-07-04,53
2016-07-05,47
2016-07-06,8
2016-07-07,31
2016-07-08,17
2016-07-09,29
2016-07-11,26
2016-07-12,39
2016-07-13,46
2016-07-14,30
2016-07-15,48
2016-07-16,27
2016-07-19,39
2016-07-20,19
2016-07-21,31
2016-07-22,24
2016-07-23,14
2016-07-25,39
2016-07-26,31
2016-07-27,35
2016-07-28,39
2016-07-29,54
2016-07-30,22
2016-08-01,25
2016-08-02,27
2016-08-03,10
2016-08-04,13
2016-08-05,20
2016-08-06,22
2016-08-08,15
2016-08-09,36
2016-08-10,23
2016-08-11,17
2016-08-12,34
2016-08-13,15
2016-08-17,29
2016-08-18,17
2016-08-19,33
2016-08-20,13
2016-08-22,1
2016-08-23,32
2016-08-24,32
2016-08-25,6
2016-08-26,26
2016-08-27,13
2016-08-29,47
2016-08-30,32
2016-08-31,10
2016-09-01,9
2016-09-02,24
2016-09-03,11
2016-09-05,56
2016-09-06,29
2016-09-07,23
2016-09-08,10
2016-09-09,23
2016-09-10,9
2016-09-12,51
2016-09-13,32
2016-09-14,13
2016-09-15,15
2016-09-16,17
2016-09-17,22
2016-09-20,41
2016-09-21,11
2016-09-22,6
2016-09-23,20
2016-09-24,27
2016-09-26,34
2016-09-27,41
2016-09-28,48
2016-09-29,56
2016-09-30,61
2016-10-01,13
2016-10-03,44
2016-10-04,42
2016-10-05,23
2016-10-06,37
2016-10-07,57
2016-10-08,41
2016-10-11,32
2016-10-12,55
2016-10-13,59
2016-10-14,50
2016-10-15,52
2016-10-17,51
2016-10-18,13
2016-10-19,59
2016-10-20,40
2016-10-21,62
2016-10-22,33
2016-10-24,57
2016-10-25,18
2016-10-26,47
2016-10-27,62
2016-10-28,20
2016-10-29,28
2016-10-31,49
2016-11-01,39
2016-11-02,49
2016-11-03,23
2016-11-04,53
2016-11-05,33
2016-11-07,43
2016-11-08,57
2016-11-09,21
2016-11-10,53
2016-11-11,59
2016-11-12,27
2016-11-14,23
2016-11-15,13
2016-11-16,40
2016-11-17,18
2016-11-18,24
2016-11-19,18
2016-11-21,52
2016-11-22,47
2016-11-23,9
2016-11-24,14
2016-11-25,57
2016-11-26,9
2016-11-28,13
2016-11-29,25
2016-11-30,13
2016-12-01,22
2016-12-02,25
2016-12-03,6
2016-12-05,27
2016-12-06,24
2016-12-07,24
2016-12-08,23
2016-12-09,27
2016-12-10,23
2016-12-12,14
2016-12-13,23
2016-12-14,37
2016-12-15,24
2016-12-16,28
2016-12-17,22
2016-12-19,18
2016-12-20,17
2016-12-21,22
2016-12-22,29
2016-12-23,19
2016-12-24,24
2016-12-26,24
2016-12-27,22
2016-12-28,28
2017-01-05,17
2017-01-06,25
2017-01-07,16
2017-01-09,6
2017-01-10,14
2017-01-11,10
2017-01-12,23
2017-01-13,19
2017-01-14,22
2017-01-16,18
2017-01-17,17
2017-01-18,18
2017-01-19,21
2017-01-20,23
