date,visitors
2016-07-01,14
2016-07-02,28
2016-07-03,19
2016-07-04,8
2016-07-05,4
2016-07-06,8
2016-07-07,11
2016-07-08,14
2016-07-09,22
2016-07-10,16
2016-07-11,10
2016-07-12,3
2016-07-13,5
2016-07-14,10
2016-07-15,11
2016-07-16,14
2016-07-17,12
2016-07-18,8
2016-07-19,4
2016-07-20,1
2016-07-21,12
2016-07-22,22
2016-07-23,19
2016-07-24,12
2016-07-25,1
2016-07-26,3
2016-07-27,9
2016-07-28,12
2016-07-29,10
2016-07-30,11
2016-07-31,19
2016-08-01,15
2016-08-03,3
2016-08-04,9
2016-08-05,9
2016-08-06,13
2016-08-07,15
2016-08-09,1
2016-08-10,16
2016-08-11,10
2016-08-12,12
2016-08-13,12
2016-08-14,15
2016-08-15,11
2016-08-16,1
2016-08-17,4
2016-08-18,9
2016-08-19,9
2016-08-20,20
2016-08-21,4
2016-08-23,5
2016-08-24,7
2016-08-25,2
2016-08-26,11
2016-08-27,16
2016-08-28,9
2016-08-29,7
2016-08-30,2
2016-08-31,10
2016-09-01,4
2016-09-02,9
2016-09-03,9
2016-09-04,12
2016-09-05,13
2016-09-06,3
2016-09-07,6
2016-09-08,8
2016-09-09,9
2016-09-10,7
2016-09-13,2
2016-09-14,12
2016-09-15,12
2016-09-16,7
2016-09-17,12
2016-09-18,16
2016-09-19,5
2016-09-21,5
2016-09-22,9
2016-09-23,11
2016-09-24,9
2016-09-25,15
2016-09-27,3
2016-09-28,4
2016-09-29,21
2016-09-30,13
2016-10-01,13
2016-10-02,9
2016-10-04,2
2016-10-05,11
2016-10-06,13
2016-10-07,9
2016-10-08,21
2016-10-09,8
2016-10-11,1
2016-10-12,2
2016-10-13,8
2016-10-14,3
2016-10-15,7
2016-10-16,17
2016-10-17,3
2016-10-18,1
2016-10-19,8
2016-10-20,2
2016-10-21,6
2016-10-22,6
2016-10-23,9
2016-10-24,2
2016-10-25,6
2016-10-26,5
2016-10-27,10
2016-10-28,10
2016-10-29,8
2016-10-30,17
2016-10-31,1
2016-11-01,5
2016-11-02,18
2016-11-03,11
2016-11-04,3
2016-11-05,14
2016-11-06,14
2016-11-07,1
2016-11-08,3
2016-11-09,5
2016-11-10,14
2016-11-11,7
2016-11-12,23
2016-11-13,20
2016-11-14,5
2016-11-15,5
2016-11-16,10
2016-11-17,11
2016-11-18,16
2016-11-19,9
2016-11-20,2
2016-11-21,11
2016-11-23,18
2016-11-24,9
2016-11-25,8
2016-11-26,15
2016-11-27,11
2016-11-28,8
2016-11-29,2
2016-11-30,9
2016-12-01,5
2016-12-02,3
2016-12-03,12
2016-12-04,7
2016-12-05,6
2016-12-07,10
2016-12-08,9
2016-12-10,19
2016-12-11,23
2016-12-12,10
2016-12-13,1
2016-12-14,6
2016-12-15,11
2016-12-16,10
2016-12-17,14
2016-12-18,20
2016-12-19,7
2016-12-21,6
2016-12-22,1
2016-12-23,7
2016-12-24,12
2016-12-25,11
2016-12-26,13
2016-12-27,3
2016-12-28,11
2016-12-29,13
2016-12-30,12
2016-12-31,6
2017-01-01,9
2017-01-02,7
2017-01-03,18
2017-01-04,14
2017-01-05,2
2017-01-06,7
2017-01-07,14
2017-01-08,13
2017-01-09,7
2017-01-12,3
2017-01-13,19
2017-01-14,16
2017-01-15,4
2017-01-16,13
2017-01-18,18
2017-01-19,12
2017-01-20,3
2017-01-21,16
2017-01-22,16
2017-01-23,14
2017-01-24,4
2017-01-25,5
2017-01-26,2
2017-01-27,13
2017-01-28,8
2017-01-29,16
2017-01-30,12
2017-01-31,4
2017-02-01,6
2017-02-02,5
2017-02-03,15
2017-02-04,14
2017-02-05,8
2017-02-06,1
2017-02-07,1
2017-02-08,5
2017-02-09,5
2017-02-10,5
2017-02-11,16
2017-02-12,7
2017-02-13,8
2017-02-14,3
2017-02-15,8
2017-02-16,6
2017-02-17,6
2017-02-18,10
2017-02-19,9
2017-02-20,11
2017-02-21,1
2017-02-22,6
