date,visitors
2016-07-01,16
2016-07-02,4
2016-07-03,5
2016-07-04,5
2016-07-05,6
2016-07-06,8
2016-07-07,9
2016-07-08,11
2016-07-09,13
2016-07-10,4
2016-07-11,3
2016-07-12,8
2016-07-13,9
2016-07-15,10
2016-07-16,13
2016-07-17,9
2016-07-18,4
2016-07-19,1
2016-07-20,2
2016-07-21,5
2016-07-22,8
2016-07-23,10
2016-07-24,3
2016-07-25,6
2016-07-26,9
2016-07-27,5
2016-07-28,9
2016-07-29,8
2016-07-30,13
2016-07-31,6
2016-08-02,6
2016-08-03,3
2016-08-04,4
2016-08-05,11
2016-08-06,5
2016-08-07,2
2016-08-08,3
2016-08-09,8
2016-08-10,5
2016-08-11,8
2016-08-12,1
2016-08-13,6
2016-08-15,10
2016-08-16,7
2016-08-17,10
2016-08-18,4
2016-08-19,10
2016-08-21,3
2016-08-22,8
2016-08-23,1
2016-08-24,10
2016-08-26,9
2016-08-27,10
2016-08-28,5
2016-08-30,1
2016-08-31,13
2016-09-01,1
2016-09-02,14
2016-09-03,13
2016-09-06,6
2016-09-07,4
2016-09-08,2
2016-09-09,9
2016-09-10,3
2016-09-12,7
2016-09-13,2
2016-09-14,3
2016-09-15,1
2016-09-16,7
2016-09-17,14
2016-09-19,5
2016-09-20,8
2016-09-21,6
2016-09-22,1
2016-09-23,8
2016-09-24,18
2016-09-25,16
2016-09-26,10
2016-10-07,8
2016-10-08,15
2016-10-09,8
2016-10-10,7
2016-10-11,8
2016-10-12,7
2016-10-13,5
2016-10-14,10
2016-10-15,5
2016-10-17,6
2016-10-18,9
2016-10-19,2
2016-10-20,4
2016-10-21,10
2016-10-22,4
2016-10-23,1
2016-10-24,2
2016-10-25,11
2016-10-26,2
2016-10-27,8
2016-10-28,6
2016-10-29,6
2016-10-30,7
2016-10-31,3
2016-11-01,14
2016-11-02,6
2016-11-03,16
2016-11-04,2
2016-11-05,7
2016-11-07,5
2016-11-08,6
2016-11-09,4
2016-11-10,9
2016-11-11,10
2016-11-12,2
2016-11-14,12
2016-11-15,9
2016-11-16,6
2016-11-17,14
2016-11-18,20
2016-11-19,9
2016-11-21,8
2016-11-22,9
2016-11-23,11
2016-11-24,1
2016-11-25,7
2016-11-26,8
2016-11-27,6
2016-11-28,8
2016-11-29,2
2016-11-30,7
2016-12-01,8
2016-12-02,12
2016-12-03,15
2016-12-05,13
2016-12-06,5
2016-12-07,12
2016-12-08,5
2016-12-09,6
2016-12-10,8
2016-12-11,3
2016-12-12,9
2016-12-13,6
2016-12-14,7
2016-12-15,4
2016-12-16,4
2016-12-17,9
2016-12-19,11
2016-12-20,8
2016-12-21,8
2016-12-22,8
2016-12-23,5
2016-12-24,6
2016-12-25,5
2016-12-26,19
2017-01-07,6
2017-01-08,11
2017-01-09,9
2017-01-10,3
2017-01-11,5
2017-01-12,2
2017-01-13,12
2017-01-14,8
2017-01-16,7
2017-01-17,7
2017-01-18,16
2017-01-19,2
2017-01-20,10
2017-01-21,7
2017-01-23,8
2017-01-24,3
2017-01-25,4
2017-01-26,8
2017-01-27,14
2017-01-28,6
2017-01-29,2
2017-01-30,5
2017-01-31,17
2017-02-01,4
2017-02-02,1
2017-02-03,9
2017-02-04,16
2017-02-05,2
2017-02-06,11
2017-02-07,6
2017-02-08,2
2017-02-09,2
2017-02-10,5
2017-02-11,5
2017-02-13,10
2017-02-14,6
2017-02-15,8
2017-02-16,5
2017-02-17,2
2017-02-18,7
2017-02-20,2
2017-02-21,2
2017-02-22,10
2017-02-23,5
