date,visitors
2016-07-01,5
2016-07-02,11
2016-07-04,19
2016-07-06,2
2016-07-20,9
2016-07-22,6
2016-07-24,16
2016-07-25,11
2016-07-26,25
2016-07-28,11
2016-07-29,10
2016-08-01,5
2016-08-02,8
2016-08-03,9
2016-08-04,6
2016-08-05,13
2016-08-06,12
2016-08-10,8
2016-08-11,5
2016-08-12,9
2016-08-17,12
2016-08-18,13
2016-08-20,11
2016-08-22,12
2016-08-23,15
2016-08-24,8
2016-08-25,16
2016-08-26,18
2016-08-27,7
2016-08-29,21
2016-08-31,6
2016-09-01,18
2016-09-02,10
2016-09-03,18
2016-09-06,34
2016-09-07,12
2016-09-08,24
2016-09-09,14
2016-09-13,11
2016-09-14,6
2016-09-15,10
2016-09-16,5
2016-09-17,9
2016-09-20,9
2016-09-21,16
2016-09-23,11
2016-09-24,16
2016-09-28,29
2016-09-29,6
2016-09-30,11
2016-10-05,14
2016-10-06,7
2016-10-07,12
2016-10-08,10
2016-10-11,17
2016-10-12,21
2016-10-13,6
2016-10-15,4
2016-10-18,5
2016-10-19,10
2016-10-20,12
2016-10-21,39
2016-10-22,10
2016-10-24,7
2016-11-09,13
2016-11-10,6
2016-11-11,6
2016-11-12,9
2016-11-14,6
2016-11-15,10
2016-11-16,25
2016-11-17,18
2016-11-18,7
2016-11-19,9
2016-11-21,17
2016-11-22,14
2016-11-23,8
2016-11-24,15
2016-11-25,15
2016-11-26,5
2016-11-28,10
2016-11-30,11
2016-12-01,5
2016-12-03,8
2016-12-05,10
2016-12-06,17
2016-12-08,4
2016-12-09,16
2016-12-10,2
2016-12-11,13
2016-12-13,33
2016-12-14,26
2016-12-15,6
2016-12-22,38
2016-12-23,26
2016-12-24,19
2016-12-27,10
2016-12-28,13
2017-01-06,5
2017-01-07,9
2017-01-10,12
2017-01-11,22
2017-01-12,18
2017-01-13,8
2017-01-14,7
2017-01-25,52
2017-01-26,6
2017-01-27,4
2017-01-28,11
2017-01-30,11
2017-01-31,20
2017-02-01,25
2017-02-02,20
2017-02-03,26
2017-02-04,16
2017-02-06,15
2017-02-07,4
2017-02-08,14
2017-02-09,12
2017-02-10,15
2017-02-16,12
2017-02-17,15
2017-02-18,7
2017-02-20,8
2017-02-21,8
2017-02-22,16
2017-02-24,2
2017-02-25,22
2017-02-27,9
2017-02-28,3
2017-03-01,16
2017-03-03,29
2017-03-04,11
2017-03-06,13
2017-03-07,7
2017-03-08,3
2017-03-09,2
