date,visitors
2016-07-01,31
2016-07-02,13
2016-07-04,34
2016-07-05,27
2016-07-06,33
2016-07-07,29
2016-07-08,31
2016-07-09,12
2016-07-11,28
2016-07-12,36
2016-07-13,32
2016-07-14,32
2016-07-15,28
2016-07-16,15
2016-07-19,37
2016-07-20,43
2016-07-21,34
2016-07-22,26
2016-07-25,36
2016-07-26,26
2016-07-27,35
2016-07-28,33
2016-07-29,29
2016-07-30,13
2016-08-01,40
2016-08-02,42
2016-08-03,35
2016-08-04,33
2016-08-05,33
2016-08-06,16
2016-08-08,27
2016-08-09,31
2016-08-10,32
2016-08-12,19
2016-08-17,30
2016-08-18,31
2016-08-19,30
2016-08-20,11
2016-08-22,30
2016-08-23,30
2016-08-24,32
2016-08-25,26
2016-08-26,38
2016-08-29,28
2016-08-30,33
2016-08-31,31
2016-09-01,29
2016-09-02,33
2016-09-03,11
2016-09-05,23
2016-09-06,35
2016-09-07,32
2016-09-08,20
2016-09-09,34
2016-09-10,17
2016-09-12,38
2016-09-13,34
2016-09-14,31
2016-09-15,30
2016-09-16,28
2016-09-17,13
2016-09-21,27
2016-09-23,28
2016-09-24,11
2016-09-26,31
2016-09-27,26
2016-09-28,33
2016-09-29,33
2016-09-30,34
2016-10-03,33
2016-10-04,27
2016-10-05,27
2016-10-06,25
2016-10-07,35
2016-10-08,13
2016-10-11,33
2016-10-12,33
2016-10-13,34
2016-10-14,27
2016-10-15,16
2016-10-17,31
2016-10-18,26
2016-10-19,29
2016-10-20,33
2016-10-21,32
2016-10-22,17
2016-10-24,34
2016-10-25,34
2016-10-26,30
2016-10-27,21
2016-10-28,29
2016-10-31,31
2016-11-01,36
2016-11-02,32
2016-11-04,30
2016-11-05,17
2016-11-07,21
2016-11-08,26
2016-11-09,28
2016-11-10,27
2016-11-11,35
2016-11-12,9
2016-11-15,32
2016-11-16,35
2016-11-17,28
2016-11-18,31
2016-11-19,12
2016-11-21,27
2016-11-22,35
2016-11-24,23
2016-11-25,37
2016-11-28,31
2016-11-29,26
2016-11-30,31
2016-12-01,22
2016-12-02,37
2016-12-03,18
2016-12-05,33
2016-12-06,39
2016-12-07,38
2016-12-08,30
2016-12-09,37
2016-12-10,8
2016-12-12,30
2016-12-13,23
2016-12-14,31
2016-12-15,35
2016-12-16,32
2016-12-17,15
2016-12-19,34
2016-12-20,32
2016-12-21,30
2016-12-22,34
2016-12-26,34
2016-12-27,26
2016-12-28,21
2017-01-04,23
2017-01-05,31
2017-01-06,34
2017-01-07,5
2017-01-10,34
2017-01-11,33
2017-01-12,37
2017-01-13,31
2017-01-14,17
2017-01-16,30
2017-01-17,20
2017-01-18,31
2017-01-19,23
2017-01-20,33
2017-01-21,15
2017-01-23,29
2017-01-24,25
2017-01-25,29
2017-01-26,23
2017-01-27,29
2017-01-28,10
2017-01-30,34
2017-01-31,24
2017-02-01,32
2017-02-02,27
2017-02-03,27
2017-02-06,34
2017-02-07,24
2017-02-08,30
2017-02-09,21
2017-02-10,21
2017-02-13,24
2017-02-14,29
2017-02-15,36
2017-02-16,27
2017-02-17,29
2017-02-18,16
2017-02-20,33
2017-02-21,34
2017-02-22,31
2017-02-23,36
