date,visitors
2016-07-01,7
2016-07-02,33
2016-07-03,51
2016-07-04,22
2016-07-05,3
2016-07-06,4
2016-07-07,5
2016-07-08,38
2016-07-09,31
2016-07-10,23
2016-07-11,5
2016-07-12,12
2016-07-13,4
2016-07-14,5
2016-07-15,31
2016-07-16,25
2016-07-17,27
2016-07-18,21
2016-07-19,24
2016-07-20,9
2016-07-21,1
2016-07-22,48
2016-07-23,33
2016-07-24,36
2016-07-25,10
2016-07-26,16
2016-07-27,25
2016-07-28,5
2016-07-29,41
2016-07-30,25
2016-07-31,12
2016-08-01,11
2016-08-02,12
2016-08-03,10
2016-08-04,5
2016-08-05,33
2016-08-06,39
2016-08-07,5
2016-08-08,11
2016-08-09,1
2016-08-10,10
2016-08-11,23
2016-08-12,20
2016-08-13,57
2016-08-14,30
2016-08-15,19
2016-08-16,32
2016-08-17,8
2016-08-18,5
2016-08-19,4
2016-08-20,47
2016-08-21,22
2016-08-22,8
2016-08-23,17
2016-08-24,12
2016-08-25,4
2016-08-26,66
2016-08-27,31
2016-08-28,20
2016-08-29,8
2016-08-30,16
2016-08-31,5
2016-09-01,2
2016-09-02,6
2016-09-03,18
2016-09-04,41
2016-09-05,11
2016-09-06,2
2016-09-07,9
2016-09-08,5
2016-09-09,9
2016-09-10,8
2016-09-11,15
2016-09-12,2
2016-09-13,7
2016-09-14,10
2016-09-15,10
2016-09-16,24
2016-09-17,30
2016-09-18,33
2016-09-19,15
2016-09-20,2
2016-09-21,11
2016-09-22,24
2016-09-23,22
2016-09-24,30
2016-09-25,3
2016-09-27,5
2016-09-28,12
2016-09-29,16
2016-09-30,11
2016-10-01,24
2016-10-02,20
2016-10-03,3
2016-10-04,8
2016-10-05,4
2016-10-06,23
2016-10-07,4
2016-10-08,29
2016-10-09,22
2016-10-10,26
2016-10-11,2
2016-10-12,10
2016-10-14,22
2016-10-15,18
2016-10-16,5
2016-10-17,10
2016-10-18,9
2016-10-19,9
2016-10-20,7
2016-10-21,18
2016-10-22,29
2016-10-23,29
2016-10-24,4
2016-10-25,17
2016-10-26,1
2016-10-27,5
2016-10-28,7
2016-10-29,36
2016-10-30,35
2016-11-01,4
2016-11-02,37
2016-11-03,18
2016-11-04,3
2016-11-05,6
2016-11-06,36
2016-11-07,1
2016-11-08,7
2016-11-09,1
2016-11-10,3
2016-11-11,6
2016-11-12,36
2016-11-13,9
2016-11-14,4
2016-11-15,5
2016-11-17,3
2016-11-18,47
2016-11-19,40
2016-11-20,40
2016-11-21,41
2016-11-22,13
2016-11-23,17
2016-11-24,11
2016-11-25,26
2016-11-26,21
2016-11-27,57
2016-11-28,2
2016-11-29,18
2016-11-30,5
2016-12-01,1
2016-12-02,57
2016-12-03,30
2016-12-04,43
2016-12-06,5
2016-12-07,11
2016-12-09,12
2016-12-10,78
2016-12-11,92
2016-12-13,4
2016-12-14,2
2016-12-17,72
2016-12-18,9
2016-12-19,3
2016-12-20,6
2016-12-21,5
2016-12-23,108
2016-12-24,29
2016-12-25,18
2016-12-26,13
2016-12-27,6
2016-12-28,12
2017-01-03,19
2017-01-04,5
2017-01-05,18
2017-01-06,17
2017-01-07,17
2017-01-08,78
2017-01-09,21
2017-01-11,2
2017-01-12,8
2017-01-13,34
2017-01-14,45
2017-01-15,12
2017-01-17,2
2017-01-18,1
2017-01-19,2
2017-01-20,25
2017-01-21,20
2017-01-22,18
2017-01-23,6
2017-01-24,15
2017-01-25,2
2017-01-26,8
2017-01-27,18
2017-01-28,23
2017-01-29,35
2017-01-30,3
2017-01-31,24
2017-02-01,2
2017-02-02,1
2017-02-03,6
2017-02-04,20
2017-02-05,26
2017-02-06,2
2017-02-08,2
2017-02-10,38
2017-02-11,53
2017-02-12,10
2017-02-13,1
2017-02-15,2
2017-02-16,2
2017-02-17,25
