date,visitors
2016-01-04,30
2016-01-05,24
2016-01-06,31
2016-01-07,28
2016-01-08,22
2016-01-09,62
2016-01-10,50
2016-01-11,41
2016-01-12,19
2016-01-13,27
2016-01-14,29
2016-01-15,32
2016-01-16,67
2016-01-17,48
2016-01-18,18
2016-01-19,29
2016-01-20,28
2016-01-21,29
2016-01-22,27
2016-01-23,54
2016-01-24,35
2016-01-25,30
2016-01-26,33
2016-01-27,38
2016-01-28,30
2016-01-29,15
2016-01-30,34
2016-01-31,54
2016-02-01,20
2016-02-02,33
2016-02-03,25
2016-02-04,29
2016-02-05,30
2016-02-06,43
2016-02-07,36
2016-02-08,40
2016-02-09,28
2016-02-10,30
2016-02-11,46
2016-02-12,23
2016-02-13,54
2016-02-14,59
2016-02-15,19
2016-02-16,20
2016-02-17,31
2016-02-18,30
2016-02-19,3
2016-02-20,20
2016-02-21,50
2016-02-22,31
2016-02-23,35
2016-02-24,26
2016-02-25,36
2016-02-26,30
2016-02-27,52
2016-02-28,44
2016-02-29,26
2016-03-01,24
2016-03-02,20
2016-03-03,27
2016-03-04,37
2016-03-05,54
2016-03-06,45
2016-03-07,21
2016-03-08,29
2016-03-09,18
2016-03-10,20
2016-03-11,18
2016-03-12,22
2016-03-13,33
2016-03-14,11
2016-03-15,27
2016-03-16,30
2016-03-17,32
2016-03-18,34
2016-03-19,33
2016-03-20,43
2016-03-21,37
2016-03-22,34
2016-03-23,31
2016-03-24,25
2016-03-25,34
2016-03-26,52
2016-03-27,58
2016-03-28,43
2016-03-29,43
2016-03-30,49
2016-03-31,46
2016-04-01,27
2016-04-02,35
2016-04-03,44
2016-04-04,24
2016-04-05,32
2016-04-06,39
2016-04-07,23
2016-04-08,37
2016-04-09,66
2016-04-10,49
2016-04-11,24
2016-04-12,21
2016-04-13,28
2016-04-14,18
2016-04-15,22
2016-04-16,45
2016-04-17,30
2016-04-18,29
2016-04-19,30
2016-04-20,38
2016-04-21,19
2016-04-22,29
2016-04-23,49
2016-04-24,53
2016-04-25,34
2016-04-26,24
2016-04-27,34
2016-04-28,20
2016-04-29,37
2016-04-30,51
2016-05-01,52
2016-05-02,48
2016-05-03,61
2016-05-04,50
2016-05-05,45
2016-05-06,27
2016-05-07,57
2016-05-08,65
2016-05-09,19
2016-05-10,36
2016-05-11,29
2016-05-12,32
2016-05-13,29
2016-05-14,45
2016-05-15,48
2016-05-16,38
2016-05-17,16
2016-05-18,59
2016-05-19,94
2016-05-20,54
2016-05-21,51
2016-05-22,49
2016-05-23,40
2016-05-24,35
2016-05-25,39
2016-05-26,40
2016-05-27,24
2016-05-28,49
2016-05-29,47
2016-05-30,16
2016-05-31,27
2016-06-01,32
2016-06-02,42
2016-06-03,29
2016-06-04,37
2016-06-05,53
2016-06-06,27
2016-06-07,26
2016-06-08,33
2016-06-09,20
2016-06-10,30
2016-06-11,79
2016-06-12,81
2016-06-13,16
2016-06-14,35
2016-06-15,22
2016-06-16,19
2016-06-17,22
2016-06-18,49
2016-06-19,33
2016-06-20,36
2016-06-21,17
2016-06-22,28
2016-06-23,26
2016-06-24,31
2016-06-25,37
2016-06-26,54
2016-06-27,34
2016-06-28,25
2016-06-29,29
2016-06-30,31
2016-07-01,25
2016-07-02,37
2016-07-03,51
2016-07-04,31
2016-07-05,22
2016-07-06,28
2016-07-07,31
2016-07-08,27
2016-07-09,22
2016-07-10,36
2016-07-11,23
2016-07-12,36
2016-07-13,21
2016-07-14,24
2016-07-15,18
2016-07-16,41
2016-07-17,36
2016-07-18,41
2016-07-19,19
2016-07-20,29
2016-07-21,15
2016-07-22,25
2016-07-23,40
2016-07-24,32
2016-07-25,25
2016-07-26,25
2016-07-27,26
2016-07-28,29
2016-07-29,24
2016-07-30,40
2016-07-31,41
2016-08-01,19
2016-08-02,26
2016-08-03,26
2016-08-04,27
2016-08-05,32
2016-08-06,36
2016-08-07,35
2016-08-08,23
2016-08-09,24
2016-08-10,22
2016-08-11,34
2016-08-12,22
2016-08-13,45
2016-08-14,48
2016-08-15,15
2016-08-16,19
2016-08-17,29
2016-08-18,14
2016-08-19,30
2016-08-20,28
2016-08-21,35
2016-08-22,6
2016-08-23,25
2016-08-24,23
2016-08-25,27
2016-08-26,33
2016-08-27,42
2016-08-28,27
2016-08-29,23
2016-08-30,21
2016-08-31,21
2016-09-01,26
2016-09-02,23
2016-09-03,31
2016-09-04,27
2016-09-05,21
2016-09-06,23
2016-09-07,26
2016-09-08,22
2016-09-09,21
2016-09-10,25
2016-09-11,29
2016-09-12,32
2016-09-13,13
2016-09-14,18
2016-09-15,15
2016-09-16,20
2016-09-17,27
2016-09-18,39
2016-09-19,13
2016-09-20,9
2016-09-21,27
2016-09-22,12
2016-09-23,15
2016-09-24,22
2016-09-25,35
2016-09-26,31
2016-09-27,23
2016-09-28,24
2016-09-29,25
2016-09-30,31
2016-10-01,19
2016-10-02,47
2016-10-03,20
2016-10-04,32
2016-10-05,32
2016-10-06,25
2016-10-07,28
2016-10-08,30
2016-10-09,34
2016-10-10,33
2016-10-11,29
2016-10-12,27
2016-10-13,21
2016-10-14,20
2016-10-15,37
2016-10-16,40
2016-10-17,11
2016-10-18,32
2016-10-19,33
2016-10-20,26
2016-10-21,21
2016-10-22,38
2016-10-23,29
2016-10-24,28
2016-10-25,25
2016-10-26,28
2016-10-27,31
2016-10-28,13
2016-10-29,30
2016-10-30,26
2016-10-31,13
2016-11-01,17
2016-11-02,15
2016-11-03,23
2016-11-04,24
2016-11-05,16
2016-11-06,40
2016-11-07,19
2016-11-08,21
2016-11-09,14
2016-11-10,17
2016-11-11,13
2016-11-12,30
2016-11-13,30
2016-11-14,12
2016-11-15,24
2016-11-16,22
2016-11-17,17
2016-11-18,20
2016-11-19,21
2016-11-20,25
2016-11-21,13
2016-11-22,20
2016-11-23,18
2016-11-24,5
2016-11-25,17
2016-11-26,15
2016-11-27,10
2016-11-28,20
2016-11-29,17
2016-11-30,14
2016-12-01,21
2016-12-02,17
2016-12-03,27
2016-12-04,17
2016-12-05,15
2016-12-06,17
2016-12-07,16
2016-12-08,26
2016-12-09,18
2016-12-10,17
2016-12-11,16
2016-12-12,13
2016-12-13,18
2016-12-14,16
2016-12-15,16
2016-12-16,13
2016-12-17,26
2016-12-18,23
2016-12-19,10
2016-12-20,11
2016-12-21,14
2016-12-22,11
2016-12-23,21
2016-12-24,17
2016-12-25,14
2016-12-26,10
2016-12-27,15
2016-12-28,17
2016-12-29,18
2017-01-04,20
2017-01-05,14
2017-01-06,16
2017-01-07,20
2017-01-08,10
2017-01-09,32
2017-01-10,17
2017-01-11,16
2017-01-12,14
2017-01-13,24
2017-01-14,14
2017-01-15,16
2017-01-16,16
2017-01-17,16
2017-01-18,23
