date,visitors
2016-07-01,41
2016-07-02,48
2016-07-03,48
2016-07-04,24
2016-07-05,34
2016-07-06,29
2016-07-07,28
2016-07-08,40
2016-07-09,35
2016-07-10,36
2016-07-11,40
2016-07-12,47
2016-07-13,32
2016-07-14,15
2016-07-15,39
2016-07-16,45
2016-07-17,71
2016-07-18,45
2016-07-19,31
2016-07-20,28
2016-07-21,34
2016-07-22,34
2016-07-23,60
2016-07-24,33
2016-07-25,28
2016-07-26,34
2016-07-27,27
2016-07-28,37
2016-07-29,35
2016-07-30,57
2016-07-31,50
2016-08-01,26
2016-08-02,34
2016-08-03,43
2016-08-04,16
2016-08-05,35
2016-08-06,57
2016-08-07,52
2016-08-08,33
2016-08-09,27
2016-08-10,34
2016-08-11,43
2016-08-12,20
2016-08-13,55
2016-08-14,36
2016-08-15,40
2016-08-16,62
2016-08-17,30
2016-08-18,30
2016-08-19,33
2016-08-20,48
2016-08-21,50
2016-08-22,34
2016-08-23,36
2016-08-24,13
2016-08-25,32
2016-08-26,49
2016-08-27,51
2016-08-28,50
2016-08-29,24
2016-08-30,33
2016-08-31,41
2016-09-01,30
2016-09-02,47
2016-09-03,32
2016-09-04,32
2016-09-05,20
2016-09-06,23
2016-09-07,30
2016-09-08,14
2016-09-09,33
2016-09-10,44
2016-09-11,50
2016-09-12,26
2016-09-13,30
2016-09-14,32
2016-09-15,32
2016-09-16,31
2016-09-17,51
2016-09-18,34
2016-09-19,43
2016-09-20,13
2016-09-21,43
2016-09-22,24
2016-09-23,35
2016-09-24,60
2016-09-25,66
2016-09-26,40
2016-09-27,38
2016-09-28,14
2016-09-29,39
2016-09-30,30
2016-10-01,47
2016-10-02,40
2016-10-03,26
2016-10-04,38
2016-10-05,19
2016-10-06,20
2016-10-07,37
2016-10-08,40
2016-10-09,49
2016-10-10,40
2016-10-11,28
2016-10-12,39
2016-10-13,20
2016-10-14,43
2016-10-15,18
2016-10-16,41
2016-10-17,36
2016-10-18,41
2016-10-19,34
2016-10-20,43
2016-10-21,30
2016-10-22,39
2016-10-23,38
2016-10-24,28
2016-10-25,21
2016-10-26,21
2016-10-27,32
2016-10-28,43
2016-10-29,38
2016-10-30,48
2016-10-31,22
2016-11-01,19
2016-11-02,36
2016-11-03,32
2016-11-04,43
2016-11-05,33
2016-11-06,42
2016-11-07,29
2016-11-08,29
2016-11-09,31
2016-11-10,22
2016-11-11,40
2016-11-12,40
2016-11-13,38
2016-11-14,25
2016-11-15,19
2016-11-16,39
2016-11-17,33
2016-11-18,62
2016-11-19,57
2016-11-20,52
2016-11-21,19
2016-11-22,33
2016-11-23,18
2016-11-24,14
2016-11-25,44
2016-11-26,43
2016-11-27,43
2016-11-28,39
2016-11-29,36
2016-11-30,30
2016-12-01,12
2016-12-02,44
2016-12-03,53
2016-12-04,46
2016-12-05,14
2016-12-06,36
2016-12-07,24
2016-12-08,12
2016-12-09,46
2016-12-10,39
2016-12-11,53
2016-12-12,47
2016-12-13,33
2016-12-14,19
2016-12-15,35
2016-12-16,49
2016-12-17,54
2016-12-18,53
2016-12-19,50
2016-12-20,41
2016-12-21,33
2016-12-22,39
2016-12-23,51
2016-12-24,45
2016-12-25,31
2016-12-26,39
2016-12-27,58
2016-12-28,43
2016-12-29,53
2016-12-30,84
2016-12-31,62
2017-01-01,60
2017-01-02,51
2017-01-03,9
2017-01-07,38
2017-01-08,56
2017-01-09,60
2017-01-10,42
2017-01-11,29
2017-01-12,9
2017-01-13,37
2017-01-14,33
2017-01-15,41
2017-01-16,44
2017-01-17,34
2017-01-18,27
2017-01-19,23
2017-01-20,41
2017-01-21,30
2017-01-22,43
2017-01-23,14
2017-01-24,8
2017-01-25,7
2017-01-26,34
2017-01-27,55
2017-01-28,64
2017-01-29,57
2017-01-30,42
2017-01-31,33
2017-02-01,28
2017-02-02,43
2017-02-03,11
2017-02-04,41
2017-02-05,57
2017-02-06,28
2017-02-07,8
2017-02-08,34
2017-02-09,13
2017-02-10,16
2017-02-11,90
2017-02-12,29
2017-02-13,14
2017-02-14,9
2017-02-15,36
2017-02-16,27
2017-02-17,31
2017-02-18,54
2017-02-19,47
2017-02-20,29
2017-02-21,20
2017-02-22,36
