date,visitors
2016-07-01,28
2016-07-02,47
2016-07-03,32
2016-07-04,16
2016-07-05,27
2016-07-06,29
2016-07-07,25
2016-07-08,13
2016-07-09,41
2016-07-10,66
2016-07-11,17
2016-07-12,31
2016-07-13,36
2016-07-14,17
2016-07-15,16
2016-07-16,32
2016-07-17,47
2016-07-18,29
2016-07-19,26
2016-07-20,16
2016-07-21,41
2016-07-22,18
2016-07-23,39
2016-07-24,38
2016-07-25,27
2016-07-26,25
2016-07-27,22
2016-07-28,19
2016-07-29,32
2016-07-30,42
2016-07-31,31
2016-08-01,17
2016-08-02,24
2016-08-03,16
2016-08-04,11
2016-08-05,26
2016-08-06,33
2016-08-07,45
2016-08-08,40
2016-08-09,25
2016-08-10,37
2016-08-11,45
2016-08-12,37
2016-08-13,35
2016-08-14,33
2016-08-15,38
2016-08-16,28
2016-08-17,27
2016-08-18,25
2016-08-19,41
2016-08-20,45
2016-08-21,51
2016-08-22,20
2016-08-23,28
2016-08-24,34
2016-08-25,33
2016-08-26,27
2016-08-27,56
2016-08-28,47
2016-08-29,43
2016-08-30,21
2016-08-31,33
2016-09-01,19
2016-09-02,34
2016-09-03,34
2016-09-04,53
2016-09-05,34
2016-09-06,39
2016-09-07,39
2016-09-08,27
2016-09-09,37
2016-09-10,38
2016-09-11,44
2016-09-12,39
2016-09-13,40
2016-09-14,24
2016-09-15,22
2016-09-16,32
2016-09-17,34
2016-09-18,44
2016-09-19,28
2016-09-20,17
2016-09-21,26
2016-09-22,39
2016-09-23,24
2016-09-24,37
2016-09-25,37
2016-09-26,19
2016-09-27,17
2016-09-28,30
2016-09-29,28
2016-09-30,28
2016-10-01,32
2016-10-02,47
2016-10-03,28
2016-10-04,37
2016-10-05,21
2016-10-06,15
2016-10-07,32
2016-10-08,29
2016-10-09,52
2016-10-10,47
2016-10-11,25
2016-10-12,27
2016-10-13,28
2016-10-14,30
2016-10-15,36
2016-10-16,43
2016-10-17,29
2016-10-18,20
2016-10-19,24
2016-10-20,16
2016-10-21,25
2016-10-22,28
2016-10-23,37
2016-10-24,24
2016-10-25,24
2016-10-26,29
2016-10-27,21
2016-10-28,19
2016-10-29,34
2016-10-30,44
2016-10-31,22
2016-11-01,23
2016-11-02,20
2016-11-03,32
2016-11-04,25
2016-11-05,21
2016-11-06,44
2016-11-07,23
2016-11-08,18
2016-11-09,11
2016-11-10,23
2016-11-11,23
2016-11-12,36
2016-11-13,34
2016-11-14,11
2016-11-15,26
2016-11-16,16
2016-11-17,26
2016-11-18,21
2016-11-19,24
2016-11-20,36
2016-11-21,24
2016-11-22,28
2016-11-23,40
2016-11-24,19
2016-11-25,20
2016-11-26,36
2016-11-27,35
2016-11-28,26
2016-11-29,27
2016-11-30,27
2016-12-01,21
2016-12-02,28
2016-12-03,30
2016-12-04,38
2016-12-05,29
2016-12-06,17
2016-12-07,14
2016-12-08,16
2016-12-09,16
2016-12-10,57
2016-12-11,36
2016-12-12,25
2016-12-13,23
2016-12-14,18
2016-12-15,14
2016-12-16,24
2016-12-17,36
2016-12-18,36
2016-12-19,26
2016-12-20,18
2016-12-21,19
2016-12-22,21
2016-12-23,35
2016-12-24,20
2016-12-25,36
2016-12-26,20
2016-12-27,13
2016-12-28,23
2016-12-29,53
2016-12-30,46
2016-12-31,25
2017-01-01,24
2017-01-02,24
2017-01-03,45
2017-01-04,38
2017-01-05,15
2017-01-06,28
2017-01-07,36
2017-01-08,27
2017-01-09,38
2017-01-10,18
2017-01-11,13
2017-01-12,28
2017-01-13,32
2017-01-14,29
2017-01-15,40
2017-01-16,31
2017-01-17,17
2017-01-18,11
2017-01-19,31
2017-01-20,15
2017-01-21,39
2017-01-22,46
2017-01-23,18
2017-01-24,8
2017-01-25,18
2017-01-26,10
2017-01-27,23
2017-01-28,43
2017-01-29,30
2017-01-30,2
2017-02-03,15
2017-02-04,31
2017-02-05,35
2017-02-06,21
2017-02-07,9
2017-02-08,18
2017-02-09,25
2017-02-10,20
2017-02-11,38
2017-02-12,37
2017-02-13,23
2017-02-14,22
2017-02-15,26
2017-02-16,14
2017-02-17,12
2017-02-18,41
2017-02-19,33
2017-02-20,18
2017-02-21,19
2017-02-22,17
