date,visitors
2016-07-03,9
2016-07-09,52
2016-07-10,5
2016-07-23,3
2016-07-26,82
2016-07-27,49
2016-07-28,80
2016-07-30,2
2016-07-31,30
2016-08-07,6
2016-08-09,43
2016-08-10,28
2016-08-14,11
2016-08-20,13
2016-08-21,114
2016-08-25,12
2016-09-07,45
2016-09-08,1
2016-09-16,87
2016-09-18,133
2016-09-20,8
2016-09-22,34
2016-10-01,84
2016-10-05,15
2016-10-08,10
2016-10-10,10
2016-10-13,62
2016-10-16,39
2016-11-06,118
2016-11-09,64
2016-11-10,8
2016-11-22,19
2016-11-23,18
2016-11-27,82
2016-12-11,82
2016-12-18,30
2016-12-20,26
2017-01-01,135
2017-01-02,199
2017-01-15,80
2017-01-20,15
2017-01-21,24
2017-01-25,35
