date,visitors
2016-07-01,20
2016-07-02,43
2016-07-03,48
2016-07-04,9
2016-07-05,15
2016-07-06,15
2016-07-07,11
2016-07-08,16
2016-07-09,40
2016-07-10,39
2016-07-11,13
2016-07-12,21
2016-07-13,20
2016-07-14,13
2016-07-15,23
2016-07-16,32
2016-07-17,42
2016-07-18,37
2016-07-19,15
2016-07-20,19
2016-07-21,14
2016-07-22,22
2016-07-23,31
2016-07-24,63
2016-07-25,16
2016-07-26,23
2016-07-27,12
2016-07-28,13
2016-07-29,15
2016-07-30,45
2016-07-31,39
2016-08-01,22
2016-08-02,18
2016-08-03,28
2016-08-04,16
2016-08-05,17
2016-08-06,36
2016-08-07,30
2016-08-08,22
2016-08-09,17
2016-08-10,29
2016-08-11,53
2016-08-12,26
2016-08-13,21
2016-08-14,32
2016-08-15,28
2016-08-16,42
2016-08-17,45
2016-08-18,23
2016-08-19,28
2016-08-20,52
2016-08-21,33
2016-08-22,33
2016-08-23,26
2016-08-24,25
2016-08-25,26
2016-08-26,25
2016-08-27,42
2016-08-28,38
2016-08-29,20
2016-08-30,29
2016-08-31,15
2016-09-01,21
2016-09-02,29
2016-09-03,61
2016-09-04,33
2016-09-05,31
2016-09-06,56
2016-09-07,28
2016-09-08,19
2016-09-09,26
2016-09-10,43
2016-09-11,19
2016-09-12,19
2016-09-13,24
2016-09-14,13
2016-09-15,24
2016-09-16,22
2016-09-17,40
2016-09-18,37
2016-09-19,29
2016-09-20,11
2016-09-21,25
2016-09-22,40
2016-09-23,21
2016-09-24,27
2016-09-25,29
2016-09-26,18
2016-09-27,10
2016-09-28,23
2016-09-29,12
2016-09-30,7
2016-10-01,32
2016-10-02,38
2016-10-03,11
2016-10-04,12
2016-10-05,13
2016-10-06,11
2016-10-07,14
2016-10-08,44
2016-10-09,52
2016-10-10,40
2016-10-11,18
2016-10-12,11
2016-10-13,12
2016-10-14,8
2016-10-15,35
2016-10-16,33
2016-10-17,12
2016-10-18,6
2016-10-19,17
2016-10-20,11
2016-10-21,9
2016-10-22,42
2016-10-23,26
2016-10-24,9
2016-10-25,18
2016-10-26,15
2016-10-27,15
2016-10-28,17
2016-10-29,39
2016-10-30,41
2016-10-31,21
2016-11-01,13
2016-11-02,22
2016-11-03,12
2016-11-04,9
2016-11-05,26
2016-11-06,28
2016-11-07,17
2016-11-08,12
2016-11-09,15
2016-11-10,21
2016-11-11,10
2016-11-12,32
2016-11-13,27
2016-11-14,14
2016-11-15,4
2016-11-16,12
2016-11-17,15
2016-11-18,20
2016-11-19,28
2016-11-20,20
2016-11-21,4
2016-11-22,30
2016-11-23,31
2016-11-24,11
2016-11-25,15
2016-11-26,32
2016-11-27,45
2016-11-28,13
2016-11-29,13
2016-11-30,13
2016-12-01,8
2016-12-02,21
2016-12-03,48
2016-12-04,39
2016-12-05,16
2016-12-06,4
2016-12-07,8
2016-12-08,17
2016-12-09,12
2016-12-10,32
2016-12-11,47
2016-12-12,25
2016-12-13,19
2016-12-14,15
2016-12-15,17
2016-12-16,27
2016-12-17,42
2016-12-18,44
2016-12-19,12
2016-12-20,9
2016-12-21,32
2016-12-22,11
2016-12-23,26
2016-12-24,20
2016-12-25,29
2016-12-26,24
2016-12-27,21
2016-12-28,19
2016-12-29,37
2016-12-30,48
2016-12-31,12
2017-01-01,2
2017-01-02,15
2017-01-03,10
2017-01-04,57
2017-01-05,19
2017-01-06,20
2017-01-07,16
2017-01-08,13
2017-01-09,16
2017-01-10,5
2017-01-11,21
2017-01-12,19
2017-01-13,12
2017-01-14,10
2017-01-15,34
2017-01-16,3
2017-01-17,18
2017-01-18,19
2017-01-19,11
2017-01-20,14
2017-01-21,26
2017-01-22,19
2017-01-23,18
2017-01-24,17
2017-01-25,22
2017-01-26,10
2017-01-27,8
2017-01-28,16
2017-01-29,17
2017-01-30,17
2017-01-31,18
2017-02-01,18
2017-02-02,17
2017-02-03,8
2017-02-04,8
2017-02-05,17
2017-02-06,26
2017-02-07,7
2017-02-08,31
2017-02-09,9
2017-02-10,13
2017-02-11,14
2017-02-12,24
2017-02-13,3
2017-02-14,35
2017-02-15,24
2017-02-16,39
2017-02-17,2
2017-02-18,16
2017-02-19,8
2017-02-20,34
2017-02-21,42
