date,visitors
2016-07-01,18
2016-07-02,22
2016-07-03,12
2016-07-04,14
2016-07-05,18
2016-07-06,16
2016-07-07,12
2016-07-08,18
2016-07-09,12
2016-07-10,19
2016-07-11,5
2016-07-12,15
2016-07-13,14
2016-07-14,13
2016-07-15,17
2016-07-16,14
2016-07-17,18
2016-07-18,13
2016-07-19,12
2016-07-20,14
2016-07-21,10
2016-07-22,21
2016-07-23,13
2016-07-24,12
2016-07-25,10
2016-07-26,13
2016-07-27,16
2016-07-28,13
2016-07-29,15
2016-07-30,15
2016-07-31,12
2016-08-01,13
2016-08-02,5
2016-08-03,10
2016-08-04,12
2016-08-05,2
2016-08-06,16
2016-08-07,12
2016-08-08,27
2016-08-09,13
2016-08-10,18
2016-08-11,17
2016-08-12,19
2016-08-13,19
2016-08-14,15
2016-08-15,15
2016-08-16,10
2016-08-17,8
2016-08-18,14
2016-08-19,13
2016-08-20,20
2016-08-21,14
2016-08-22,12
2016-08-23,16
2016-08-24,8
2016-08-25,8
2016-08-26,18
2016-08-27,16
2016-08-28,21
2016-08-29,11
2016-08-30,14
2016-08-31,19
2016-09-01,13
2016-09-02,8
2016-09-03,19
2016-09-04,12
2016-09-05,17
2016-09-06,15
2016-09-07,21
2016-09-08,9
2016-09-09,22
2016-09-10,12
2016-09-11,12
2016-09-12,8
2016-09-13,16
2016-09-14,14
2016-09-15,14
2016-09-16,10
2016-09-17,23
2016-09-18,9
2016-09-19,15
2016-09-20,8
2016-09-21,13
2016-09-22,16
2016-09-23,12
2016-09-24,18
2016-09-25,9
2016-09-26,9
2016-09-27,12
2016-09-28,12
2016-09-29,13
2016-09-30,13
2016-10-01,23
2016-10-02,8
2016-10-03,2
2016-10-04,12
2016-10-05,13
2016-10-06,10
2016-10-07,15
2016-10-08,22
2016-10-09,16
2016-10-10,13
2016-10-11,14
2016-10-12,6
2016-10-13,13
2016-10-14,17
2016-10-15,12
2016-10-16,6
2016-10-17,11
2016-10-18,14
2016-10-19,10
2016-10-20,16
2016-10-21,11
2016-10-22,19
2016-10-23,13
2016-10-24,15
2016-10-25,12
2016-10-26,14
2016-10-27,6
2016-10-28,18
2016-10-29,20
2016-10-30,16
2016-10-31,6
2016-11-01,11
2016-11-02,14
2016-11-03,12
2016-11-04,9
2016-11-05,21
2016-11-06,13
2016-11-07,14
2016-11-08,11
2016-11-09,10
2016-11-10,12
2016-11-11,8
2016-11-12,25
2016-11-13,19
2016-11-14,9
2016-11-15,17
2016-11-16,13
2016-11-17,6
2016-11-18,18
2016-11-19,27
2016-11-20,17
2016-11-21,15
2016-11-22,22
2016-11-23,16
2016-11-24,11
2016-11-25,14
2016-11-26,26
2016-11-27,23
2016-11-28,6
2016-11-29,13
2016-11-30,15
2016-12-01,11
2016-12-02,12
2016-12-03,22
2016-12-04,15
2016-12-05,16
2016-12-06,16
2016-12-07,9
2016-12-08,11
2016-12-09,22
2016-12-10,8
2016-12-11,5
2016-12-12,15
2016-12-13,9
2016-12-14,10
2016-12-15,18
2016-12-16,20
2016-12-17,18
2016-12-18,18
2016-12-19,19
2016-12-20,15
2016-12-21,14
2016-12-22,23
2016-12-23,15
2016-12-24,15
2016-12-25,18
2016-12-26,10
2016-12-27,18
2016-12-28,23
2016-12-29,16
2016-12-30,20
2016-12-31,13
2017-01-04,2
2017-01-05,11
2017-01-06,13
2017-01-07,10
2017-01-08,15
2017-01-09,10
2017-01-10,15
2017-01-11,12
2017-01-12,16
2017-01-13,11
2017-01-14,17
2017-01-15,11
2017-01-16,10
2017-01-17,8
2017-01-18,12
2017-01-19,9
2017-01-20,14
2017-01-21,20
2017-01-22,20
2017-01-23,11
2017-01-24,9
2017-01-25,18
2017-01-26,21
2017-01-27,22
2017-01-28,11
2017-01-29,15
2017-01-30,10
2017-01-31,11
2017-02-01,12
2017-02-02,10
2017-02-03,12
2017-02-04,17
2017-02-05,18
2017-02-06,14
2017-02-07,1
2017-02-08,8
2017-02-09,10
2017-02-10,15
2017-02-11,15
2017-02-12,13
2017-02-13,5
2017-02-14,8
2017-02-15,15
2017-02-16,8
2017-02-17,11
2017-02-18,20
2017-02-19,13
2017-02-20,14
2017-02-21,17
2017-02-22,15
