date,visitors
2016-07-01,44
2016-07-02,33
2016-07-03,19
2016-07-04,18
2016-07-05,15
2016-07-07,11
2016-07-08,53
2016-07-09,18
2016-07-10,19
2016-07-11,20
2016-07-12,5
2016-07-14,27
2016-07-15,21
2016-07-16,45
2016-07-17,28
2016-07-18,43
2016-07-19,11
2016-07-21,21
2016-07-22,68
2016-07-23,19
2016-07-24,2
2016-07-25,1
2016-08-01,43
2016-08-02,29
2016-08-04,33
2016-08-05,36
2016-08-06,33
2016-08-07,24
2016-08-08,17
2016-08-09,24
2016-08-11,33
2016-08-12,23
2016-08-13,32
2016-08-14,31
2016-08-15,34
2016-08-16,17
2016-08-18,14
2016-08-19,31
2016-08-20,42
2016-08-21,23
2016-08-22,18
2016-08-23,27
2016-08-25,26
2016-08-26,28
2016-08-27,50
2016-08-28,24
2016-08-29,17
2016-08-30,14
2016-09-01,14
2016-09-02,37
2016-09-03,37
2016-09-04,36
2016-09-05,38
2016-09-06,10
2016-09-08,34
2016-09-09,37
2016-09-10,37
2016-09-11,37
2016-09-12,26
2016-09-13,7
2016-09-15,23
2016-09-16,23
2016-09-17,66
2016-09-18,51
2016-09-19,21
2016-09-20,9
2016-09-21,31
2016-09-22,10
2016-09-23,37
2016-09-24,35
2016-09-25,39
2016-09-26,30
2016-09-27,21
2016-09-29,25
2016-09-30,66
2016-10-01,27
2016-10-02,39
2016-10-03,39
2016-10-04,23
2016-10-06,18
2016-10-07,48
2016-10-08,52
2016-10-09,56
2016-10-10,56
2016-10-11,25
2016-10-13,23
2016-10-14,41
2016-10-15,53
2016-10-16,38
2016-10-17,18
2016-10-18,25
2016-10-19,1
2016-10-20,16
2016-10-21,34
2016-10-22,61
2016-10-23,53
2016-10-24,13
2016-10-25,16
2016-10-26,2
2016-10-27,32
2016-10-28,34
2016-10-29,44
2016-10-30,39
2016-10-31,37
2016-11-01,16
2016-11-02,30
2016-11-03,31
2016-11-04,22
2016-11-05,39
2016-11-06,34
2016-11-07,22
2016-11-08,19
2016-11-10,14
2016-11-11,41
2016-11-12,45
2016-11-13,46
2016-11-14,15
2016-11-15,14
2016-11-16,22
2016-11-17,15
2016-11-18,40
2016-11-19,41
2016-11-20,40
2016-11-21,20
2016-11-22,79
2016-11-23,19
2016-11-24,12
2016-11-25,31
2016-11-26,76
2016-11-27,41
2016-11-28,17
2016-11-29,21
2016-11-30,20
2016-12-01,10
2016-12-02,33
2016-12-03,44
2016-12-04,22
2016-12-05,9
2016-12-06,14
2016-12-07,18
2016-12-08,22
2016-12-09,40
2016-12-10,49
2016-12-11,46
2016-12-12,30
2016-12-13,28
2016-12-14,23
2016-12-15,19
2016-12-16,52
2016-12-17,65
2016-12-18,28
2016-12-19,44
2016-12-20,48
2016-12-21,35
2016-12-22,39
2016-12-23,28
2016-12-24,22
2016-12-25,32
2016-12-26,36
2016-12-27,47
2016-12-28,44
2016-12-29,48
2016-12-30,59
2016-12-31,13
2017-01-05,24
2017-01-06,32
2017-01-07,33
2017-01-08,43
2017-01-09,17
2017-01-10,18
2017-01-12,23
2017-01-13,31
2017-01-14,42
2017-01-15,42
2017-01-16,30
2017-01-17,16
2017-01-19,12
2017-01-20,53
2017-01-21,36
2017-01-22,20
2017-01-23,47
2017-01-24,28
2017-01-25,17
2017-01-26,17
2017-01-27,63
2017-01-28,57
2017-01-29,12
2017-01-30,70
2017-01-31,18
2017-02-01,4
2017-02-02,18
2017-02-03,41
2017-02-04,52
2017-02-05,28
2017-02-06,2
2017-02-09,12
2017-02-10,44
2017-02-11,27
2017-02-12,32
2017-02-13,38
2017-02-14,12
2017-02-16,17
2017-02-17,26
2017-02-18,32
2017-02-19,47
2017-02-20,14
2017-02-21,15
