date,visitors
2016-01-04,79
2016-01-05,64
2016-01-06,73
2016-01-07,76
2016-01-08,67
2016-01-09,31
2016-01-12,41
2016-01-13,269
2016-01-14,64
2016-01-15,66
2016-01-16,33
2016-01-18,43
2016-01-19,47
2016-01-20,93
2016-01-21,93
2016-01-22,73
2016-01-23,48
2016-01-25,46
2016-01-26,69
2016-01-27,61
2016-01-28,56
2016-01-29,61
2016-01-30,18
2016-02-01,62
2016-02-02,46
2016-02-03,61
2016-02-04,62
2016-02-05,76
2016-02-06,12
2016-02-08,57
2016-02-09,55
2016-02-10,72
2016-02-12,56
2016-02-13,27
2016-02-15,42
2016-02-16,56
2016-02-17,70
2016-02-18,71
2016-02-19,86
2016-02-20,19
2016-02-22,59
2016-02-23,43
2016-02-24,81
2016-02-25,49
2016-02-26,86
2016-02-27,22
2016-02-29,50
2016-03-01,62
2016-03-02,68
2016-03-03,79
2016-03-04,91
2016-03-05,25
2016-03-07,36
2016-03-08,65
2016-03-09,58
2016-03-10,49
2016-03-11,66
2016-03-12,24
2016-03-14,48
2016-03-15,70
2016-03-16,78
2016-03-17,57
2016-03-18,64
2016-03-22,68
2016-03-23,69
2016-03-24,56
2016-03-25,92
2016-03-26,28
2016-03-28,71
2016-03-29,62
2016-03-30,76
2016-03-31,97
2016-04-01,99
2016-04-02,21
2016-04-04,35
2016-04-05,57
2016-04-06,69
2016-04-07,57
2016-04-08,88
2016-04-09,31
2016-04-11,66
2016-04-12,70
2016-04-13,76
2016-04-14,64
2016-04-15,100
2016-04-16,38
2016-04-18,46
2016-04-19,67
2016-04-20,57
2016-04-21,82
2016-04-22,95
2016-04-23,13
2016-04-25,67
2016-04-26,65
2016-04-27,62
2016-04-28,79
2016-05-06,73
2016-05-07,41
2016-05-09,59
2016-05-10,59
2016-05-11,38
2016-05-12,42
2016-05-13,68
2016-05-14,12
2016-05-16,28
2016-05-17,46
2016-05-18,58
2016-05-19,35
2016-05-20,80
2016-05-21,15
2016-05-23,47
2016-05-24,44
2016-05-25,59
2016-05-26,40
2016-05-27,70
2016-05-28,19
2016-05-30,53
2016-05-31,45
2016-06-01,33
2016-06-02,54
2016-06-03,58
2016-06-04,15
2016-06-06,31
2016-06-07,31
2016-06-08,51
2016-06-09,41
2016-06-10,67
2016-06-11,13
2016-06-13,32
2016-06-14,57
2016-06-15,21
2016-06-16,41
2016-06-17,57
2016-06-18,15
2016-06-20,40
2016-06-21,24
2016-06-22,26
2016-06-23,33
2016-06-24,64
2016-06-25,15
2016-06-27,33
2016-06-28,37
2016-06-29,64
2016-06-30,68
2016-07-01,54
2016-07-02,21
2016-07-04,47
2016-07-05,43
2016-07-06,53
2016-07-07,80
2016-07-08,65
2016-07-09,10
2016-07-11,26
2016-07-12,31
2016-07-13,38
2016-07-14,49
2016-07-15,31
2016-07-16,16
2016-07-19,30
2016-07-20,41
2016-07-21,52
2016-07-22,40
2016-07-23,20
2016-07-25,57
2016-07-26,37
2016-07-27,34
2016-07-28,16
2016-07-29,46
2016-07-30,19
2016-08-01,45
2016-08-02,35
2016-08-03,45
2016-08-04,48
2016-08-05,38
2016-08-06,9
2016-08-08,60
2016-08-09,37
2016-08-10,53
2016-08-15,24
2016-08-16,37
2016-08-17,47
2016-08-18,33
2016-08-19,64
2016-08-20,6
2016-08-22,20
2016-08-23,44
2016-08-24,40
2016-08-25,42
2016-08-26,38
2016-08-27,20
2016-08-29,37
2016-08-30,31
2016-08-31,27
2016-09-01,59
2016-09-02,64
2016-09-03,9
2016-09-05,36
2016-09-06,27
2016-09-07,61
2016-09-08,35
2016-09-09,62
2016-09-10,14
2016-09-12,37
2016-09-13,28
2016-09-14,42
2016-09-15,41
2016-09-16,77
2016-09-17,13
2016-09-20,32
2016-09-21,51
2016-09-23,53
2016-09-24,11
2016-09-26,35
2016-09-27,55
2016-09-28,33
2016-09-29,62
2016-09-30,71
2016-10-01,17
2016-10-03,33
2016-10-04,38
2016-10-05,36
2016-10-06,35
2016-10-07,35
2016-10-08,12
2016-10-11,31
2016-10-12,39
2016-10-13,42
2016-10-14,38
2016-10-15,8
2016-10-17,26
2016-10-18,41
2016-10-19,54
2016-10-20,41
2016-10-21,34
2016-10-22,13
2016-10-24,36
2016-10-25,35
2016-10-26,33
2016-10-27,36
2016-10-28,42
2016-10-29,13
2016-10-31,35
2016-11-01,31
2016-11-02,43
2016-11-04,41
2016-11-05,12
2016-11-07,30
2016-11-08,26
2016-11-09,26
2016-11-10,27
2016-11-11,31
2016-11-12,19
2016-11-14,34
2016-11-15,37
2016-11-16,30
2016-11-17,32
2016-11-18,33
2016-11-19,9
2016-11-21,63
2016-11-22,55
2016-11-24,29
2016-11-25,43
2016-11-26,11
2016-11-28,51
2016-11-29,35
2016-11-30,34
2016-12-01,42
2016-12-02,38
2016-12-03,16
2016-12-05,36
2016-12-06,36
2016-12-07,52
2016-12-08,59
2016-12-09,68
2016-12-12,39
2016-12-13,54
2016-12-14,34
2016-12-15,55
2016-12-16,49
2016-12-17,13
2016-12-19,45
2016-12-20,48
2016-12-21,54
2016-12-22,36
2016-12-26,45
2016-12-27,38
2016-12-28,63
2016-12-29,22
2017-01-05,44
2017-01-06,39
2017-01-07,17
2017-01-10,42
2017-01-11,42
2017-01-12,39
2017-01-13,38
2017-01-14,15
2017-01-16,44
2017-01-17,47
2017-01-18,36
2017-01-19,36
2017-01-20,50
2017-01-21,18
