date,visitors
2016-01-04,24
2016-01-05,29
2016-01-06,18
2016-01-07,23
2016-01-08,15
2016-01-09,32
2016-01-10,10
2016-01-12,22
2016-01-13,23
2016-01-14,28
2016-01-15,25
2016-01-16,19
2016-01-17,13
2016-01-18,25
2016-01-19,15
2016-01-20,24
2016-01-21,22
2016-01-22,22
2016-01-23,33
2016-01-25,19
2016-01-26,16
2016-01-27,14
2016-01-28,27
2016-01-29,26
2016-01-30,26
2016-01-31,4
2016-02-01,8
2016-02-02,13
2016-02-03,31
2016-02-04,24
2016-02-05,21
2016-02-06,31
2016-02-08,22
2016-02-09,21
2016-02-10,16
2016-02-11,29
2016-02-12,22
2016-02-13,22
2016-02-14,6
2016-02-15,18
2016-02-16,24
2016-02-17,37
2016-02-18,13
2016-02-19,22
2016-02-20,7
2016-02-21,24
2016-02-22,29
2016-02-24,23
2016-02-25,23
2016-02-26,26
2016-02-27,24
2016-02-28,7
2016-02-29,16
2016-03-01,13
2016-03-02,10
2016-03-03,22
2016-03-04,25
2016-03-05,32
2016-03-07,21
2016-03-08,24
2016-03-09,21
2016-03-10,25
2016-03-11,33
2016-03-12,15
2016-03-13,19
2016-03-14,31
2016-03-15,18
2016-03-16,29
2016-03-17,23
2016-03-18,22
2016-03-19,27
2016-03-20,7
2016-03-22,17
2016-03-23,28
2016-03-24,32
2016-03-25,26
2016-03-26,29
2016-03-28,11
2016-03-29,27
2016-03-30,31
2016-03-31,25
2016-04-01,25
2016-04-02,15
2016-04-03,13
2016-04-04,24
2016-04-05,7
2016-04-06,18
2016-04-07,36
2016-04-08,33
2016-04-09,30
2016-04-11,20
2016-04-12,20
2016-04-13,39
2016-04-14,14
2016-04-15,35
2016-04-16,30
2016-04-17,9
2016-04-18,16
2016-04-19,15
2016-04-20,25
2016-04-21,29
2016-04-22,22
2016-04-23,30
2016-04-25,26
2016-04-26,18
2016-04-27,24
2016-04-28,30
2016-04-29,27
2016-04-30,28
2016-05-02,27
2016-05-03,27
2016-05-04,31
2016-05-05,22
2016-05-06,22
2016-05-11,13
2016-05-13,14
2016-05-16,14
2016-05-17,19
2016-05-18,22
2016-05-19,17
2016-05-20,31
2016-05-21,32
2016-05-22,2
2016-05-23,24
2016-05-24,32
2016-05-25,26
2016-05-26,27
2016-05-27,27
2016-05-28,27
2016-05-30,23
2016-05-31,32
2016-06-01,22
2016-06-02,19
2016-06-03,20
2016-06-04,37
2016-06-05,2
2016-06-06,22
2016-06-07,20
2016-06-08,31
2016-06-09,25
2016-06-10,21
2016-06-11,36
2016-06-12,2
2016-06-13,26
2016-06-14,17
2016-06-15,33
2016-06-16,29
2016-06-17,34
2016-06-18,36
2016-06-19,2
2016-06-20,13
2016-06-21,29
2016-06-22,16
2016-06-23,24
2016-06-24,25
2016-06-25,30
2016-06-26,8
2016-06-27,26
2016-06-28,13
2016-06-29,26
2016-06-30,27
2016-07-01,26
2016-07-02,34
2016-07-04,11
2016-07-05,22
2016-07-06,13
2016-07-07,30
2016-07-08,29
2016-07-09,31
2016-07-10,3
2016-07-11,7
2016-07-12,24
2016-07-13,18
