date,visitors
2016-07-02,10
2016-07-03,11
2016-07-04,3
2016-07-05,5
2016-07-07,10
2016-07-08,2
2016-07-09,9
2016-07-10,16
2016-07-12,3
2016-07-13,16
2016-07-14,17
2016-07-15,1
2016-07-16,55
2016-07-18,9
2016-07-19,7
2016-07-20,6
2016-07-21,5
2016-07-22,1
2016-07-23,18
2016-07-25,8
2016-07-26,12
2016-07-27,20
2016-07-28,22
2016-07-29,30
2016-07-31,51
2016-08-03,32
2016-08-04,19
2016-08-06,55
2016-08-07,5
2016-08-11,50
2016-08-12,17
2016-08-13,16
2016-08-14,1
2016-08-15,32
2016-08-16,29
2016-08-18,29
2016-08-19,19
2016-08-20,8
2016-08-21,81
2016-08-24,25
2016-08-25,42
2016-08-26,23
2016-08-28,32
2016-08-29,42
2016-08-30,32
2016-08-31,20
2016-09-02,75
2016-09-03,26
2016-09-04,5
2016-09-07,41
2016-09-08,26
2016-09-10,35
2016-09-11,34
2016-09-13,4
2016-09-14,29
2016-09-16,32
2016-09-17,4
2016-09-18,46
2016-09-19,17
2016-09-21,37
2016-09-23,40
2016-09-25,36
2016-09-27,20
2016-09-28,49
2016-09-29,21
2016-09-30,12
2016-10-01,85
2016-10-02,16
2016-10-04,21
2016-10-05,18
2016-10-07,58
2016-10-08,31
2016-10-11,22
2016-10-12,19
2016-10-13,26
2016-10-14,15
2016-10-20,71
2016-10-21,28
2016-10-22,39
2016-10-23,48
2016-10-25,14
2016-10-27,49
2016-10-28,14
2016-10-30,34
2016-11-02,18
2016-11-03,58
2016-11-04,14
2016-11-05,13
2016-11-06,26
2016-11-09,24
2016-11-10,26
2016-11-11,7
2016-11-12,28
2016-11-14,20
2016-11-15,41
2016-11-16,19
2016-11-18,11
2016-11-19,59
2016-11-20,13
2016-11-23,24
2016-11-24,42
2016-11-26,61
2016-11-27,10
2016-11-30,58
2016-12-01,23
2016-12-03,58
2016-12-04,4
2016-12-05,10
2016-12-06,10
2016-12-07,6
2016-12-09,37
2016-12-10,41
2016-12-11,88
2016-12-14,14
2016-12-15,21
2016-12-16,73
2016-12-17,1
2016-12-18,55
2016-12-19,9
2016-12-21,38
2016-12-22,22
2016-12-23,71
2016-12-24,11
2016-12-28,57
2016-12-30,81
2017-01-06,20
2017-01-07,4
2017-01-08,29
2017-01-09,16
2017-01-11,6
2017-01-13,23
2017-01-14,4
2017-01-15,22
2017-01-17,1
2017-01-18,13
2017-01-19,12
2017-01-20,25
2017-01-22,27
2017-01-25,25
2017-01-26,14
2017-01-27,20
2017-01-28,11
2017-01-29,45
2017-01-30,19
2017-02-01,19
2017-02-02,4
2017-02-03,15
2017-02-04,28
2017-02-05,33
2017-02-07,4
2017-02-08,1
2017-02-10,9
2017-02-11,29
2017-02-12,33
2017-02-15,13
2017-02-16,5
2017-02-18,37
2017-02-19,41
2017-02-21,13
2017-02-22,23
2017-02-24,33
