date,visitors
2016-07-01,40
2016-07-02,22
2016-07-03,31
2016-07-04,7
2016-07-05,5
2016-07-06,27
2016-07-07,24
2016-07-08,18
2016-07-09,21
2016-07-10,18
2016-07-11,7
2016-07-12,2
2016-07-13,17
2016-07-14,22
2016-07-15,28
2016-07-16,22
2016-07-17,31
2016-07-18,5
2016-07-19,1
2016-07-20,8
2016-07-21,13
2016-07-22,28
2016-07-23,27
2016-07-24,30
2016-07-25,15
2016-07-26,1
2016-07-27,8
2016-07-28,18
2016-07-29,15
2016-07-30,19
2016-07-31,24
2016-08-01,7
2016-08-03,11
2016-08-04,21
2016-08-05,14
2016-08-06,20
2016-08-07,27
2016-08-08,21
2016-08-10,18
2016-08-11,41
2016-08-12,16
2016-08-13,3
2016-08-17,21
2016-08-18,12
2016-08-19,34
2016-08-20,23
2016-08-21,23
2016-08-22,2
2016-08-24,20
2016-08-25,17
2016-08-26,31
2016-08-27,30
2016-08-28,28
2016-08-29,11
2016-08-30,1
2016-08-31,15
2016-09-01,13
2016-09-02,30
2016-09-03,25
2016-09-04,25
2016-09-05,18
2016-09-07,20
2016-09-08,15
2016-09-09,8
2016-09-10,25
2016-09-11,40
2016-09-12,22
2016-09-14,22
2016-09-15,18
2016-09-16,30
2016-09-17,17
2016-09-18,29
2016-09-19,38
2016-09-20,2
2016-09-21,11
2016-09-22,24
2016-09-23,19
2016-09-24,24
2016-09-25,27
2016-09-26,21
2016-09-27,1
2016-09-28,26
2016-09-29,10
2016-09-30,18
2016-10-01,28
2016-10-02,37
2016-10-03,17
2016-10-05,21
2016-10-06,19
2016-10-07,44
2016-10-08,20
2016-10-09,37
2016-10-10,34
2016-10-11,1
2016-10-12,16
2016-10-13,24
2016-10-14,21
2016-10-15,37
2016-10-16,23
2016-10-17,24
2016-10-19,27
2016-10-20,14
2016-10-21,7
2016-10-22,38
2016-10-23,21
2016-10-24,10
2016-10-26,15
2016-10-27,17
2016-10-28,13
2016-10-29,9
2016-10-30,10
2016-10-31,9
2016-11-02,34
2016-11-03,25
2016-11-04,8
2016-11-05,28
2016-11-06,25
2016-11-07,12
2016-11-09,42
2016-11-10,6
2016-11-11,22
2016-11-12,22
2016-11-13,22
2016-11-14,17
2016-11-15,1
2016-11-16,16
2016-11-17,23
2016-11-18,26
2016-11-19,27
2016-11-20,23
2016-11-28,23
2016-11-29,1
2016-11-30,12
2016-12-01,13
2016-12-02,20
2016-12-03,34
2016-12-04,25
2016-12-05,19
2016-12-06,14
2016-12-07,13
2016-12-08,29
2016-12-09,26
2016-12-10,36
2016-12-11,2
2016-12-12,10
2016-12-13,1
2016-12-14,15
2016-12-15,25
2016-12-16,19
2016-12-17,27
2016-12-18,29
2016-12-19,24
2016-12-21,26
2016-12-22,35
2016-12-23,18
2016-12-24,23
2016-12-25,21
2016-12-26,7
2016-12-28,15
2016-12-29,37
2016-12-30,16
2017-01-04,5
2017-01-05,11
2017-01-06,16
2017-01-07,18
2017-01-08,2
2017-01-09,18
2017-01-12,23
2017-01-13,17
2017-01-14,23
2017-01-15,26
2017-01-16,2
2017-01-18,24
2017-01-19,28
2017-01-20,10
2017-01-21,31
2017-01-22,17
2017-01-23,17
2017-01-24,2
2017-01-25,25
2017-01-26,28
2017-01-27,19
2017-01-28,41
2017-01-29,29
2017-01-30,24
2017-01-31,2
2017-02-01,12
2017-02-02,22
2017-02-03,18
2017-02-04,24
2017-02-05,32
2017-02-06,21
2017-02-08,11
2017-02-09,20
2017-02-10,26
2017-02-11,35
2017-02-12,16
2017-02-13,12
2017-02-14,2
2017-02-15,9
2017-02-16,27
2017-02-17,17
2017-02-18,36
2017-02-19,15
2017-02-20,14
2017-02-22,28
2017-02-23,29
2017-02-24,21
