date,visitors
2016-01-08,22
2016-01-09,35
2016-01-10,41
2016-01-11,26
2016-01-12,22
2016-01-13,30
2016-01-14,16
2016-01-15,30
2016-01-16,34
2016-01-17,30
2016-01-18,30
2016-01-19,29
2016-01-20,11
2016-01-21,23
2016-01-22,26
2016-01-23,28
2016-01-24,23
2016-01-25,30
2016-01-26,16
2016-01-27,19
2016-01-28,11
2016-01-29,19
2016-01-30,33
2016-01-31,27
2016-02-01,22
2016-02-02,29
2016-02-03,27
2016-02-04,19
2016-02-05,28
2016-02-06,34
2016-02-07,35
2016-02-08,19
2016-02-09,16
2016-02-10,38
2016-02-11,24
2016-02-12,30
2016-02-13,16
2016-02-14,22
2016-02-15,21
2016-02-16,13
2016-02-17,14
2016-02-18,20
2016-02-19,26
2016-02-20,35
2016-02-21,21
2016-02-22,15
2016-02-23,26
2016-02-24,13
2016-02-25,13
2016-02-26,19
2016-02-27,47
2016-02-28,33
2016-02-29,32
2016-03-01,21
2016-03-02,19
2016-03-03,14
2016-03-04,27
2016-03-05,43
2016-03-06,18
2016-03-07,29
2016-03-08,26
2016-03-09,6
2016-03-10,27
2016-03-11,28
2016-03-12,39
2016-03-13,36
2016-03-14,27
2016-03-15,17
2016-03-16,20
2016-03-17,15
2016-03-18,35
2016-03-19,22
2016-03-20,36
2016-03-21,30
2016-03-22,27
2016-03-23,26
2016-03-24,21
2016-03-25,26
2016-03-26,34
2016-03-27,36
2016-03-28,27
2016-03-29,27
2016-03-30,27
2016-03-31,27
2016-04-01,24
2016-04-02,37
2016-04-03,32
2016-04-04,25
2016-04-05,18
2016-04-06,22
2016-04-07,14
2016-04-08,33
2016-04-09,22
2016-04-10,38
2016-04-11,20
2016-04-12,14
2016-04-13,17
2016-04-14,12
2016-04-15,31
2016-04-16,37
2016-04-17,38
2016-04-18,27
2016-04-19,9
2016-04-20,17
2016-04-21,16
2016-04-22,23
2016-04-23,34
2016-04-24,31
2016-04-25,15
2016-04-26,26
2016-04-27,20
2016-04-28,27
2016-04-29,32
2016-04-30,33
2016-05-01,31
2016-05-02,34
2016-05-03,35
2016-05-04,41
2016-05-05,32
2016-05-06,14
2016-05-07,42
2016-05-08,28
2016-05-09,14
2016-05-10,24
2016-05-11,13
2016-05-12,17
2016-05-13,23
2016-05-14,32
2016-05-15,29
2016-05-16,18
2016-05-17,10
2016-05-18,28
2016-05-19,22
2016-05-20,21
2016-05-21,29
2016-05-22,31
2016-05-23,24
2016-05-24,19
2016-05-25,19
2016-05-26,9
2016-05-27,33
2016-05-28,29
2016-05-29,22
2016-05-30,33
2016-05-31,21
2016-06-01,21
2016-06-02,20
2016-06-03,37
2016-06-04,4
2016-06-05,228
2016-06-06,31
2016-06-07,14
2016-06-08,12
2016-06-09,24
2016-06-10,31
2016-06-11,45
2016-06-12,38
2016-06-13,29
2016-06-14,30
2016-06-15,18
2016-06-16,21
2016-06-17,17
2016-06-18,43
2016-06-19,36
2016-06-20,23
2016-06-21,25
2016-06-22,19
2016-06-23,23
2016-06-24,30
2016-06-25,36
2016-06-26,29
2016-06-27,21
2016-06-28,16
2016-06-29,23
2016-06-30,26
2016-07-01,31
2016-07-02,33
2016-07-03,28
2016-07-04,35
2016-07-05,19
2016-07-06,22
2016-07-07,23
2016-07-08,27
2016-07-09,41
2016-07-10,30
2016-07-11,25
2016-07-12,24
2016-07-13,22
2016-07-14,26
2016-07-15,34
2016-07-16,35
2016-07-17,28
2016-07-18,41
2016-07-19,27
2016-07-20,17
2016-07-21,20
2016-07-22,23
2016-07-23,36
2016-07-24,21
2016-07-25,31
2016-07-26,18
2016-07-27,35
2016-07-28,25
2016-07-29,33
2016-07-30,34
2016-07-31,38
2016-08-01,21
2016-08-02,12
2016-08-03,13
2016-08-04,22
2016-08-05,33
2016-08-06,25
2016-08-07,25
2016-08-08,13
2016-08-09,30
2016-08-10,29
2016-08-11,32
2016-08-12,28
2016-08-13,28
2016-08-14,33
2016-08-15,26
2016-08-16,25
2016-08-17,24
2016-08-18,22
2016-08-19,39
2016-08-20,32
2016-08-21,23
2016-08-22,20
2016-08-23,17
2016-08-24,31
2016-08-25,19
2016-08-26,20
2016-08-27,48
2016-08-28,22
2016-08-29,34
2016-08-30,25
2016-08-31,27
2016-09-01,15
2016-09-02,35
2016-09-03,34
2016-09-04,20
2016-09-05,10
2016-09-06,18
2016-09-07,16
2016-09-08,23
2016-09-09,17
2016-09-10,34
2016-09-11,22
2016-09-12,28
2016-09-13,27
2016-09-14,20
2016-09-15,19
2016-09-16,30
2016-09-17,46
2016-09-18,32
2016-09-19,32
2016-09-20,25
2016-09-21,20
2016-09-22,26
2016-09-23,18
2016-09-24,28
2016-09-25,22
2016-09-26,33
2016-09-27,16
2016-09-28,18
2016-09-29,11
2016-09-30,17
2016-10-01,35
2016-10-02,31
2016-10-03,35
2016-10-04,20
2016-10-05,24
2016-10-06,17
2016-10-07,26
2016-10-08,43
2016-10-09,36
2016-10-10,28
2016-10-11,28
2016-10-12,24
2016-10-13,26
2016-10-14,28
2016-10-15,34
2016-10-16,20
2016-10-17,16
2016-10-18,19
2016-10-19,17
2016-10-20,27
2016-10-21,17
2016-10-22,39
2016-10-23,36
2016-10-24,42
2016-10-25,15
2016-10-26,29
2016-10-27,18
2016-10-28,31
2016-10-29,35
2016-10-30,23
2016-10-31,17
2016-11-01,24
2016-11-02,28
2016-11-03,39
2016-11-04,23
2016-11-05,32
2016-11-06,21
2016-11-07,12
2016-11-08,12
2016-11-09,16
2016-11-10,20
2016-11-11,37
2016-11-12,33
2016-11-13,37
2016-11-14,23
2016-11-15,19
2016-11-16,9
2016-11-17,9
2016-11-18,14
2016-11-19,38
2016-11-20,34
2016-11-21,22
2016-11-22,42
2016-11-23,30
2016-11-24,17
2016-11-25,32
2016-11-26,23
2016-11-27,16
2016-11-28,24
2016-11-29,24
2016-11-30,38
2016-12-01,15
2016-12-02,34
2016-12-03,31
2016-12-04,23
2016-12-05,34
2016-12-06,19
2016-12-07,15
2016-12-08,27
2016-12-09,33
2016-12-10,36
2016-12-11,31
2016-12-12,31
2016-12-13,15
2016-12-14,27
2016-12-15,24
2016-12-16,20
2016-12-17,28
2016-12-18,28
2016-12-19,16
2016-12-20,37
2016-12-21,30
2016-12-22,29
2016-12-23,40
2016-12-24,33
2016-12-25,19
2016-12-26,40
2016-12-27,23
2016-12-28,27
2016-12-29,24
2016-12-30,18
2017-01-06,19
2017-01-07,43
2017-01-08,34
2017-01-09,34
2017-01-10,24
2017-01-11,26
2017-01-12,15
2017-01-13,19
2017-01-14,33
2017-01-15,25
2017-01-16,28
2017-01-17,20
2017-01-18,23
2017-01-19,19
