date,visitors
2016-09-12,10
2016-09-13,33
2016-09-14,37
2016-09-15,14
2016-09-16,27
2016-09-17,48
2016-09-18,32
2016-09-19,5
2016-09-20,20
2016-09-21,48
2016-09-22,39
2016-09-23,20
2016-09-24,44
2016-09-25,10
2016-09-26,8
2016-09-27,17
2016-09-28,18
2016-09-29,17
2016-09-30,44
2016-10-01,41
2016-10-02,25
2016-10-03,32
2016-10-04,37
2016-10-05,44
2016-10-06,30
2016-10-07,36
2016-10-08,28
2016-10-09,53
2016-10-10,43
2016-10-11,28
2016-10-12,19
2016-10-13,26
2016-10-14,20
2016-10-15,33
2016-10-16,25
2016-10-17,33
2016-10-18,63
2016-10-19,41
2016-10-20,34
2016-10-21,55
2016-10-22,33
2016-10-23,38
2016-10-24,8
2016-10-25,35
2016-10-26,35
2016-10-27,9
2016-10-28,33
2016-10-29,39
2016-10-30,31
2016-10-31,47
2016-11-01,16
2016-11-02,33
2016-11-03,16
2016-11-04,40
2016-11-05,26
2016-11-06,28
2016-11-07,25
2016-11-08,10
2016-11-09,7
2016-11-10,14
2016-11-11,23
2016-11-12,54
2016-11-13,44
2016-11-14,12
2016-11-15,24
2016-11-16,20
2016-11-17,2
2016-11-18,28
2016-11-19,46
2016-11-20,20
2016-11-21,19
2016-11-22,41
2016-11-23,22
2016-11-24,10
2016-11-25,23
2016-11-26,61
2016-11-27,29
2016-11-28,18
2016-11-29,22
2016-11-30,24
2016-12-01,26
2016-12-02,17
2016-12-03,52
2016-12-04,51
2016-12-05,40
2016-12-06,22
2016-12-07,24
2016-12-08,33
2016-12-09,35
2016-12-10,61
2016-12-11,35
2016-12-12,30
2016-12-13,17
2016-12-14,18
2016-12-15,13
2016-12-16,47
2016-12-17,62
2016-12-18,21
2016-12-19,38
2016-12-20,33
2016-12-21,54
2016-12-22,50
2016-12-23,47
2016-12-24,36
2016-12-25,21
2016-12-26,38
2016-12-27,22
2016-12-28,36
2016-12-29,58
2016-12-30,42
2016-12-31,16
2017-01-02,43
2017-01-03,38
2017-01-04,34
2017-01-05,26
2017-01-06,28
2017-01-07,51
2017-01-08,59
2017-01-09,22
2017-01-10,16
2017-01-11,7
2017-01-12,17
2017-01-13,37
2017-01-14,39
2017-01-15,15
2017-01-16,11
2017-01-17,31
2017-01-18,29
2017-01-19,16
2017-01-20,51
2017-01-21,57
2017-01-22,41
2017-01-23,30
2017-01-24,35
2017-01-25,15
2017-01-26,24
2017-01-27,59
2017-01-28,45
2017-01-29,36
2017-01-30,29
2017-01-31,22
2017-02-01,21
2017-02-02,13
2017-02-03,23
2017-02-04,46
2017-02-05,10
2017-02-06,9
2017-02-07,7
2017-02-08,9
2017-02-09,11
2017-02-10,42
2017-02-11,26
2017-02-12,17
2017-02-13,16
2017-02-14,18
2017-02-15,21
2017-02-16,36
2017-02-17,51
2017-02-18,61
2017-02-19,23
2017-02-20,22
2017-02-21,15
2017-02-22,23
2017-02-23,17
2017-02-24,47
2017-02-25,45
2017-02-26,28
2017-02-27,7
2017-02-28,23
2017-03-01,15
2017-03-02,19
2017-03-03,42
2017-03-04,36
2017-03-05,49
2017-03-06,18
2017-03-07,11
