date,visitors
2016-07-01,2
2016-07-02,26
2016-07-03,19
2016-07-04,15
2016-07-07,14
2016-07-08,12
2016-07-09,23
2016-07-10,29
2016-07-11,17
2016-07-14,15
2016-07-15,11
2016-07-16,14
2016-07-17,28
2016-07-18,8
2016-07-21,11
2016-07-22,8
2016-07-23,23
2016-07-24,21
2016-07-25,8
2016-07-28,22
2016-07-29,12
2016-07-30,15
2016-07-31,21
2016-08-01,16
2016-08-04,7
2016-08-05,18
2016-08-06,11
2016-08-07,14
2016-08-08,2
2016-08-09,1
2016-08-11,38
2016-08-12,15
2016-08-13,21
2016-08-14,13
2016-08-15,21
2016-08-24,1
2016-08-25,18
2016-08-26,16
2016-08-27,23
2016-08-28,21
2016-08-29,3
2016-08-31,2
2016-09-01,16
2016-09-02,11
2016-09-03,27
2016-09-04,17
2016-09-05,11
2016-09-07,1
2016-09-08,11
2016-09-09,21
2016-09-10,34
2016-09-11,22
2016-09-12,15
2016-09-13,1
2016-09-14,1
2016-09-15,18
2016-09-16,18
2016-09-17,23
2016-09-18,15
2016-09-19,24
2016-09-22,16
2016-09-23,19
2016-09-24,24
2016-09-25,21
2016-09-26,9
2016-09-28,2
2016-09-29,17
2016-09-30,16
2016-10-01,16
2016-10-02,25
2016-10-03,12
2016-10-06,15
2016-10-07,15
2016-10-08,19
2016-10-09,30
2016-10-10,23
2016-10-12,1
2016-10-13,18
2016-10-14,9
2016-10-15,25
2016-10-16,22
2016-10-17,11
2016-10-20,13
2016-10-21,16
2016-10-22,22
2016-10-23,23
2016-10-24,10
2016-10-27,17
2016-10-28,11
2016-10-29,15
2016-10-30,31
2016-10-31,15
2016-11-03,33
2016-11-04,15
2016-11-05,21
2016-11-06,16
2016-11-07,9
2016-11-08,2
2016-11-10,18
2016-11-11,26
2016-11-12,34
2016-11-13,27
2016-11-14,12
2016-11-17,23
2016-11-18,14
2016-11-19,22
2016-11-20,28
2016-11-21,15
2016-11-24,11
2016-11-25,23
2016-11-26,18
2016-11-27,18
2016-11-28,12
2016-11-30,1
2016-12-01,17
2016-12-02,18
2016-12-03,42
2016-12-04,23
2016-12-05,20
2016-12-08,22
2016-12-09,17
2016-12-10,27
2016-12-11,25
2016-12-12,23
2016-12-15,21
2016-12-16,30
2016-12-17,34
2016-12-18,43
2016-12-19,28
2016-12-20,1
2016-12-21,1
2016-12-22,19
2016-12-23,28
2016-12-24,28
2016-12-25,20
2016-12-26,25
2016-12-27,2
2016-12-30,1
2017-01-05,19
2017-01-06,14
2017-01-07,24
2017-01-08,13
2017-01-09,33
2017-01-12,17
2017-01-13,18
2017-01-14,21
2017-01-15,4
2017-01-16,19
2017-01-19,21
2017-01-20,26
2017-01-21,22
2017-01-22,22
2017-01-23,22
2017-01-24,1
2017-01-26,22
2017-01-27,20
2017-01-28,31
2017-01-29,31
2017-01-30,10
2017-02-01,2
2017-02-02,16
2017-02-03,19
2017-02-04,27
2017-02-05,22
2017-02-06,11
2017-02-09,20
2017-02-10,27
2017-02-11,41
2017-02-12,32
2017-02-13,22
2017-02-16,17
2017-02-17,28
2017-02-18,30
2017-02-19,34
2017-02-20,14
2017-02-21,2
2017-02-23,25
