date,visitors
2016-01-05,2
2016-01-06,12
2016-01-07,15
2016-01-08,7
2016-01-09,11
2016-01-10,14
2016-01-12,11
2016-01-13,24
2016-01-14,23
2016-01-15,15
2016-01-16,24
2016-01-19,10
2016-01-20,22
2016-01-21,12
2016-01-22,19
2016-01-23,24
2016-01-25,11
2016-01-26,14
2016-01-27,17
2016-01-28,14
2016-01-29,30
2016-01-30,23
2016-02-01,4
2016-02-02,4
2016-02-03,4
2016-02-04,5
2016-02-05,21
2016-02-06,20
2016-02-08,19
2016-02-09,31
2016-02-10,15
2016-02-11,4
2016-02-12,15
2016-02-13,28
2016-02-15,20
2016-02-16,15
2016-02-17,6
2016-02-18,22
2016-02-19,23
2016-02-20,15
2016-02-21,4
2016-02-22,5
2016-02-23,14
2016-02-24,7
2016-02-25,13
2016-02-26,25
2016-02-27,31
2016-02-29,19
2016-03-01,6
2016-03-02,9
2016-03-03,16
2016-03-04,23
2016-03-05,22
2016-03-07,10
2016-03-08,3
2016-03-09,14
2016-03-10,18
2016-03-11,13
2016-03-12,32
2016-03-14,20
2016-03-15,19
2016-03-16,9
2016-03-17,8
2016-03-18,25
2016-03-19,23
2016-03-20,26
2016-03-22,25
2016-03-23,14
2016-03-24,13
2016-03-25,17
2016-03-26,32
2016-03-28,10
2016-03-29,8
2016-03-30,10
2016-03-31,6
2016-04-01,20
2016-04-02,19
2016-04-04,15
2016-04-05,7
2016-04-06,8
2016-04-07,14
2016-04-08,9
2016-04-09,34
2016-04-11,18
2016-04-12,21
2016-04-13,17
2016-04-14,9
2016-04-15,13
2016-04-16,30
2016-04-18,5
2016-04-19,13
2016-04-20,10
2016-04-21,11
2016-04-22,17
2016-04-23,12
2016-04-25,17
2016-04-26,9
2016-04-27,29
2016-04-28,11
2016-04-29,27
2016-04-30,13
2016-05-01,13
2016-05-02,25
2016-05-03,35
2016-05-04,26
2016-05-06,15
2016-05-07,13
2016-05-09,4
2016-05-10,4
2016-05-11,9
2016-05-12,17
2016-05-13,10
2016-05-14,26
2016-05-16,9
2016-05-18,11
2016-05-19,27
2016-05-20,18
2016-05-21,18
2016-05-23,5
2016-05-24,6
2016-05-25,9
2016-05-26,14
2016-05-27,29
2016-05-28,18
2016-05-30,9
2016-05-31,24
2016-06-01,10
2016-06-02,9
2016-06-03,28
2016-06-04,9
2016-06-06,6
2016-06-07,12
2016-06-08,10
2016-06-09,7
2016-06-10,24
2016-06-11,28
2016-06-13,9
2016-06-14,10
2016-06-15,28
2016-06-16,13
2016-06-17,16
2016-06-18,16
2016-06-20,9
2016-06-21,12
2016-06-22,21
2016-06-23,26
2016-06-24,23
2016-06-25,28
2016-06-27,4
2016-06-28,16
2016-06-29,7
2016-06-30,26
2016-07-01,11
2016-07-02,28
2016-07-04,9
2016-07-05,7
