date,visitors
2016-01-08,27
2016-01-09,31
2016-01-10,2
2016-01-12,8
2016-01-13,23
2016-01-14,28
2016-01-15,24
2016-01-16,9
2016-01-18,19
2016-01-19,13
2016-01-20,15
2016-01-21,9
2016-01-22,26
2016-01-23,20
2016-01-25,18
2016-01-26,25
2016-01-27,20
2016-01-28,22
2016-01-29,26
2016-01-30,19
2016-02-01,20
2016-02-02,6
2016-02-03,18
2016-02-04,3
2016-02-05,26
2016-02-06,12
2016-02-07,9
2016-02-08,31
2016-02-09,15
2016-02-10,7
2016-02-11,45
2016-02-12,12
2016-02-13,34
2016-02-15,8
2016-02-16,9
2016-02-17,29
2016-02-18,26
2016-02-19,20
2016-02-20,15
2016-02-22,23
2016-02-23,31
2016-02-24,12
2016-02-25,10
2016-02-26,49
2016-02-27,7
2016-02-29,29
2016-03-01,9
2016-03-02,16
2016-03-03,10
2016-03-04,8
2016-03-05,30
2016-03-07,7
2016-03-08,24
2016-03-09,7
2016-03-10,8
2016-03-11,25
2016-03-12,26
2016-03-14,22
2016-03-15,22
2016-03-16,24
2016-03-17,12
2016-03-18,47
2016-03-19,27
2016-03-20,8
2016-03-22,39
2016-03-23,20
2016-03-24,18
2016-03-25,23
2016-03-26,50
2016-03-28,22
2016-03-29,25
2016-03-30,32
2016-03-31,16
2016-04-01,16
2016-04-02,28
2016-04-04,15
2016-04-05,17
2016-04-06,16
2016-04-07,2
2016-04-08,20
2016-04-09,18
2016-04-11,11
2016-04-12,20
2016-04-13,18
2016-04-14,16
2016-04-15,16
2016-04-16,39
2016-04-18,30
2016-04-19,22
2016-04-20,8
2016-04-21,26
2016-04-22,15
2016-04-23,14
2016-04-24,3
2016-04-25,19
2016-04-26,14
2016-04-27,24
2016-04-28,16
2016-04-29,29
2016-04-30,20
2016-05-02,25
2016-05-03,14
2016-05-04,19
2016-05-05,24
2016-05-06,8
2016-05-07,8
2016-05-09,14
2016-05-10,17
2016-05-11,27
2016-05-12,21
2016-05-13,27
2016-05-14,27
2016-05-16,23
2016-05-17,9
2016-05-18,17
2016-05-19,18
2016-05-20,14
2016-05-21,24
2016-05-23,22
2016-05-24,3
2016-05-25,7
2016-05-26,27
2016-05-27,30
2016-05-28,18
2016-05-30,19
2016-05-31,20
2016-06-01,17
2016-06-02,27
2016-06-03,22
2016-06-04,13
2016-06-06,10
2016-06-07,12
2016-06-08,19
2016-06-09,20
2016-06-10,30
2016-06-11,26
2016-06-13,6
2016-06-14,32
2016-06-15,4
2016-06-16,18
2016-06-17,33
2016-06-18,21
2016-06-20,15
2016-06-21,22
2016-06-22,15
2016-06-23,12
2016-06-24,33
2016-06-25,10
2016-06-27,14
2016-06-28,13
2016-06-29,20
2016-06-30,20
2016-07-01,9
2016-07-02,14
2016-07-04,10
2016-07-05,9
2016-07-06,19
2016-07-07,16
2016-07-08,29
2016-07-09,12
2016-07-11,15
2016-07-12,12
2016-07-13,13
2016-07-14,36
2016-07-15,23
2016-07-16,25
2016-07-17,8
2016-07-19,16
2016-07-20,18
2016-07-21,17
2016-07-22,12
2016-07-24,15
2016-07-25,34
2016-07-26,9
2016-07-27,39
2016-07-28,14
2016-07-29,25
2016-07-30,17
2016-08-01,6
2016-08-02,4
2016-08-03,11
2016-08-04,41
2016-08-05,17
2016-08-06,16
2016-08-07,4
2016-08-08,10
2016-08-09,10
2016-08-10,2
2016-08-11,7
2016-08-12,5
2016-08-13,5
2016-08-15,21
2016-08-16,40
2016-08-17,29
2016-08-18,12
2016-08-19,27
2016-08-20,8
2016-08-22,28
2016-08-23,21
2016-08-24,15
2016-08-25,2
2016-08-26,10
2016-08-27,14
2016-09-02,17
2016-09-03,29
2016-09-05,23
2016-09-06,12
