date,visitors
2016-08-09,19
2016-08-10,31
2016-08-11,41
2016-08-12,15
2016-08-13,26
2016-08-14,36
2016-08-15,32
2016-08-16,14
2016-08-17,12
2016-08-18,40
2016-08-19,44
2016-08-20,46
2016-08-21,30
2016-08-23,14
2016-08-24,23
2016-08-25,13
2016-08-26,64
2016-08-27,47
2016-08-28,33
2016-08-29,7
2016-08-30,8
2016-08-31,28
2016-09-01,27
2016-09-02,34
2016-09-03,44
2016-09-04,22
2016-09-05,8
2016-09-06,17
2016-09-07,29
2016-09-08,23
2016-09-09,50
2016-09-10,38
2016-09-11,28
2016-09-12,7
2016-09-13,35
2016-09-14,21
2016-09-15,16
2016-09-16,40
2016-09-17,36
2016-09-18,50
2016-09-19,8
2016-09-20,6
2016-09-21,46
2016-09-22,23
2016-09-23,45
2016-09-24,52
2016-09-25,28
2016-09-26,21
2016-09-27,19
2016-09-28,16
2016-09-29,26
2016-09-30,61
2016-10-01,58
2016-10-02,14
2016-10-03,12
2016-10-04,21
2016-10-05,26
2016-10-06,11
2016-10-07,45
2016-10-08,44
2016-10-09,40
2016-10-10,13
2016-10-11,28
2016-10-12,30
2016-10-13,19
2016-10-14,57
2016-10-15,47
2016-10-16,29
2016-10-17,13
2016-10-18,15
2016-10-19,18
2016-10-20,24
2016-10-21,58
2016-10-22,66
2016-10-23,22
2016-10-24,21
2016-10-25,15
2016-10-26,19
2016-10-27,25
2016-10-28,56
2016-10-29,45
2016-10-30,28
2016-10-31,7
2016-11-01,10
2016-11-02,16
2016-11-03,22
2016-11-04,34
2016-11-05,52
2016-11-06,13
2016-11-07,17
2016-11-08,12
2016-11-09,23
2016-11-10,27
2016-11-11,56
2016-11-12,67
2016-11-13,30
2016-11-14,11
2016-11-15,18
2016-11-16,15
2016-11-17,29
2016-11-18,56
2016-11-19,45
2016-11-20,33
2016-11-21,18
2016-11-22,52
2016-11-23,19
2016-11-24,12
2016-11-25,65
2016-11-26,71
2016-11-27,25
2016-11-28,22
2016-11-29,4
2016-11-30,11
2016-12-01,29
2016-12-02,66
2016-12-03,52
2016-12-04,20
2016-12-05,4
2016-12-06,17
2016-12-07,25
2016-12-08,26
2016-12-09,65
2016-12-10,97
2016-12-11,50
2016-12-12,40
2016-12-13,34
2016-12-14,44
2016-12-15,40
2016-12-16,79
2016-12-17,90
2016-12-18,33
2016-12-19,15
2016-12-20,55
2016-12-21,52
2016-12-22,48
2016-12-23,60
2016-12-24,62
2016-12-25,32
2016-12-26,22
2016-12-27,71
2016-12-28,61
2016-12-29,65
2016-12-30,45
2016-12-31,17
2017-01-02,41
2017-01-03,33
2017-01-04,13
2017-01-05,5
2017-01-06,48
2017-01-07,47
2017-01-08,55
2017-01-09,48
2017-01-10,27
2017-01-11,31
2017-01-12,13
2017-01-13,50
2017-01-14,92
2017-01-15,54
2017-01-16,18
2017-01-17,36
2017-01-18,24
2017-01-19,16
2017-01-20,55
2017-01-21,66
2017-01-22,46
2017-01-23,23
2017-01-24,33
2017-01-25,23
2017-01-26,37
2017-01-27,61
2017-01-28,82
2017-01-29,47
2017-01-30,8
2017-01-31,12
2017-02-01,34
2017-02-02,28
2017-02-03,54
2017-02-04,48
2017-02-05,60
2017-02-06,14
2017-02-07,22
2017-02-08,14
2017-02-09,29
2017-02-10,62
2017-02-11,89
2017-02-12,58
2017-02-13,35
2017-02-14,9
2017-02-15,31
2017-02-16,23
2017-02-17,65
2017-02-18,57
2017-02-19,67
2017-02-20,23
2017-02-21,15
2017-02-22,27
2017-02-23,16
2017-02-24,52
2017-02-25,112
2017-02-26,51
2017-02-27,24
2017-02-28,18
2017-03-01,34
2017-03-02,14
