date,visitors
2016-07-01,9
2016-07-02,23
2016-07-03,30
2016-07-04,1
2016-07-06,12
2016-07-07,13
2016-07-08,8
2016-07-09,23
2016-07-10,28
2016-07-11,19
2016-07-13,9
2016-07-14,9
2016-07-15,14
2016-07-16,9
2016-07-17,24
2016-07-18,21
2016-07-20,11
2016-07-21,18
2016-07-22,19
2016-07-23,34
2016-07-24,18
2016-07-25,9
2016-07-27,9
2016-07-28,3
2016-07-29,11
2016-07-30,28
2016-07-31,14
2016-08-01,19
2016-08-03,13
2016-08-04,18
2016-08-05,19
2016-08-06,13
2016-08-07,29
2016-08-08,15
2016-08-10,16
2016-08-11,12
2016-08-12,26
2016-08-13,10
2016-08-15,27
2016-08-18,9
2016-08-19,16
2016-08-20,21
2016-08-21,29
2016-08-22,10
2016-08-24,21
2016-08-25,17
2016-08-26,15
2016-08-27,19
2016-08-28,35
2016-08-29,25
2016-08-31,20
2016-09-01,7
2016-09-02,7
2016-09-03,18
2016-09-04,23
2016-09-05,15
2016-09-07,11
2016-09-08,19
2016-09-10,18
2016-09-11,23
2016-09-12,4
2016-09-14,5
2016-09-15,21
2016-09-16,11
2016-09-17,14
2016-09-18,12
2016-09-19,26
2016-09-21,10
2016-09-22,21
2016-09-24,31
2016-09-25,24
2016-09-26,21
2016-09-27,3
2016-09-28,8
2016-09-29,9
2016-09-30,7
2016-10-01,16
2016-10-03,11
2016-10-06,11
2016-10-07,20
2016-10-08,19
2016-10-09,14
2016-10-10,20
2016-10-12,20
2016-10-13,18
2016-10-14,16
2016-10-15,19
2016-10-16,18
2016-10-17,12
2016-10-19,21
2016-10-20,15
2016-10-21,6
2016-10-22,16
2016-10-23,21
2016-10-24,12
2016-10-26,14
2016-10-27,16
2016-10-28,8
2016-10-29,20
2016-10-30,19
2016-10-31,17
2016-11-02,7
2016-11-03,17
2016-11-04,15
2016-11-05,5
2016-11-06,27
2016-11-07,21
2016-11-09,14
2016-11-10,9
2016-11-11,22
2016-11-12,15
2016-11-13,14
2016-11-14,8
2016-11-16,21
2016-11-17,16
2016-11-18,17
2016-11-19,409
2016-11-20,27
2016-11-21,14
2016-11-23,28
2016-11-24,19
2016-11-25,2
2016-11-26,25
2016-11-27,6
2016-11-28,14
2016-11-30,14
2016-12-01,9
2016-12-02,14
2016-12-03,19
2016-12-04,14
2016-12-05,22
2016-12-07,10
2016-12-08,15
2016-12-09,11
2016-12-10,26
2016-12-11,22
2016-12-12,14
2016-12-14,22
2016-12-15,20
2016-12-16,10
2016-12-17,7
2016-12-18,8
2016-12-19,14
2016-12-21,10
2016-12-22,8
2016-12-23,10
2016-12-24,23
2016-12-25,24
2016-12-26,3
2016-12-31,15
2017-01-01,4
2017-01-04,23
2017-01-05,9
2017-01-06,12
2017-01-07,12
2017-01-08,16
2017-01-09,15
2017-01-11,10
2017-01-12,13
2017-01-13,11
2017-01-14,10
2017-01-15,6
2017-01-16,10
2017-01-18,13
2017-01-19,6
2017-01-20,3
2017-01-21,9
2017-01-22,28
2017-01-23,9
2017-01-26,18
2017-01-27,5
2017-01-28,11
2017-01-29,21
2017-01-30,8
2017-01-31,1
2017-02-01,12
2017-02-02,17
2017-02-03,12
2017-02-04,19
2017-02-05,30
2017-02-06,11
2017-02-08,18
2017-02-09,22
2017-02-10,7
2017-02-11,14
2017-02-13,18
2017-02-15,17
2017-02-16,10
2017-02-17,20
2017-02-18,14
2017-02-19,25
2017-02-20,8
