date,visitors
2016-07-01,42
2016-07-02,72
2016-07-03,20
2016-07-04,29
2016-07-05,16
2016-07-06,49
2016-07-07,41
2016-07-08,67
2016-07-09,66
2016-07-10,35
2016-07-11,25
2016-07-12,14
2016-07-13,26
2016-07-14,24
2016-07-15,50
2016-07-16,66
2016-07-17,76
2016-07-18,33
2016-07-19,17
2016-07-20,13
2016-07-21,23
2016-07-22,58
2016-07-23,53
2016-07-24,37
2016-07-25,22
2016-07-26,25
2016-07-27,19
2016-07-28,30
2016-07-29,79
2016-07-30,61
2016-07-31,22
2016-08-01,3
2016-08-02,5
2016-08-03,28
2016-08-04,26
2016-08-05,55
2016-08-06,40
2016-08-07,32
2016-08-08,26
2016-08-09,33
2016-08-10,67
2016-08-11,37
2016-08-12,46
2016-08-13,65
2016-08-14,43
2016-08-15,30
2016-08-16,32
2016-08-17,19
2016-08-18,22
2016-08-19,66
2016-08-20,59
2016-08-21,42
2016-08-22,6
2016-08-23,14
2016-08-24,22
2016-08-25,10
2016-08-26,70
2016-08-27,53
2016-08-28,24
2016-08-29,21
2016-08-30,43
2016-08-31,28
2016-09-01,11
2016-09-02,47
2016-09-03,81
2016-09-04,29
2016-09-05,18
2016-09-06,20
2016-09-07,33
2016-09-08,34
2016-09-09,51
2016-09-10,61
2016-09-11,38
2016-09-12,28
2016-09-13,13
2016-09-14,29
2016-09-15,25
2016-09-16,45
2016-09-17,54
2016-09-18,29
2016-09-19,26
2016-09-20,21
2016-09-21,53
2016-09-22,21
2016-09-23,38
2016-09-24,87
2016-09-25,30
2016-09-26,28
2016-09-27,48
2016-09-28,27
2016-09-29,25
2016-09-30,56
2016-10-01,67
2016-10-02,14
2016-10-03,39
2016-10-04,22
2016-10-05,16
2016-10-06,31
2016-10-07,68
2016-10-08,43
2016-10-09,56
2016-10-10,19
2016-10-11,25
2016-10-12,22
2016-10-13,53
2016-10-14,66
2016-10-15,50
2016-10-16,36
2016-10-17,24
2016-10-18,23
2016-10-19,35
2016-10-20,34
2016-10-21,80
2016-10-22,60
2016-10-23,33
2016-10-24,27
2016-10-25,29
2016-10-26,60
2016-10-27,24
2016-10-28,70
2016-10-29,66
2016-10-30,26
2016-10-31,26
2016-11-01,27
2016-11-02,56
2016-11-03,39
2016-11-04,45
2016-11-05,59
2016-11-06,30
2016-11-07,17
2016-11-08,12
2016-11-09,23
2016-11-10,35
2016-11-11,31
2016-11-12,61
2016-11-13,40
2016-11-14,18
2016-11-15,27
2016-11-16,35
2016-11-17,25
2016-11-18,53
2016-11-19,53
2016-11-20,31
2016-11-21,22
2016-11-22,69
2016-11-23,30
2016-11-24,29
2016-11-25,70
2016-11-26,92
2016-11-27,36
2016-11-28,26
2016-11-29,33
2016-11-30,33
2016-12-01,34
2016-12-02,72
2016-12-03,72
2016-12-04,28
2016-12-05,37
2016-12-06,39
2016-12-07,54
2016-12-08,42
2016-12-09,74
2016-12-10,76
2016-12-11,23
2016-12-12,46
2016-12-13,25
2016-12-14,33
2016-12-15,50
2016-12-16,75
2016-12-17,67
2016-12-18,68
2016-12-19,44
2016-12-20,49
2016-12-21,38
2016-12-22,72
2016-12-23,71
2016-12-24,43
2016-12-25,24
2016-12-26,44
2016-12-27,53
2016-12-28,37
2016-12-29,45
2016-12-30,59
2016-12-31,36
2017-01-01,21
2017-01-02,49
2017-01-03,25
2017-01-04,24
2017-01-05,8
2017-01-06,44
2017-01-07,71
2017-01-08,53
2017-01-09,19
2017-01-10,44
2017-01-11,56
2017-01-12,28
2017-01-13,54
2017-01-14,52
2017-01-15,31
2017-01-16,7
2017-01-17,17
2017-01-18,22
2017-01-19,31
2017-01-20,42
2017-01-21,56
2017-01-22,25
2017-01-23,28
2017-01-24,34
2017-01-25,23
2017-01-26,20
2017-01-27,64
2017-01-28,61
2017-01-29,24
2017-01-30,25
2017-01-31,33
2017-02-01,12
2017-02-02,28
2017-02-03,60
2017-02-04,34
2017-02-05,19
2017-02-06,13
2017-02-07,27
2017-02-08,23
2017-02-09,19
2017-02-10,48
2017-02-11,53
2017-02-12,9
2017-02-13,25
2017-02-14,18
2017-02-15,38
2017-02-16,15
2017-02-17,52
2017-02-18,55
2017-02-19,31
2017-02-20,15
2017-02-21,18
