date,visitors
2016-07-01,26
2016-07-02,53
2016-07-03,46
2016-07-04,21
2016-07-05,26
2016-07-07,37
2016-07-08,23
2016-07-09,58
2016-07-10,42
2016-07-11,15
2016-07-12,39
2016-07-14,47
2016-07-15,26
2016-07-16,65
2016-07-17,83
2016-07-18,44
2016-07-19,27
2016-07-21,16
2016-07-22,35
2016-07-23,30
2016-07-24,41
2016-07-25,15
2016-07-26,35
2016-07-28,40
2016-07-29,43
2016-07-30,53
2016-07-31,36
2016-08-01,17
2016-08-02,32
2016-08-04,22
2016-08-05,22
2016-08-06,22
2016-08-07,48
2016-08-08,20
2016-08-09,16
2016-08-11,40
2016-08-12,46
2016-08-13,57
2016-08-14,15
2016-08-15,38
2016-08-16,27
2016-08-18,36
2016-08-19,17
2016-08-20,64
2016-08-21,36
2016-08-22,34
2016-08-23,47
2016-08-25,25
2016-08-26,30
2016-08-27,32
2016-08-28,63
2016-08-29,25
2016-08-30,35
2016-09-01,29
2016-09-02,28
2016-09-03,62
2016-09-04,51
2016-09-05,15
2016-09-06,32
2016-09-08,35
2016-09-09,25
2016-09-10,56
2016-09-11,36
2016-09-12,24
2016-09-13,37
2016-09-15,25
2016-09-16,51
2016-09-17,71
2016-09-18,23
2016-09-19,29
2016-09-20,29
2016-09-22,54
2016-09-23,35
2016-09-24,51
2016-09-25,39
2016-09-26,23
2016-09-27,36
2016-09-29,22
2016-09-30,16
2016-10-01,43
2016-10-02,68
2016-10-03,29
2016-10-04,32
2016-10-06,33
2016-10-07,24
2016-10-08,30
2016-10-09,42
2016-10-10,52
2016-10-11,27
2016-10-13,46
2016-10-14,23
2016-10-15,59
2016-10-16,48
2016-10-17,18
2016-10-18,33
2016-10-20,30
2016-10-21,59
2016-10-22,37
2016-10-23,57
2016-10-24,39
2016-10-25,25
2016-10-27,21
2016-10-28,38
2016-10-29,31
2016-10-30,45
2016-10-31,29
2016-11-01,25
2016-11-03,56
2016-11-04,29
2016-11-05,53
2016-11-06,54
2016-11-07,15
2016-11-08,29
2016-11-10,24
2016-11-11,26
2016-11-12,49
2016-11-13,73
2016-11-14,20
2016-11-15,17
2016-11-17,34
2016-11-18,43
2016-11-19,53
2016-11-20,62
2016-11-21,33
2016-11-22,46
2016-11-23,65
2016-11-24,1
2016-11-25,26
2016-11-26,31
2016-11-27,84
2016-11-28,42
2016-11-29,38
2016-12-01,23
2016-12-02,42
2016-12-03,76
2016-12-04,32
2016-12-05,28
2016-12-06,35
2016-12-08,36
2016-12-09,34
2016-12-10,47
2016-12-11,60
2016-12-12,24
2016-12-13,31
2016-12-15,21
2016-12-16,37
2016-12-17,56
2016-12-19,22
2016-12-20,19
2016-12-22,35
2016-12-23,49
2016-12-24,51
2016-12-25,69
2016-12-26,29
2016-12-27,36
2016-12-29,60
2016-12-30,50
2016-12-31,18
2017-01-05,31
2017-01-06,53
2017-01-07,47
2017-01-08,55
2017-01-09,52
2017-01-10,40
2017-01-12,25
2017-01-13,25
2017-01-14,41
2017-01-15,47
2017-01-16,35
2017-01-17,12
2017-01-19,29
2017-01-20,29
2017-01-21,59
2017-01-22,45
2017-01-23,27
2017-01-24,37
2017-01-26,21
2017-01-27,40
2017-01-28,56
2017-01-29,51
2017-01-30,30
2017-01-31,32
2017-02-02,31
2017-02-03,31
2017-02-04,68
2017-02-05,37
2017-02-06,21
2017-02-07,33
2017-02-09,9
2017-02-10,31
2017-02-11,35
2017-02-12,53
2017-02-13,36
2017-02-14,36
2017-02-16,19
2017-02-17,33
2017-02-18,57
2017-02-19,79
2017-02-20,15
2017-02-21,40
2017-02-22,1
