date,visitors
2016-07-01,24
2016-07-02,38
2016-07-03,23
2016-07-04,18
2016-07-05,7
2016-07-06,20
2016-07-07,12
2016-07-08,14
2016-07-09,38
2016-07-10,35
2016-07-11,17
2016-07-12,15
2016-07-13,19
2016-07-14,28
2016-07-15,13
2016-07-16,35
2016-07-17,38
2016-07-18,31
2016-07-19,7
2016-07-20,17
2016-07-21,19
2016-07-22,16
2016-07-23,38
2016-07-24,32
2016-07-25,10
2016-07-26,11
2016-07-27,10
2016-07-28,32
2016-07-29,21
2016-07-30,27
2016-07-31,23
2016-08-01,12
2016-08-02,17
2016-08-03,23
2016-08-04,20
2016-08-05,33
2016-08-06,37
2016-08-07,34
2016-08-08,20
2016-08-09,22
2016-08-10,35
2016-08-11,15
2016-08-12,26
2016-08-13,30
2016-08-14,32
2016-08-15,18
2016-08-16,16
2016-08-17,15
2016-08-18,28
2016-08-19,27
2016-08-20,31
2016-08-21,28
2016-08-22,16
2016-08-23,18
2016-08-24,12
2016-08-25,16
2016-08-26,27
2016-08-27,33
2016-08-28,45
2016-08-29,12
2016-08-30,21
2016-08-31,24
2016-09-01,16
2016-09-02,29
2016-09-03,27
2016-09-04,30
2016-09-05,22
2016-09-06,8
2016-09-07,7
2016-09-08,14
2016-09-09,31
2016-09-10,43
2016-09-11,36
2016-09-12,13
2016-09-13,11
2016-09-14,14
2016-09-15,28
2016-09-16,23
2016-09-17,35
2016-09-18,26
2016-09-19,17
2016-09-20,13
2016-09-21,14
2016-09-22,20
2016-09-23,9
2016-09-24,48
2016-09-25,42
2016-09-26,15
2016-09-27,14
2016-09-28,23
2016-09-29,23
2016-09-30,15
2016-10-01,48
2016-10-02,35
2016-10-03,10
2016-10-04,19
2016-10-05,6
2016-10-06,33
2016-10-07,39
2016-10-08,40
2016-10-09,31
2016-10-10,16
2016-10-11,12
2016-10-12,33
2016-10-13,12
2016-10-14,27
2016-10-15,46
2016-10-16,41
2016-10-17,6
2016-10-18,29
2016-10-19,12
2016-10-20,24
2016-10-21,43
2016-10-22,46
2016-10-23,27
2016-10-24,13
2016-10-25,15
2016-10-26,22
2016-10-27,30
2016-10-28,19
2016-10-29,46
2016-10-30,53
2016-10-31,13
2016-11-01,8
2016-11-02,29
2016-11-03,32
2016-11-04,17
2016-11-05,50
2016-11-06,38
2016-11-07,14
2016-11-08,27
2016-11-09,15
2016-11-10,10
2016-11-11,30
2016-11-12,50
2016-11-13,41
2016-11-14,28
2016-11-15,68
2016-11-16,20
2016-11-17,4
2016-11-18,23
2016-11-19,33
2016-11-20,46
2016-11-21,15
2016-11-22,20
2016-11-23,33
2016-11-24,11
2016-11-25,19
2016-11-26,41
2016-11-27,52
2016-11-28,26
2016-11-29,21
2016-11-30,18
2016-12-01,16
2016-12-02,35
2016-12-03,47
2016-12-04,40
2016-12-05,21
2016-12-06,10
2016-12-07,24
2016-12-08,36
2016-12-09,29
2016-12-10,53
2016-12-11,47
2016-12-12,19
2016-12-13,18
2016-12-14,27
2016-12-15,11
2016-12-16,37
2016-12-17,53
2016-12-18,31
2016-12-19,24
2016-12-20,31
2016-12-21,24
2016-12-22,22
2016-12-23,41
2016-12-24,41
2016-12-25,40
2016-12-26,23
2016-12-27,26
2016-12-28,33
2016-12-29,17
2016-12-30,10
2017-01-05,11
2017-01-06,33
2017-01-07,57
2017-01-08,41
2017-01-09,19
2017-01-10,28
2017-01-11,13
2017-01-12,13
2017-01-13,33
2017-01-14,39
2017-01-15,33
2017-01-16,24
2017-01-17,27
2017-01-18,14
2017-01-19,25
2017-01-20,23
2017-01-21,33
2017-01-22,26
2017-01-23,11
2017-01-24,20
2017-01-25,28
2017-01-26,11
2017-01-27,24
2017-01-28,56
2017-01-29,36
2017-01-30,13
2017-01-31,27
2017-02-01,20
2017-02-02,5
2017-02-03,29
2017-02-04,43
2017-02-05,31
2017-02-06,11
2017-02-07,30
2017-02-08,28
2017-02-09,33
2017-02-10,31
2017-02-11,31
2017-02-12,40
2017-02-13,20
2017-02-14,20
2017-02-15,33
2017-02-16,25
2017-02-17,33
2017-02-18,43
2017-02-19,51
2017-02-20,8
2017-02-21,16
2017-02-22,23
