date,visitors
2016-07-01,17
2016-07-02,5
2016-07-03,4
2016-07-04,1
2016-07-06,12
2016-07-07,3
2016-07-08,16
2016-07-09,16
2016-07-10,1
2016-07-11,26
2016-07-12,9
2016-07-13,30
2016-07-14,4
2016-07-15,8
2016-07-16,20
2016-07-17,68
2016-07-19,4
2016-07-20,3
2016-07-21,1
2016-07-22,30
2016-07-23,8
2016-07-24,5
2016-07-26,14
2016-07-27,5
2016-07-28,9
2016-07-29,1
2016-07-30,12
2016-08-03,4
2016-08-04,6
2016-08-05,11
2016-08-06,12
2016-08-08,4
2016-08-09,9
2016-08-10,9
2016-08-11,4
2016-08-17,5
2016-08-18,2
2016-08-19,12
2016-08-20,29
2016-08-23,7
2016-08-24,11
2016-08-25,4
2016-08-26,3
2016-08-27,23
2016-08-28,3
2016-08-29,24
2016-08-30,18
2016-08-31,4
2016-09-01,4
2016-09-02,2
2016-09-03,7
2016-09-04,2
2016-09-05,3
2016-09-07,2
2016-09-08,5
2016-09-09,2
2016-09-10,3
2016-09-12,2
2016-09-13,10
2016-09-15,14
2016-09-16,4
2016-09-17,33
2016-09-18,19
2016-09-20,28
2016-09-21,5
2016-09-22,2
2016-09-23,10
2016-09-24,38
2016-09-27,13
2016-09-28,3
2016-09-30,8
2016-10-01,8
2016-10-03,1
2016-10-04,13
2016-10-05,7
2016-10-06,1
2016-10-08,10
2016-10-09,9
2016-10-11,7
2016-10-12,5
2016-10-13,5
2016-10-14,5
2016-10-15,7
2016-10-16,17
2016-10-17,4
2016-10-18,1
2016-10-19,5
2016-10-20,2
2016-10-21,11
2016-10-22,21
2016-10-23,1
2016-10-25,6
2016-10-26,3
2016-10-27,5
2016-10-28,40
2016-10-29,12
2016-10-31,1
2016-11-01,8
2016-11-02,10
2016-11-03,3
2016-11-04,5
2016-11-05,27
2016-11-06,7
2016-11-08,8
2016-11-09,6
2016-11-10,2
2016-11-11,3
2016-11-12,16
2016-11-13,2
2016-11-14,2
2016-11-15,3
2016-11-16,6
2016-11-17,4
2016-11-18,24
2016-11-19,13
2016-11-22,12
2016-11-23,9
2016-11-24,4
2016-11-25,10
2016-11-26,8
2016-11-27,27
2016-11-29,4
2016-12-01,1
2016-12-02,6
2016-12-03,30
2016-12-05,2
2016-12-06,2
2016-12-07,2
2016-12-08,4
2016-12-09,5
2016-12-10,12
2016-12-11,24
2016-12-13,5
2016-12-15,44
2016-12-16,32
2016-12-17,14
2016-12-20,8
2016-12-21,39
2016-12-22,31
2016-12-23,1
2016-12-24,2
2016-12-26,6
2016-12-27,44
2016-12-28,15
2016-12-29,23
2016-12-30,46
2016-12-31,11
2017-01-05,2
2017-01-06,10
2017-01-07,5
2017-01-08,7
2017-01-10,46
2017-01-11,7
2017-01-13,1
2017-01-14,9
2017-01-15,1
2017-01-18,12
2017-01-19,11
2017-01-20,19
2017-01-21,15
2017-01-23,1
2017-01-24,4
2017-01-25,2
2017-01-26,2
2017-01-27,8
2017-01-28,41
2017-01-29,1
2017-01-30,2
2017-01-31,9
2017-02-01,4
2017-02-02,4
2017-02-03,2
2017-02-04,19
2017-02-06,1
2017-02-07,2
2017-02-08,5
2017-02-09,4
2017-02-10,4
2017-02-11,14
2017-02-14,4
2017-02-15,4
2017-02-16,5
2017-02-17,16
2017-02-18,31
2017-02-19,15
