date,visitors
2016-07-01,16
2016-07-02,29
2016-07-03,8
2016-07-04,4
2016-07-05,6
2016-07-06,18
2016-07-07,4
2016-07-08,12
2016-07-09,33
2016-07-10,16
2016-07-11,4
2016-07-12,9
2016-07-13,10
2016-07-14,11
2016-07-15,16
2016-07-16,28
2016-07-17,28
2016-07-18,25
2016-07-20,5
2016-07-21,9
2016-07-22,7
2016-07-23,23
2016-07-24,13
2016-07-25,3
2016-07-26,11
2016-07-27,22
2016-07-28,4
2016-07-29,25
2016-07-30,44
2016-07-31,10
2016-08-01,5
2016-08-02,6
2016-08-03,22
2016-08-04,7
2016-08-05,11
2016-08-06,26
2016-08-07,10
2016-08-08,5
2016-08-09,5
2016-08-10,22
2016-08-11,23
2016-08-12,7
2016-08-13,28
2016-08-14,18
2016-08-15,5
2016-08-16,6
2016-08-17,6
2016-08-18,4
2016-08-19,10
2016-08-20,28
2016-08-21,12
2016-08-22,5
2016-08-23,6
2016-08-24,2
2016-08-25,9
2016-08-26,22
2016-08-27,14
2016-08-29,7
2016-08-30,7
2016-08-31,2
2016-09-02,11
2016-09-03,11
2016-09-04,12
2016-09-05,7
2016-09-06,11
2016-09-07,13
2016-09-08,5
2016-09-09,10
2016-09-10,21
2016-09-11,6
2016-09-12,4
2016-09-14,6
2016-09-15,12
2016-09-16,7
2016-09-17,22
2016-09-18,32
2016-09-19,14
2016-09-20,2
2016-09-21,12
2016-09-22,14
2016-09-23,9
2016-09-24,16
2016-09-25,23
2016-09-26,7
2016-09-27,7
2016-09-28,2
2016-09-29,6
2016-09-30,11
2016-10-01,21
2016-10-02,22
2016-10-03,7
2016-10-04,18
2016-10-05,15
2016-10-06,12
2016-10-07,8
2016-10-08,22
2016-10-09,19
2016-10-10,19
2016-10-11,11
2016-10-12,3
2016-10-13,6
2016-10-14,10
2016-10-15,27
2016-10-16,21
2016-10-18,7
2016-10-19,5
2016-10-20,15
2016-10-21,21
2016-10-22,21
2016-10-23,21
2016-10-24,7
2016-10-25,9
2016-10-26,25
2016-10-27,19
2016-10-28,2
2016-10-29,27
2016-10-30,17
2016-10-31,21
2016-11-01,10
2016-11-02,1
2016-11-04,19
2016-11-05,21
2016-11-06,7
2016-11-07,9
2016-11-09,12
2016-11-10,5
2016-11-11,6
2016-11-12,23
2016-11-13,22
2016-11-14,8
2016-11-15,9
2016-11-16,13
2016-11-17,3
2016-11-18,13
2016-11-19,12
2016-11-20,20
2016-11-21,12
2016-11-22,32
2016-11-23,27
2016-11-24,17
2016-11-25,19
2016-11-26,26
2016-11-28,6
2016-11-29,6
2016-11-30,19
2016-12-01,5
2016-12-02,8
2016-12-03,9
2016-12-04,17
2016-12-05,16
2016-12-06,9
2016-12-07,17
2016-12-08,13
2016-12-09,22
2016-12-10,14
2016-12-11,18
2016-12-12,20
2016-12-14,13
2016-12-15,5
2016-12-16,14
2016-12-17,24
2016-12-18,7
2016-12-19,17
2016-12-20,15
2016-12-21,19
2016-12-22,28
2016-12-23,27
2016-12-24,19
2016-12-25,15
2016-12-26,8
2016-12-27,16
2016-12-28,24
2016-12-29,23
2016-12-30,26
2016-12-31,4
2017-01-05,7
2017-01-06,8
2017-01-07,8
2017-01-08,6
2017-01-09,19
2017-01-10,3
2017-01-12,4
2017-01-13,10
2017-01-14,10
2017-01-15,4
2017-01-16,6
2017-01-17,4
2017-01-18,4
2017-01-19,4
2017-01-20,16
2017-01-21,7
2017-01-22,9
2017-01-23,8
2017-01-24,2
2017-01-25,18
2017-01-26,15
2017-01-27,9
2017-01-28,16
2017-01-29,2
2017-01-30,6
2017-01-31,16
2017-02-01,2
2017-02-03,7
2017-02-04,27
2017-02-05,6
2017-02-06,10
2017-02-07,13
2017-02-08,6
2017-02-09,9
2017-02-10,16
2017-02-11,13
2017-02-12,9
2017-02-13,5
2017-02-14,6
2017-02-15,16
2017-02-16,6
2017-02-17,6
2017-02-18,29
2017-02-19,14
2017-02-20,6
2017-02-21,5
2017-02-22,14
2017-02-23,4
