date,visitors
2016-07-05,33
2016-07-07,26
2016-07-09,17
2016-07-12,40
2016-07-14,35
2016-07-19,31
2016-07-21,29
2016-07-23,24
2016-07-26,35
2016-07-28,32
2016-08-02,35
2016-08-04,31
2016-08-06,22
2016-08-09,36
2016-08-25,33
2016-08-27,30
2016-08-30,27
2016-09-01,47
2016-09-06,45
2016-09-08,44
2016-09-10,26
2016-09-13,36
2016-09-15,43
2016-09-20,26
2016-09-24,22
2016-09-27,42
2016-09-28,1
2016-09-29,37
2016-10-04,28
2016-10-06,44
2016-10-08,15
2016-10-09,2
2016-10-11,40
2016-10-13,47
2016-10-18,41
2016-10-20,46
2016-10-22,39
2016-10-25,31
2016-10-27,37
2016-11-01,42
2016-11-02,1
2016-11-05,25
2016-11-08,41
2016-11-10,55
2016-11-15,33
2016-11-17,52
2016-11-19,26
2016-11-22,31
2016-11-24,27
2016-11-29,36
2016-12-01,47
2016-12-02,1
2016-12-03,1
2016-12-06,35
2016-12-08,41
2016-12-10,29
2016-12-13,35
2016-12-15,43
2016-12-20,30
2016-12-22,31
2016-12-24,26
2016-12-27,27
2016-12-28,4
2016-12-29,4
2017-01-12,40
2017-01-14,32
2017-01-17,22
2017-01-19,35
2017-01-24,30
2017-01-26,29
2017-01-28,24
2017-01-31,28
2017-02-02,21
2017-02-07,24
2017-02-09,32
