date,visitors
2016-07-01,15
2016-07-02,15
2016-07-03,8
2016-07-04,17
2016-07-05,4
2016-07-06,13
2016-07-07,15
2016-07-08,23
2016-07-09,6
2016-07-10,3
2016-07-11,11
2016-07-12,6
2016-07-13,10
2016-07-14,20
2016-07-15,25
2016-07-16,10
2016-07-17,18
2016-07-18,2
2016-07-19,19
2016-07-20,7
2016-07-21,11
2016-07-22,32
2016-07-23,9
2016-07-24,20
2016-07-25,17
2016-07-26,27
2016-07-27,7
2016-07-28,20
2016-07-29,22
2016-07-30,15
2016-07-31,3
2016-08-01,15
2016-08-02,3
2016-08-03,15
2016-08-04,11
2016-08-05,26
2016-08-06,16
2016-08-08,7
2016-08-09,9
2016-08-10,12
2016-08-11,11
2016-08-12,17
2016-08-13,2
2016-08-15,13
2016-08-16,17
2016-08-17,10
2016-08-18,19
2016-08-19,16
2016-08-20,3
2016-08-22,5
2016-08-23,11
2016-08-24,18
2016-08-25,14
2016-08-26,24
2016-08-27,7
2016-08-28,3
2016-08-29,9
2016-08-30,8
2016-08-31,8
2016-09-01,9
2016-09-02,22
2016-09-03,12
2016-09-05,8
2016-09-06,2
2016-09-07,2
2016-09-08,9
2016-09-09,23
2016-09-10,2
2016-09-12,9
2016-09-13,14
2016-09-14,20
2016-09-15,14
2016-09-16,12
2016-09-17,15
2016-09-18,14
2016-09-20,7
2016-09-21,18
2016-09-22,7
2016-09-23,10
2016-09-24,16
2016-09-26,6
2016-09-27,19
2016-09-28,4
2016-09-29,7
2016-09-30,20
2016-10-01,13
2016-10-03,9
2016-10-04,16
2016-10-05,5
2016-10-06,5
2016-10-07,25
2016-10-08,15
2016-10-10,3
2016-10-11,15
2016-10-12,7
2016-10-13,18
2016-10-14,21
2016-10-15,6
2016-10-17,9
2016-10-18,10
2016-10-19,8
2016-10-20,21
2016-10-21,22
2016-10-22,8
2016-10-24,4
2016-10-25,18
2016-10-26,12
2016-10-27,15
2016-10-28,18
2016-10-29,9
2016-10-31,13
2016-11-01,7
2016-11-02,20
2016-11-03,4
2016-11-04,17
2016-11-06,9
2016-11-07,8
2016-11-08,4
2016-11-09,11
2016-11-10,15
2016-11-11,24
2016-11-12,9
2016-11-14,5
2016-11-15,4
2016-11-16,15
2016-11-17,19
2016-11-18,19
2016-11-19,9
2016-11-21,7
2016-11-22,20
2016-11-23,10
2016-11-24,8
2016-11-25,10
2016-11-26,16
2016-11-28,18
2016-11-29,21
2016-11-30,1
2016-12-01,15
2016-12-02,24
2016-12-03,8
2016-12-05,17
2016-12-06,14
2016-12-07,10
2016-12-08,19
2016-12-09,17
2016-12-10,14
2016-12-12,13
2016-12-13,19
2016-12-14,15
2016-12-15,23
2016-12-16,20
2016-12-17,5
2016-12-19,18
2016-12-20,20
2016-12-21,12
2016-12-22,23
2016-12-23,16
2016-12-24,8
2016-12-26,18
2016-12-27,25
2016-12-28,18
2016-12-29,16
2016-12-30,2
2017-01-05,13
2017-01-06,17
2017-01-07,7
2017-01-09,8
2017-01-10,7
2017-01-11,12
2017-01-12,21
2017-01-13,2
2017-01-14,39
2017-01-15,1
2017-01-16,14
2017-01-17,14
2017-01-18,13
2017-01-19,12
2017-01-20,15
2017-01-21,26
2017-01-23,15
2017-01-24,18
2017-01-25,12
2017-01-26,13
2017-01-27,32
2017-01-28,7
2017-01-30,3
2017-01-31,10
2017-02-01,1
2017-02-02,15
2017-02-03,21
2017-02-04,3
2017-02-05,9
2017-02-06,10
2017-02-07,8
2017-02-08,12
2017-02-09,8
2017-02-10,25
2017-02-11,15
2017-02-13,9
2017-02-14,11
2017-02-15,20
2017-02-16,11
2017-02-17,20
2017-02-18,16
2017-02-20,11
