date,visitors
2016-07-01,5
2016-07-02,8
2016-07-03,6
2016-07-04,4
2016-07-05,13
2016-07-07,14
2016-07-08,6
2016-07-09,8
2016-07-10,5
2016-07-11,2
2016-07-12,6
2016-07-14,11
2016-07-15,4
2016-07-16,6
2016-07-17,16
2016-07-18,10
2016-07-21,4
2016-07-22,7
2016-07-23,26
2016-07-24,13
2016-07-25,5
2016-07-26,7
2016-07-28,8
2016-07-29,4
2016-07-30,6
2016-07-31,9
2016-08-01,9
2016-08-02,3
2016-08-04,9
2016-08-05,10
2016-08-06,10
2016-08-07,16
2016-08-08,11
2016-08-09,15
2016-08-11,3
2016-08-12,9
2016-08-13,14
2016-08-14,2
2016-08-19,7
2016-08-20,6
2016-08-21,14
2016-08-22,7
2016-08-23,14
2016-08-25,9
2016-08-26,11
2016-08-27,7
2016-08-28,4
2016-08-29,5
2016-08-30,10
2016-08-31,4
2016-09-01,6
2016-09-02,12
2016-09-03,10
2016-09-04,12
2016-09-05,9
2016-09-06,12
2016-09-08,3
2016-09-09,7
2016-09-10,6
2016-09-11,5
2016-09-12,4
2016-09-13,13
2016-09-15,9
2016-09-16,10
2016-09-17,2
2016-09-18,8
2016-09-19,3
2016-09-20,9
2016-09-22,7
2016-09-23,10
2016-09-24,8
2016-09-25,4
2016-09-26,11
2016-09-29,2
2016-09-30,7
2016-10-01,2
2016-10-02,12
2016-10-03,7
2016-10-04,8
2016-10-06,5
2016-10-07,2
2016-10-08,8
2016-10-09,4
2016-10-10,12
2016-10-11,10
2016-10-13,3
2016-10-14,3
2016-10-17,17
2016-10-18,3
2016-10-20,2
2016-10-21,9
2016-10-22,2
2016-10-23,13
2016-10-24,12
2016-10-25,10
2016-10-27,2
2016-10-28,4
2016-10-29,9
2016-10-30,10
2016-10-31,11
2016-11-03,12
2016-11-04,4
2016-11-05,9
2016-11-06,3
2016-11-07,6
2016-11-08,9
2016-11-10,9
2016-11-11,6
2016-11-13,8
2016-11-14,6
2016-11-15,2
2016-11-17,8
2016-11-18,7
2016-11-19,4
2016-11-20,12
2016-11-22,9
2016-11-25,11
2016-11-26,9
2016-11-27,8
2016-11-28,6
2016-11-29,7
2016-12-01,1
2016-12-02,9
2016-12-05,6
2016-12-06,2
2016-12-08,6
2016-12-09,2
2016-12-10,10
2016-12-11,2
2016-12-12,12
2016-12-13,8
2016-12-15,5
2016-12-16,8
2016-12-17,2
2016-12-18,7
2016-12-19,2
2016-12-20,5
2016-12-22,12
2016-12-23,9
2016-12-24,7
2016-12-25,14
2016-12-26,6
2016-12-27,11
2016-12-29,12
2016-12-30,8
2017-01-05,6
2017-01-06,6
2017-01-07,5
2017-01-08,7
2017-01-09,9
2017-01-10,14
2017-01-13,7
2017-01-14,8
2017-01-15,9
2017-01-16,9
2017-01-17,2
2017-01-19,5
2017-01-20,9
2017-01-22,3
2017-01-24,9
2017-01-26,1
2017-01-27,11
2017-01-28,8
2017-01-29,2
2017-01-30,2
2017-01-31,6
2017-02-02,5
2017-02-03,5
2017-02-04,4
2017-02-05,8
2017-02-06,6
2017-02-07,2
2017-02-10,3
2017-02-11,13
2017-02-12,8
2017-02-13,2
2017-02-14,8
2017-02-16,6
