date,visitors
2016-07-01,6
2016-07-02,7
2016-07-03,3
2016-07-04,7
2016-07-06,4
2016-07-07,11
2016-07-08,2
2016-07-09,5
2016-07-11,7
2016-07-12,5
2016-07-14,2
2016-07-15,1
2016-07-16,2
2016-07-17,6
2016-07-18,11
2016-07-19,5
2016-07-20,1
2016-07-21,8
2016-07-22,3
2016-07-23,3
2016-07-24,4
2016-07-25,7
2016-07-29,3
2016-07-30,12
2016-07-31,5
2016-08-04,2
2016-08-05,2
2016-08-06,6
2016-08-07,1
2016-08-08,4
2016-08-09,7
2016-08-11,4
2016-08-16,7
2016-08-17,1
2016-08-18,5
2016-08-19,2
2016-08-21,8
2016-08-23,4
2016-08-25,4
2016-08-26,2
2016-08-27,7
2016-08-28,2
2016-08-29,11
2016-08-30,3
2016-08-31,6
2016-09-01,4
2016-09-02,3
2016-09-03,1
2016-09-06,6
2016-09-07,5
2016-09-08,5
2016-09-09,5
2016-09-10,2
2016-09-12,1
2016-09-15,3
2016-09-16,9
2016-09-17,4
2016-09-18,2
2016-09-19,2
2016-09-20,6
2016-09-21,1
2016-09-22,4
2016-09-23,2
2016-09-24,5
2016-09-25,4
2016-09-26,4
2016-09-27,2
2016-09-29,2
2016-09-30,1
2016-10-01,2
2016-10-02,3
2016-10-03,2
2016-10-04,6
2016-10-07,2
2016-10-08,5
2016-10-09,2
2016-10-10,3
2016-10-11,2
2016-10-13,2
2016-10-14,2
2016-10-15,5
2016-10-17,1
2016-10-18,4
2016-10-19,2
2016-10-20,1
2016-10-21,2
2016-10-22,6
2016-10-23,5
2016-10-24,2
2016-10-25,1
2016-10-27,1
2016-10-28,4
2016-10-29,4
2016-10-30,2
2016-10-31,2
2016-11-01,2
2016-11-03,2
2016-11-05,3
2016-11-06,2
2016-11-07,4
2016-11-08,3
2016-11-10,2
2016-11-11,2
2016-11-12,4
2016-11-13,2
2016-11-15,2
2016-11-16,5
2016-11-17,1
2016-11-18,3
2016-11-19,3
2016-11-20,4
2016-11-22,5
2016-11-25,2
2016-11-26,3
2016-11-27,5
2016-11-29,4
2016-11-30,5
2016-12-01,4
2016-12-02,3
2016-12-03,3
2016-12-04,6
2016-12-06,2
2016-12-08,3
2016-12-09,2
2016-12-10,6
2016-12-11,7
2016-12-15,11
2016-12-16,5
2016-12-17,4
2016-12-18,11
2016-12-19,5
2016-12-22,3
2016-12-27,2
2016-12-29,8
2016-12-30,4
2017-01-06,3
2017-01-07,8
2017-01-08,9
2017-01-09,6
2017-01-12,4
2017-01-13,2
2017-01-14,4
2017-01-15,3
2017-01-16,5
2017-01-17,1
2017-01-18,2
2017-01-19,3
2017-01-22,6
2017-01-24,4
2017-01-26,1
2017-01-27,1
2017-01-28,5
2017-01-29,4
2017-01-30,4
2017-01-31,2
2017-02-02,12
2017-02-03,5
2017-02-04,5
2017-02-05,5
2017-02-06,2
2017-02-10,1
2017-02-11,3
2017-02-13,9
2017-02-15,2
2017-02-17,4
2017-02-18,3
2017-02-20,2
2017-02-21,5
2017-02-23,1
2017-02-24,3
2017-02-26,3
2017-02-27,1
2017-02-28,6
