date,visitors
2017-03-07,20
2017-03-08,31
2017-03-09,18
2017-03-10,71
2017-03-11,98
2017-03-12,19
2017-03-13,24
2017-03-14,22
2017-03-15,47
2017-03-16,17
2017-03-17,65
2017-03-18,50
2017-03-19,81
2017-03-20,31
2017-03-21,49
2017-03-22,55
2017-03-23,94
2017-03-24,109
2017-03-25,61
2017-03-26,69
2017-03-27,27
2017-03-28,29
2017-03-29,72
2017-03-30,59
2017-03-31,51
2017-04-01,38
2017-04-02,43
2017-04-03,29
2017-04-04,10
2017-04-05,29
2017-04-06,67
2017-04-07,46
2017-04-08,33
2017-04-09,26
2017-04-10,28
2017-04-11,51
2017-04-12,10
