date,visitors
2016-01-04,6
2016-01-05,8
2016-01-06,10
2016-01-07,12
2016-01-08,9
2016-01-09,16
2016-01-10,37
2016-01-11,21
2016-01-12,8
2016-01-13,1
2016-01-14,6
2016-01-15,3
2016-01-16,29
2016-01-17,16
2016-01-18,5
2016-01-19,9
2016-01-20,8
2016-01-21,4
2016-01-22,9
2016-01-23,34
2016-01-24,20
2016-01-25,1
2016-01-26,7
2016-01-27,13
2016-01-28,8
2016-01-29,14
2016-01-30,49
2016-01-31,9
2016-02-01,6
2016-02-02,5
2016-02-03,6
2016-02-04,27
2016-02-05,14
2016-02-06,33
2016-02-07,25
2016-02-08,7
2016-02-09,8
2016-02-10,4
2016-02-11,53
2016-02-12,10
2016-02-13,40
2016-02-14,15
2016-02-16,13
2016-02-17,21
2016-02-18,10
2016-02-19,19
2016-02-20,26
2016-02-21,25
2016-02-23,1
2016-02-24,12
2016-02-25,11
2016-02-26,23
2016-02-27,24
2016-02-28,24
2016-02-29,1
2016-03-01,7
2016-03-02,7
2016-03-03,12
2016-03-04,24
2016-03-05,27
2016-03-06,21
2016-03-07,7
2016-03-08,24
2016-03-09,9
2016-03-10,5
2016-03-11,23
2016-03-12,48
2016-03-13,21
2016-03-14,6
2016-03-15,3
2016-03-16,8
2016-03-17,4
2016-03-18,15
2016-03-19,11
2016-03-20,23
2016-03-21,26
2016-03-22,6
2016-03-23,13
2016-03-24,15
2016-03-25,24
2016-03-26,45
2016-03-27,22
2016-03-28,6
2016-03-29,71
2016-03-30,3
2016-03-31,5
2016-04-01,11
2016-04-02,32
2016-04-03,13
2016-04-04,10
2016-04-05,23
2016-04-06,9
2016-04-07,4
2016-04-08,5
2016-04-09,29
2016-04-10,22
2016-04-11,2
2016-04-12,2
2016-04-13,24
2016-04-14,6
2016-04-15,7
2016-04-16,24
2016-04-17,21
2016-04-19,7
2016-04-20,1
2016-04-21,4
2016-04-22,2
2016-04-23,36
2016-04-24,17
2016-04-25,5
2016-04-26,11
2016-04-27,8
2016-04-28,12
2016-04-29,23
2016-04-30,15
2016-05-01,22
2016-05-02,15
2016-05-03,37
2016-05-04,16
2016-05-05,22
2016-05-06,6
2016-05-07,20
2016-05-08,30
2016-05-10,9
2016-05-11,6
2016-05-12,12
2016-05-13,15
2016-05-14,19
2016-05-15,38
2016-05-16,5
2016-05-17,8
2016-05-18,6
2016-05-19,16
2016-05-20,13
2016-05-21,47
2016-05-22,26
2016-05-23,1
2016-05-24,7
2016-05-25,13
2016-05-26,22
2016-05-27,5
2016-05-28,32
2016-05-29,30
2016-05-30,15
2016-05-31,31
2016-06-01,7
