date,visitors
2016-07-01,1
2016-07-02,1
2016-07-03,1
2016-07-04,1
2016-07-05,1
2016-07-06,1
2016-07-07,1
2016-07-08,1
2016-07-09,1
2016-07-10,1
2016-07-11,2
2016-07-12,2
2016-07-14,2
2016-07-15,2
2016-07-16,1
2016-07-17,2
2016-07-18,1
2016-07-21,1
2016-07-23,2
2016-07-24,1
2016-07-25,1
2016-07-26,1
2016-07-28,1
2016-07-29,1
2016-07-30,1
2016-08-03,1
2016-08-04,1
2016-08-06,1
2016-08-08,1
2016-08-09,1
2016-08-10,1
2016-08-12,1
2016-08-13,1
2016-08-15,1
2016-08-16,1
2016-08-20,1
2016-08-21,1
2016-08-22,1
2016-08-23,1
2016-08-24,1
2016-08-28,2
2016-08-29,1
2016-08-30,1
2016-09-01,2
2016-09-03,1
2016-09-05,1
2016-09-06,1
2016-09-07,1
2016-09-09,1
2016-09-12,2
2016-09-13,1
2016-09-14,1
2016-09-15,1
2016-09-16,1
2016-09-18,1
2016-09-19,1
2016-09-20,1
2016-09-21,1
2016-09-23,1
2016-09-24,1
2016-09-26,2
2016-09-27,1
2016-09-28,1
2016-09-29,1
2016-10-04,1
2016-10-05,1
2016-10-07,1
2016-10-10,1
2016-10-11,1
2016-10-12,1
2016-10-14,2
2016-10-17,1
2016-10-18,1
2016-10-19,1
2016-10-20,1
2016-10-23,1
2016-10-24,1
2016-10-25,1
2016-10-26,1
2016-10-28,1
2016-10-29,1
2016-10-30,10
2016-10-31,1
2016-11-01,1
2016-11-03,1
2016-11-05,1
2016-11-06,1
2016-11-07,1
2016-11-10,1
2016-11-12,1
2016-11-15,2
2016-11-17,2
2016-11-19,1
2016-11-23,1
2016-11-24,2
2016-11-26,2
2016-11-30,2
2016-12-02,2
2016-12-04,1
2016-12-07,1
2016-12-08,1
2016-12-10,1
2016-12-11,1
2016-12-13,2
2016-12-19,1
2016-12-23,1
2016-12-27,1
2016-12-28,1
2016-12-31,1
2017-01-02,1
2017-01-04,1
2017-01-05,1
2017-01-06,1
2017-01-09,1
2017-01-10,1
2017-01-13,1
2017-01-14,1
2017-01-15,1
2017-01-16,1
2017-01-19,1
2017-01-20,1
2017-01-21,1
2017-01-24,1
2017-01-25,1
2017-01-27,1
2017-01-29,2
2017-01-30,1
2017-01-31,1
