date,visitors
2016-07-01,43
2016-07-02,47
2016-07-03,8
2016-07-04,15
2016-07-05,22
2016-07-06,34
2016-07-07,15
2016-07-08,12
2016-07-09,60
2016-07-10,5
2016-07-11,24
2016-07-12,13
2016-07-13,19
2016-07-14,17
2016-07-15,57
2016-07-16,43
2016-07-17,35
2016-07-18,16
2016-07-19,21
2016-07-20,28
2016-07-21,19
2016-07-22,45
2016-07-23,36
2016-07-24,13
2016-07-25,42
2016-07-26,15
2016-07-27,24
2016-07-28,26
2016-07-29,29
2016-07-30,57
2016-07-31,5
2016-08-01,12
2016-08-02,40
2016-08-03,23
2016-08-04,28
2016-08-05,30
2016-08-06,42
2016-08-07,23
2016-08-08,22
2016-08-09,34
2016-08-10,24
2016-08-11,59
2016-08-12,16
2016-08-13,3
2016-08-14,6
2016-08-15,22
2016-08-16,11
2016-08-17,18
2016-08-18,24
2016-08-19,32
2016-08-20,21
2016-08-21,7
2016-08-22,21
2016-08-23,24
2016-08-24,30
2016-08-25,16
2016-08-26,28
2016-08-27,53
2016-08-28,3
2016-08-29,19
2016-08-30,8
2016-08-31,37
2016-09-01,25
2016-09-02,33
2016-09-03,48
2016-09-04,7
2016-09-05,24
2016-09-06,58
2016-09-07,32
2016-09-08,25
2016-09-09,23
2016-09-10,34
2016-09-11,4
2016-09-12,22
2016-09-13,17
2016-09-14,19
2016-09-15,24
2016-09-16,29
2016-09-17,63
2016-09-18,7
2016-09-19,26
2016-09-20,20
2016-09-21,26
2016-09-22,2
2016-09-23,18
2016-09-24,77
2016-09-25,4
2016-09-26,89
2016-09-27,38
2016-09-28,25
2016-09-29,43
2016-09-30,34
2016-10-01,24
2016-10-02,3
2016-10-03,21
2016-10-04,31
2016-10-05,36
2016-10-06,28
2016-10-07,34
2016-10-08,40
2016-10-10,23
2016-10-11,15
2016-10-12,25
2016-10-13,25
2016-10-14,36
2016-10-15,59
2016-10-16,7
2016-10-17,13
2016-10-18,26
2016-10-19,22
2016-10-20,21
2016-10-21,27
2016-10-22,30
2016-10-23,10
2016-10-24,11
2016-10-25,19
2016-10-26,24
2016-10-27,29
2016-10-28,38
2016-10-29,4
2016-10-30,11
2016-10-31,17
2016-11-01,9
2016-11-02,24
2016-11-03,13
2016-11-04,48
2016-11-05,71
2016-11-06,7
2016-11-07,18
2016-11-08,24
2016-11-09,18
2016-11-10,18
2016-11-11,15
2016-11-12,53
2016-11-13,4
2016-11-14,17
2016-11-15,25
2016-11-16,28
2016-11-17,9
2016-11-18,33
2016-11-19,7
2016-11-20,40
2016-11-21,64
2016-11-22,17
2016-11-23,17
2016-11-24,31
2016-11-25,37
2016-11-26,32
2016-11-27,2
2016-11-28,25
2016-11-29,15
2016-11-30,13
2016-12-02,47
2016-12-03,49
2016-12-05,20
2016-12-06,20
2016-12-07,22
2016-12-08,33
2016-12-09,44
2016-12-10,34
2016-12-11,11
2016-12-12,24
2016-12-13,22
2016-12-14,12
2016-12-15,36
2016-12-16,22
2016-12-17,47
2016-12-18,23
2016-12-19,19
2016-12-20,33
2016-12-21,14
2016-12-22,42
2016-12-23,28
2016-12-24,50
2016-12-25,4
2016-12-26,26
2016-12-27,9
2016-12-28,33
2016-12-29,9
2016-12-30,20
2017-01-02,16
2017-01-03,17
2017-01-04,19
2017-01-05,37
2017-01-06,15
2017-01-07,57
2017-01-08,9
2017-01-09,15
2017-01-10,17
2017-01-11,10
2017-01-12,22
2017-01-13,18
2017-01-14,41
2017-01-15,7
2017-01-16,8
2017-01-17,21
2017-01-18,28
2017-01-19,6
2017-01-20,25
2017-01-21,57
2017-01-22,5
2017-01-23,9
2017-01-24,19
2017-01-25,29
2017-01-26,40
2017-01-27,24
2017-01-28,10
2017-01-29,51
2017-01-30,29
2017-01-31,20
2017-02-01,15
2017-02-02,22
2017-02-03,34
2017-02-04,40
2017-02-05,8
2017-02-06,32
2017-02-07,13
2017-02-08,22
2017-02-09,23
2017-02-10,28
2017-02-11,29
2017-02-12,11
2017-02-13,30
2017-02-14,22
2017-02-15,32
2017-02-16,24
2017-02-17,23
2017-02-18,18
2017-02-19,40
2017-02-20,15
2017-02-21,17
