date,visitors
2016-07-01,16
2016-07-02,36
2016-07-03,30
2016-07-04,28
2016-07-05,19
2016-07-06,32
2016-07-07,26
2016-07-08,40
2016-07-09,47
2016-07-10,16
2016-07-11,8
2016-07-12,21
2016-07-13,30
2016-07-14,36
2016-07-15,16
2016-07-16,50
2016-07-17,44
2016-07-18,43
2016-07-19,33
2016-07-20,24
2016-07-21,28
2016-07-22,23
2016-07-23,32
2016-07-24,23
2016-07-25,28
2016-07-26,19
2016-07-27,10
2016-07-28,21
2016-07-29,40
2016-07-30,57
2016-07-31,21
2016-08-01,29
2016-08-02,40
2016-08-03,27
2016-08-04,29
2016-08-05,36
2016-08-06,24
2016-08-07,38
2016-08-08,21
2016-08-09,21
2016-08-10,26
2016-08-11,24
2016-08-12,24
2016-08-13,18
2016-08-14,16
2016-08-15,19
2016-08-16,26
2016-08-17,38
2016-08-18,23
2016-08-19,31
2016-08-20,17
2016-08-21,32
2016-08-22,20
2016-08-23,14
2016-08-24,32
2016-08-25,20
2016-08-26,42
2016-08-27,25
2016-08-28,14
2016-08-29,15
2016-08-30,31
2016-08-31,14
2016-09-01,28
2016-09-02,19
2016-09-03,17
2016-09-04,34
2016-09-05,16
2016-09-06,34
2016-09-07,25
2016-09-08,19
2016-09-09,27
2016-09-10,29
2016-09-11,24
2016-09-12,22
2016-09-13,19
2016-09-14,30
2016-09-15,21
2016-09-16,14
2016-09-17,47
2016-09-18,61
2016-09-19,18
2016-09-20,8
2016-09-21,15
2016-09-22,31
2016-09-23,23
2016-09-24,38
2016-09-25,46
2016-09-26,8
2016-09-27,27
2016-09-28,29
2016-09-29,22
2016-09-30,24
2016-10-01,28
2016-10-02,18
2016-10-03,25
2016-10-04,22
2016-10-05,11
2016-10-06,23
2016-10-07,29
2016-10-08,8
2016-10-09,29
2016-10-10,26
2016-10-11,10
2016-10-12,23
2016-10-13,29
2016-10-14,18
2016-10-15,27
2016-10-16,31
2016-10-17,15
2016-10-18,31
2016-10-19,17
2016-10-20,23
2016-10-21,14
2016-10-22,39
2016-10-23,24
2016-10-24,26
2016-10-25,26
2016-10-26,35
2016-10-27,27
2016-10-28,27
2016-10-29,15
2016-10-30,27
2016-10-31,32
2016-11-01,3
2016-11-02,28
2016-11-03,37
2016-11-04,15
2016-11-05,16
2016-11-06,23
2016-11-07,20
2016-11-08,14
2016-11-09,12
2016-11-10,27
2016-11-11,39
2016-11-12,34
2016-11-13,37
2016-11-14,13
2016-11-15,21
2016-11-16,25
2016-11-17,33
2016-11-18,32
2016-11-19,36
2016-11-20,36
2016-11-21,20
2016-11-22,33
2016-11-23,23
2016-11-24,17
2016-11-25,27
2016-11-26,45
2016-11-27,38
2016-11-28,17
2016-11-29,28
2016-11-30,28
2016-12-01,1
2016-12-02,28
2016-12-03,57
2016-12-04,29
2016-12-05,24
2016-12-06,23
2016-12-07,34
2016-12-08,38
2016-12-09,27
2016-12-10,46
2016-12-11,35
2016-12-12,25
2016-12-13,29
2016-12-14,22
2016-12-15,35
2016-12-16,60
2016-12-17,33
2016-12-18,41
2016-12-19,24
2016-12-20,20
2016-12-21,20
2016-12-22,38
2016-12-23,27
2016-12-24,11
2016-12-25,32
2016-12-26,33
2016-12-27,25
2016-12-28,52
2016-12-29,15
2016-12-30,67
2016-12-31,12
2017-01-01,11
2017-01-02,44
2017-01-03,41
2017-01-04,39
2017-01-05,24
2017-01-06,24
2017-01-07,31
2017-01-08,25
2017-01-09,37
2017-01-10,18
2017-01-11,11
2017-01-12,30
2017-01-13,23
2017-01-14,48
2017-01-15,42
2017-01-16,16
2017-01-17,39
2017-01-18,18
2017-01-19,21
2017-01-20,39
2017-01-21,21
2017-01-22,23
2017-01-23,17
2017-01-24,29
2017-01-25,20
2017-01-26,21
2017-01-27,26
2017-01-28,16
2017-01-29,22
2017-01-30,17
2017-01-31,23
2017-02-01,32
2017-02-02,7
2017-02-03,21
2017-02-04,31
2017-02-05,11
2017-02-06,13
2017-02-07,16
2017-02-08,22
2017-02-09,10
2017-02-10,18
2017-02-11,36
2017-02-12,33
2017-02-13,11
2017-02-14,26
2017-02-15,24
2017-02-16,24
2017-02-17,32
2017-02-18,33
2017-02-19,18
2017-02-20,32
2017-02-21,24
