date,visitors
2016-07-01,16
2016-07-02,39
2016-07-03,2
2016-07-04,24
2016-07-06,28
2016-07-08,2
2016-07-09,40
2016-07-10,12
2016-07-11,8
2016-07-12,10
2016-07-13,10
2016-07-14,11
2016-07-15,5
2016-07-16,37
2016-07-17,6
2016-07-19,12
2016-07-21,12
2016-07-23,19
2016-07-24,18
2016-07-26,4
2016-07-27,22
2016-07-28,16
2016-07-29,4
2016-07-30,27
2016-07-31,30
2016-08-01,18
2016-08-02,17
2016-08-03,9
2016-08-04,5
2016-08-05,9
2016-08-06,23
2016-08-07,32
2016-08-08,15
2016-08-11,14
2016-08-12,13
2016-08-13,19
2016-08-14,19
2016-08-15,2
2016-08-17,29
2016-08-18,25
2016-08-19,9
2016-08-20,8
2016-08-21,24
2016-08-24,21
2016-08-25,12
2016-08-26,16
2016-08-27,25
2016-08-28,28
2016-08-29,7
2016-08-30,8
2016-08-31,18
2016-09-01,2
2016-09-02,39
2016-09-03,10
2016-09-04,23
2016-09-07,14
2016-09-09,18
2016-09-10,23
2016-09-11,10
2016-09-12,4
2016-09-14,25
2016-09-15,25
2016-09-16,6
2016-09-17,36
2016-09-18,11
2016-09-19,9
2016-09-20,11
2016-09-21,23
2016-09-22,26
2016-09-23,20
2016-09-24,24
2016-09-25,15
2016-09-26,9
2016-09-28,37
2016-09-30,47
2016-10-01,13
2016-10-02,26
2016-10-04,5
2016-10-05,21
2016-10-06,3
2016-10-07,23
2016-10-08,9
2016-10-09,22
2016-10-10,19
2016-10-11,3
2016-10-12,9
2016-10-13,19
2016-10-14,20
2016-10-15,17
2016-10-16,45
2016-10-18,12
2016-10-19,22
2016-10-20,15
2016-10-21,3
2016-10-22,22
2016-10-23,26
2016-10-24,12
2016-10-25,11
2016-10-26,12
2016-10-27,6
2016-10-28,5
2016-10-29,45
2016-10-30,4
2016-10-31,20
2016-11-01,14
2016-11-02,5
2016-11-03,27
2016-11-04,26
2016-11-05,10
2016-11-06,14
2016-11-07,4
2016-11-08,3
2016-11-09,11
2016-11-10,19
2016-11-11,13
2016-11-13,25
2016-11-14,26
2016-11-16,13
2016-11-17,5
2016-11-18,15
2016-11-19,23
2016-11-20,37
2016-11-21,18
2016-11-22,7
2016-11-23,31
2016-11-24,4
2016-11-25,17
2016-11-26,26
2016-11-27,17
2016-11-28,13
2016-11-29,10
2016-11-30,14
2016-12-01,1
2016-12-02,10
2016-12-03,31
2016-12-04,24
2016-12-05,7
2016-12-07,4
2016-12-08,12
2016-12-09,29
2016-12-10,32
2016-12-11,7
2016-12-12,12
2016-12-13,3
2016-12-14,9
2016-12-15,8
2016-12-16,13
2016-12-17,54
2016-12-18,12
2016-12-19,20
2016-12-20,18
2016-12-21,21
2016-12-22,3
2016-12-23,47
2016-12-24,49
2016-12-25,19
2016-12-26,12
2016-12-27,3
2016-12-28,61
2016-12-29,10
2016-12-30,31
2016-12-31,22
2017-01-03,15
2017-01-04,32
2017-01-05,5
2017-01-06,19
2017-01-07,34
2017-01-08,21
2017-01-09,8
2017-01-11,24
2017-01-12,5
2017-01-13,14
2017-01-14,23
2017-01-15,4
2017-01-16,12
2017-01-17,8
2017-01-18,9
2017-01-19,3
2017-01-20,20
2017-01-21,43
2017-01-22,14
2017-01-25,18
2017-01-26,6
2017-01-27,31
2017-01-28,7
2017-01-29,29
2017-02-01,36
2017-02-02,3
2017-02-03,39
2017-02-04,28
2017-02-05,16
2017-02-06,16
2017-02-08,20
2017-02-09,2
2017-02-10,31
2017-02-11,2
2017-02-12,24
2017-02-13,22
2017-02-15,28
2017-02-16,13
2017-02-17,17
2017-02-18,27
2017-02-19,3
2017-02-20,17
2017-02-22,42
2017-02-23,15
2017-02-24,39
2017-02-25,20
2017-02-26,25
