date,visitors
2016-07-01,9
2016-07-02,7
2016-07-04,3
2016-07-05,8
2016-07-06,11
2016-07-07,7
2016-07-08,5
2016-07-09,9
2016-07-12,8
2016-07-13,11
2016-07-14,6
2016-07-15,10
2016-07-16,9
2016-07-18,6
2016-07-19,3
2016-07-20,7
2016-07-21,7
2016-07-22,5
2016-07-23,7
2016-07-25,8
2016-07-26,8
2016-07-27,6
2016-07-28,7
2016-07-29,9
2016-07-30,7
2016-08-01,7
2016-08-02,2
2016-08-03,6
2016-08-04,4
2016-08-05,5
2016-08-06,9
2016-08-08,9
2016-08-09,5
2016-08-10,12
2016-08-11,19
2016-08-12,3
2016-08-13,6
2016-08-16,8
2016-08-17,11
2016-08-18,7
2016-08-19,12
2016-08-20,3
2016-08-22,3
2016-08-23,17
2016-08-24,4
2016-08-25,7
2016-08-26,8
2016-08-27,18
2016-08-29,11
2016-08-30,2
2016-08-31,9
2016-09-01,4
2016-09-02,12
2016-09-03,10
2016-09-12,6
2016-09-13,6
2016-09-14,9
2016-09-15,10
2016-09-16,11
2016-09-17,15
2016-09-19,7
2016-09-20,7
2016-09-21,10
2016-09-22,8
2016-09-23,18
2016-09-24,11
2016-09-26,7
2016-09-27,9
2016-09-28,10
2016-09-29,9
2016-09-30,3
2016-10-01,20
2016-10-03,6
2016-10-04,6
2016-10-05,6
2016-10-06,14
2016-10-07,7
2016-10-08,6
2016-10-10,14
2016-10-11,9
2016-10-12,8
2016-10-13,11
2016-10-14,6
2016-10-15,15
2016-10-18,14
2016-10-19,10
2016-10-20,7
2016-10-21,4
2016-10-22,9
2016-10-24,8
2016-10-25,9
2016-10-26,7
2016-10-27,7
2016-10-28,6
2016-10-29,9
2016-10-31,8
2016-11-01,12
2016-11-02,6
2016-11-03,9
2016-11-04,6
2016-11-05,16
2016-11-08,6
2016-11-09,4
2016-11-10,9
2016-11-11,6
2016-11-12,17
2016-11-14,7
2016-11-15,11
2016-11-16,8
2016-11-17,14
2016-11-18,7
2016-11-19,5
2016-11-21,11
2016-11-22,7
2016-11-23,7
2016-11-24,16
2016-11-25,11
2016-11-26,21
2016-11-28,13
2016-11-29,7
2016-11-30,9
2016-12-01,17
2016-12-02,16
2016-12-03,23
2016-12-05,7
2016-12-06,9
2016-12-07,9
2016-12-08,6
2016-12-09,19
2016-12-10,9
2016-12-12,5
2016-12-13,9
2016-12-14,7
2016-12-15,7
2016-12-16,24
2016-12-17,7
2016-12-19,9
2016-12-20,6
2016-12-21,14
2016-12-22,15
2016-12-23,14
2016-12-24,14
2016-12-25,17
2016-12-26,9
2016-12-27,11
2016-12-28,9
2016-12-31,10
2017-01-07,16
2017-01-09,4
2017-01-10,9
2017-01-11,7
2017-01-12,8
2017-01-13,9
2017-01-14,16
2017-01-16,8
2017-01-17,9
2017-01-18,8
2017-01-19,3
2017-01-20,8
2017-01-21,8
2017-01-23,10
2017-01-24,5
2017-01-25,6
2017-01-26,7
2017-01-27,13
2017-01-28,11
2017-01-30,9
2017-01-31,1
2017-02-01,3
2017-02-02,3
2017-02-03,13
2017-02-04,10
2017-02-06,12
2017-02-07,7
2017-02-08,4
2017-02-09,10
2017-02-10,5
2017-02-11,8
2017-02-13,9
2017-02-14,10
2017-02-15,10
2017-02-16,8
2017-02-17,13
2017-02-18,8
2017-02-21,9
2017-02-22,3
2017-02-23,9
