date,visitors
2016-07-01,20
2016-07-02,23
2016-07-03,12
2016-07-05,17
2016-07-06,33
2016-07-07,28
2016-07-09,17
2016-07-10,26
2016-07-12,26
2016-07-13,17
2016-07-14,19
2016-07-15,18
2016-07-16,37
2016-07-17,23
2016-07-19,12
2016-07-20,21
2016-07-21,28
2016-07-22,16
2016-07-23,22
2016-07-24,37
2016-07-26,23
2016-07-27,27
2016-07-28,13
2016-07-29,18
2016-07-30,26
2016-07-31,15
2016-08-02,23
2016-08-03,16
2016-08-04,28
2016-08-05,27
2016-08-06,27
2016-08-07,30
2016-08-09,30
2016-08-10,36
2016-08-11,22
2016-08-12,32
2016-08-13,30
2016-08-14,11
2016-08-16,14
2016-08-17,29
2016-08-18,31
2016-08-19,25
2016-08-20,26
2016-08-21,17
2016-08-23,17
2016-08-24,27
2016-08-25,22
2016-08-26,19
2016-08-27,24
2016-08-28,26
2016-08-30,26
2016-08-31,27
2016-09-01,21
2016-09-02,18
2016-09-03,19
2016-09-04,13
2016-09-06,18
2016-09-07,19
2016-09-08,10
2016-09-09,17
2016-09-10,25
2016-09-11,31
2016-09-13,16
2016-09-14,22
2016-09-15,28
2016-09-16,23
2016-09-17,24
2016-09-18,27
2016-09-20,8
2016-09-21,11
2016-09-22,16
2016-09-23,18
2016-09-24,25
2016-09-25,16
2016-09-27,17
2016-09-28,20
2016-09-29,18
2016-09-30,21
2016-10-01,28
2016-10-02,22
2016-10-04,22
2016-10-05,20
2016-10-06,35
2016-10-07,17
2016-10-08,23
2016-10-09,32
2016-10-11,15
2016-10-12,18
2016-10-13,13
2016-10-14,14
2016-10-15,16
2016-10-16,33
2016-10-18,32
2016-10-19,38
2016-10-20,24
2016-10-21,30
2016-10-22,24
2016-10-23,26
2016-10-25,27
2016-10-26,22
2016-10-27,35
2016-10-28,14
2016-10-29,27
2016-10-30,26
2016-11-01,17
2016-11-02,22
2016-11-03,23
2016-11-04,28
2016-11-05,10
2016-11-06,34
2016-11-08,12
2016-11-09,17
2016-11-10,20
2016-11-11,24
2016-11-12,24
2016-11-13,13
2016-11-15,16
2016-11-16,32
2016-11-17,20
2016-11-18,24
2016-11-19,16
2016-11-20,26
2016-11-22,21
2016-11-23,22
2016-11-24,14
2016-11-25,8
2016-11-26,9
2016-11-27,23
2016-11-29,19
2016-11-30,18
2016-12-01,25
2016-12-02,13
2016-12-03,39
2016-12-04,35
2016-12-06,27
2016-12-07,37
2016-12-08,24
2016-12-09,25
2016-12-10,22
2016-12-11,39
2016-12-13,14
2016-12-14,24
2016-12-15,27
2016-12-16,14
2016-12-17,20
2016-12-18,25
2016-12-20,29
2016-12-21,21
2016-12-22,16
2016-12-23,25
2016-12-24,34
2016-12-25,44
2016-12-27,20
2016-12-28,34
2016-12-29,28
2016-12-30,25
2016-12-31,19
2017-01-07,22
2017-01-08,21
2017-01-10,19
2017-01-11,22
2017-01-12,22
2017-01-13,14
2017-01-14,13
2017-01-15,18
2017-01-17,18
2017-01-18,23
2017-01-19,24
2017-01-20,14
2017-01-21,22
2017-01-22,24
2017-01-24,20
2017-01-25,28
2017-01-26,19
2017-01-27,27
2017-01-28,29
2017-01-29,16
2017-01-31,24
2017-02-01,16
2017-02-02,20
2017-02-03,18
2017-02-04,40
2017-02-05,41
2017-02-07,16
2017-02-08,33
2017-02-09,14
2017-02-10,32
2017-02-11,35
2017-02-12,8
2017-02-13,1
2017-02-14,23
2017-02-15,22
2017-02-16,37
2017-02-17,15
2017-02-18,23
2017-02-19,38
2017-02-21,28
2017-02-22,46
2017-02-23,17
2017-02-24,27
