date,visitors
2016-01-04,19
2016-01-05,27
2016-01-06,25
2016-01-07,55
2016-01-08,63
2016-01-09,17
2016-01-10,13
2016-01-12,30
2016-01-13,41
2016-01-14,60
2016-01-15,56
2016-01-16,4
2016-01-17,27
2016-01-18,17
2016-01-19,32
2016-01-20,44
2016-01-21,82
2016-01-22,75
2016-01-23,8
2016-01-24,9
2016-01-25,17
2016-01-26,52
2016-01-27,56
2016-01-28,61
2016-01-29,64
2016-01-30,31
2016-01-31,33
2016-02-01,13
2016-02-02,10
2016-02-03,18
2016-02-04,21
2016-02-05,45
2016-02-06,34
2016-02-07,24
2016-02-08,25
2016-02-09,27
2016-02-10,51
2016-02-11,11
2016-02-12,55
2016-02-13,32
2016-02-14,18
2016-02-15,41
2016-02-16,17
2016-02-17,45
2016-02-18,31
2016-02-19,65
2016-02-20,56
2016-02-21,11
2016-02-22,32
2016-02-23,39
2016-02-24,28
2016-02-25,47
2016-02-26,37
2016-02-27,11
2016-02-28,26
2016-02-29,55
2016-03-01,38
2016-03-02,76
2016-03-03,39
2016-03-04,94
2016-03-05,15
2016-03-06,16
2016-03-07,9
2016-03-08,26
2016-03-09,52
2016-03-10,56
2016-03-11,87
2016-03-12,56
2016-03-13,9
2016-03-14,38
2016-03-15,74
2016-03-16,42
2016-03-17,38
2016-03-18,57
2016-03-19,63
2016-03-20,28
2016-03-21,7
2016-03-22,32
2016-03-23,71
2016-03-24,39
2016-03-25,82
2016-03-26,68
2016-03-27,54
2016-03-28,75
2016-03-29,53
2016-03-30,58
2016-03-31,97
2016-04-01,82
2016-04-02,23
2016-04-03,5
2016-04-04,42
2016-04-05,64
2016-04-06,40
2016-04-07,55
2016-04-08,78
2016-04-09,22
2016-04-11,12
2016-04-12,15
2016-04-13,50
2016-04-14,86
2016-04-15,119
2016-04-16,34
2016-04-17,9
2016-04-18,11
2016-04-19,10
2016-04-20,76
2016-04-21,36
2016-04-22,73
2016-04-23,28
2016-04-24,27
2016-04-25,55
2016-04-26,52
2016-04-27,71
2016-04-28,72
2016-04-29,40
2016-04-30,22
2016-05-01,6
2016-05-02,33
2016-05-03,31
2016-05-04,11
2016-05-05,6
2016-05-06,21
2016-05-07,11
2016-05-08,7
2016-05-09,26
2016-05-10,5
2016-05-11,61
2016-05-12,46
2016-05-13,64
2016-05-14,23
2016-05-15,25
2016-05-16,36
2016-05-17,43
2016-05-18,39
2016-05-19,35
2016-05-20,122
2016-05-21,5
2016-05-22,23
2016-05-23,30
2016-05-24,26
2016-05-25,76
2016-05-26,40
2016-05-27,66
2016-05-28,15
2016-05-30,15
2016-05-31,51
2016-06-01,11
2016-06-02,31
2016-06-03,66
2016-06-04,5
2016-06-05,13
2016-06-06,24
2016-06-07,28
2016-06-08,55
2016-06-09,12
2016-06-10,78
2016-06-11,57
2016-06-12,35
2016-06-13,17
2016-06-14,42
2016-06-15,13
2016-06-16,49
2016-06-17,63
2016-06-18,13
2016-06-19,18
2016-06-20,24
2016-06-21,37
2016-06-22,55
2016-06-23,54
2016-06-24,69
2016-06-25,31
2016-06-26,22
2016-06-27,24
2016-06-28,48
2016-06-29,55
2016-06-30,54
2016-07-01,56
2016-07-02,4
2016-07-03,2
2016-07-04,25
2016-07-05,68
2016-07-06,45
2016-07-07,21
2016-07-08,48
2016-07-09,3
2016-07-12,108
2016-07-13,38
2016-07-14,50
2016-07-15,68
2016-07-16,42
2016-07-17,2
2016-07-18,21
2016-07-19,29
2016-07-20,70
2016-07-21,45
2016-07-22,77
2016-07-23,24
2016-07-24,29
2016-07-25,39
2016-07-26,28
2016-07-27,29
2016-07-28,36
2016-07-29,93
2016-07-30,20
2016-07-31,2
2016-08-01,24
2016-08-02,12
2016-08-03,18
2016-08-04,56
2016-08-05,63
2016-08-06,34
2016-08-07,34
2016-08-08,20
2016-08-09,27
2016-08-10,59
2016-08-11,16
2016-08-12,1
2016-08-13,10
2016-08-14,9
2016-08-15,11
2016-08-17,38
2016-08-18,14
2016-08-19,70
2016-08-20,19
2016-08-21,10
2016-08-22,8
2016-08-23,54
2016-08-24,48
2016-08-25,33
2016-08-26,18
2016-08-27,37
2016-08-28,5
2016-08-29,16
2016-08-30,5
2016-08-31,59
2016-09-01,15
2016-09-02,57
2016-09-03,4
2016-09-04,9
2016-09-05,11
2016-09-06,19
2016-09-07,54
2016-09-08,42
2016-09-09,44
2016-09-10,14
2016-09-11,6
2016-09-12,30
2016-09-13,22
2016-09-14,55
2016-09-15,53
2016-09-16,72
2016-09-17,47
2016-09-18,7
2016-09-19,11
2016-09-20,14
2016-09-21,74
2016-09-22,31
2016-09-23,38
2016-09-24,43
2016-09-25,6
2016-09-26,15
2016-09-27,60
2016-09-28,63
2016-09-29,60
2016-09-30,124
2016-10-01,8
2016-10-02,35
2016-10-03,5
2016-10-04,26
2016-10-05,52
2016-10-06,71
2016-10-07,61
2016-10-08,73
2016-10-09,17
2016-10-10,21
2016-10-11,12
2016-10-12,82
2016-10-13,52
2016-10-14,84
2016-10-15,5
2016-10-16,37
2016-10-17,53
2016-10-18,42
2016-10-19,21
2016-10-20,59
2016-10-21,67
2016-10-22,12
2016-10-23,2
2016-10-24,28
2016-10-25,41
2016-10-26,83
2016-10-27,65
2016-10-28,62
2016-10-29,28
2016-10-30,8
2016-10-31,60
2016-11-01,7
2016-11-02,33
2016-11-03,12
2016-11-04,16
2016-11-05,18
2016-11-06,47
2016-11-07,22
2016-11-08,10
2016-11-09,52
2016-11-10,49
2016-11-11,60
2016-11-12,20
2016-11-13,19
2016-11-14,15
2016-11-15,14
2016-11-16,46
2016-11-17,43
2016-11-18,41
2016-11-19,12
2016-11-20,6
2016-11-21,28
2016-11-22,53
2016-11-23,18
2016-11-24,39
2016-11-25,52
2016-11-26,43
2016-11-27,27
2016-11-28,27
2016-11-29,14
2016-11-30,27
2016-12-01,58
2016-12-02,105
2016-12-03,37
2016-12-04,5
2016-12-05,41
2016-12-06,35
2016-12-07,57
2016-12-08,48
2016-12-09,121
2016-12-10,30
2016-12-11,35
2016-12-12,38
2016-12-13,45
2016-12-14,54
2016-12-15,105
2016-12-16,75
2016-12-17,47
2016-12-18,12
2016-12-19,51
2016-12-20,72
2016-12-21,90
2016-12-22,90
2016-12-23,8
2016-12-24,15
2016-12-25,4
2016-12-26,79
2016-12-27,68
2016-12-28,97
2016-12-29,17
2016-12-30,38
2017-01-04,22
2017-01-05,15
2017-01-06,44
2017-01-07,21
2017-01-08,14
2017-01-09,11
2017-01-10,37
2017-01-11,23
2017-01-12,63
2017-01-13,93
2017-01-14,38
2017-01-15,4
