date,visitors
2016-01-03,5
2016-01-04,1
2016-01-05,7
2016-01-06,7
2016-01-07,9
2016-01-08,9
2016-01-09,8
2016-01-10,23
2016-01-11,15
2016-01-12,10
2016-01-13,8
2016-01-15,15
2016-01-16,8
2016-01-17,17
2016-01-18,9
2016-01-19,4
2016-01-20,11
2016-01-22,8
2016-01-23,12
2016-01-26,5
2016-01-27,14
2016-01-29,6
2016-01-30,13
2016-01-31,38
2016-02-01,9
2016-02-02,11
2016-02-03,8
2016-02-05,6
2016-02-06,28
2016-02-07,25
2016-02-09,13
2016-02-10,12
2016-02-11,36
2016-02-12,4
2016-02-13,18
2016-02-14,29
2016-02-15,7
2016-02-16,13
2016-02-17,9
2016-02-19,13
2016-02-20,21
2016-02-21,39
2016-02-23,12
2016-02-24,11
2016-02-25,1
2016-02-26,8
2016-02-27,11
2016-02-28,25
2016-02-29,6
2016-03-02,7
2016-03-03,10
2016-03-04,15
2016-03-05,11
2016-03-06,20
2016-03-08,11
2016-03-09,10
2016-03-11,11
2016-03-12,15
2016-03-13,20
2016-03-14,13
2016-03-15,17
2016-03-16,13
2016-03-17,19
2016-03-18,10
2016-03-19,15
2016-03-20,44
2016-03-21,33
2016-03-22,20
2016-03-25,12
2016-03-26,16
2016-03-27,22
2016-03-28,9
2016-03-29,13
2016-03-30,11
2016-04-01,14
2016-04-02,25
2016-04-03,36
2016-04-04,10
2016-04-06,12
2016-04-08,4
2016-04-09,21
2016-04-10,26
2016-04-12,11
2016-04-13,10
2016-04-15,8
2016-04-16,17
2016-04-17,17
2016-04-18,9
2016-04-19,11
2016-04-20,11
2016-04-22,6
2016-04-23,14
2016-04-25,5
2016-04-26,13
2016-04-27,11
2016-04-28,1
2016-04-29,25
2016-04-30,38
2016-05-01,38
2016-05-02,34
2016-05-03,31
2016-05-04,56
2016-05-05,37
2016-05-06,12
2016-05-07,15
2016-05-08,23
2016-05-10,8
2016-05-11,9
2016-05-13,9
2016-05-14,27
2016-05-15,18
2016-05-17,13
2016-05-18,15
2016-05-20,7
2016-05-21,22
2016-05-22,28
2016-05-23,6
2016-05-24,12
2016-05-25,7
2016-05-27,5
2016-05-28,20
2016-05-29,12
2016-06-01,6
2016-06-03,10
2016-06-04,8
2016-06-05,15
2016-06-06,6
2016-06-07,5
2016-06-08,8
2016-06-10,10
2016-06-11,15
2016-06-12,23
2016-06-13,8
2016-06-14,14
2016-06-15,7
2016-06-17,7
2016-06-18,19
2016-06-19,24
2016-06-20,7
2016-06-21,4
2016-06-24,11
2016-06-25,16
2016-06-26,24
2016-06-27,1
2016-06-28,9
2016-06-29,6
2016-07-01,8
2016-07-02,10
2016-07-03,23
2016-07-04,5
2016-07-05,7
2016-07-06,11
2016-07-08,19
2016-07-09,12
2016-07-10,23
2016-07-11,6
2016-07-12,9
2016-07-13,5
2016-07-15,9
2016-07-16,10
2016-07-17,33
2016-07-18,21
2016-07-19,14
2016-07-20,13
2016-07-22,7
2016-07-23,13
2016-07-24,25
2016-07-25,6
2016-07-26,6
2016-07-27,12
2016-07-29,4
2016-07-30,23
2016-07-31,20
2016-08-01,12
2016-08-02,4
2016-08-03,6
2016-08-05,9
2016-08-06,12
2016-08-07,26
2016-08-08,3
2016-08-09,7
2016-08-10,9
2016-08-11,14
2016-08-12,16
2016-08-13,18
2016-08-14,31
2016-08-15,26
2016-08-17,14
2016-08-19,13
2016-08-20,12
2016-08-21,12
2016-08-27,18
2016-08-28,15
2016-09-02,9
2016-09-03,9
2016-09-04,8
2016-09-05,10
2016-09-06,5
2016-09-07,12
2016-09-09,8
2016-09-10,18
2016-09-11,15
2016-09-12,3
2016-09-13,5
2016-09-14,6
2016-09-16,11
2016-09-17,8
2016-09-18,5
2016-09-19,21
2016-09-20,8
2016-09-21,15
2016-09-22,25
2016-09-23,6
2016-09-24,13
2016-09-25,21
2016-09-26,5
2016-09-27,13
2016-09-28,3
2016-09-30,8
2016-10-01,12
2016-10-02,12
2016-10-03,8
2016-10-04,7
2016-10-08,7
2016-10-09,13
2016-10-10,11
2016-10-11,12
2016-10-12,6
2016-10-14,4
2016-10-15,23
2016-10-16,25
2016-10-17,8
2016-10-18,13
2016-10-19,8
2016-10-21,4
2016-10-22,13
2016-10-23,22
2016-10-24,10
2016-10-25,7
2016-10-26,6
2016-10-28,5
2016-10-29,3
2016-10-30,21
2016-10-31,3
2016-11-01,4
2016-11-02,4
2016-11-03,15
2016-11-04,1
2016-11-05,5
2016-11-06,27
2016-11-07,8
2016-11-08,10
2016-11-09,9
2016-11-11,4
2016-11-12,18
2016-11-13,14
2016-11-14,9
2016-11-15,12
2016-11-16,8
2016-11-18,4
2016-11-19,4
2016-11-20,17
2016-11-21,6
2016-11-22,9
2016-11-23,19
2016-11-25,2
2016-11-26,7
2016-11-27,14
2016-11-28,7
2016-11-29,8
2016-11-30,6
2016-12-01,3
2016-12-02,4
2016-12-03,14
2016-12-04,8
2016-12-05,10
2016-12-06,9
2016-12-07,12
2016-12-09,7
2016-12-10,21
2016-12-11,12
2016-12-12,3
2016-12-13,1
2016-12-14,1
2016-12-15,1
2016-12-16,3
2016-12-17,18
2016-12-18,14
2016-12-19,1
2016-12-20,2
2016-12-21,6
2016-12-23,14
2016-12-24,7
2016-12-25,20
2016-12-26,4
2016-12-27,13
2016-12-28,8
2016-12-29,1
2017-01-06,4
2017-01-07,6
2017-01-10,6
2017-01-11,5
2017-01-13,3
2017-01-14,6
2017-01-16,4
2017-01-17,4
2017-01-20,3
2017-01-21,12
