date,visitors
2016-01-06,29
2016-01-07,20
2016-01-08,27
2016-01-09,47
2016-01-10,92
2016-01-11,64
2016-01-12,17
2016-01-13,34
2016-01-14,28
2016-01-15,35
2016-01-16,63
2016-01-17,41
2016-01-18,11
2016-01-19,34
2016-01-20,23
2016-01-21,38
2016-01-22,37
2016-01-23,42
2016-01-24,44
2016-01-25,34
2016-01-26,27
2016-01-27,51
2016-01-28,38
2016-01-29,15
2016-01-30,52
2016-01-31,64
2016-02-01,19
2016-02-02,17
2016-02-03,27
2016-02-04,35
2016-02-05,42
2016-02-06,118
2016-02-07,93
2016-02-08,40
2016-02-09,57
2016-02-10,54
2016-02-11,95
2016-02-12,53
2016-02-13,88
2016-02-14,80
2016-02-15,29
2016-02-16,49
2016-02-17,50
2016-02-18,44
2016-02-19,39
2016-02-20,38
2016-02-21,70
2016-02-22,35
2016-02-23,61
2016-02-24,40
2016-02-25,53
2016-02-26,62
2016-02-27,103
2016-02-28,82
2016-02-29,25
2016-03-02,38
2016-03-03,58
2016-03-04,43
2016-03-05,66
2016-03-06,77
2016-03-07,17
2016-03-08,32
2016-03-09,21
2016-03-10,53
2016-03-11,32
2016-03-12,55
2016-03-13,75
2016-03-14,35
2016-03-15,35
2016-03-16,50
2016-03-17,42
2016-03-18,52
2016-03-19,42
2016-03-20,103
2016-03-21,63
2016-03-22,28
2016-03-23,39
2016-03-24,22
2016-03-25,36
2016-03-26,52
2016-03-27,76
2016-03-28,30
2016-03-29,61
2016-03-30,36
2016-03-31,48
2016-04-01,32
2016-04-02,56
2016-04-03,73
2016-04-05,30
2016-04-06,34
2016-04-07,20
2016-04-08,44
2016-04-09,87
2016-04-10,94
2016-04-12,33
2016-04-13,22
2016-04-14,26
2016-04-15,32
2016-04-16,96
2016-04-17,55
2016-04-19,28
2016-04-20,38
2016-04-21,19
2016-04-22,38
2016-04-23,45
2016-04-24,34
2016-04-26,26
2016-04-27,22
2016-04-28,8
2016-04-29,46
2016-04-30,38
2016-05-01,56
2016-05-02,34
2016-05-03,68
2016-05-04,70
2016-05-05,92
2016-05-06,18
2016-05-07,75
2016-05-08,76
2016-05-10,30
2016-05-11,31
2016-05-12,34
2016-05-13,29
2016-05-14,55
2016-05-15,50
2016-05-16,13
2016-05-17,14
2016-05-18,47
2016-05-19,26
2016-05-20,27
2016-05-21,31
2016-05-22,87
2016-05-25,24
2016-05-26,28
2016-05-27,20
2016-05-28,43
2016-05-29,40
2016-05-30,9
2016-05-31,14
2016-06-01,29
2016-06-02,18
2016-06-03,31
2016-06-04,55
2016-06-05,44
2016-06-06,19
2016-06-07,27
2016-06-08,30
2016-06-09,29
2016-06-10,29
2016-06-11,40
2016-06-12,43
2016-06-13,14
2016-06-14,28
2016-06-15,15
2016-06-16,23
2016-06-17,23
2016-06-18,41
2016-06-19,44
2016-06-20,24
2016-06-21,21
2016-06-22,22
2016-06-23,17
2016-06-24,25
2016-06-25,53
2016-06-26,45
