date,visitors
2016-07-01,67
2016-07-02,50
2016-07-03,6
2016-07-04,26
2016-07-05,44
2016-07-06,32
2016-07-07,21
2016-07-08,74
2016-07-09,50
2016-07-10,8
2016-07-11,24
2016-07-12,59
2016-07-13,53
2016-07-14,26
2016-07-15,84
2016-07-16,39
2016-07-17,6
2016-07-19,35
2016-07-20,27
2016-07-21,22
2016-07-22,78
2016-07-23,51
2016-07-25,45
2016-07-26,57
2016-07-27,41
2016-07-28,25
2016-07-29,52
2016-07-30,35
2016-07-31,14
2016-08-01,25
2016-08-02,29
2016-08-03,38
2016-08-04,36
2016-08-05,50
2016-08-06,64
2016-08-08,35
2016-08-09,22
2016-08-10,57
2016-08-11,21
2016-08-13,36
2016-08-17,28
2016-08-18,10
2016-08-19,72
2016-08-20,38
2016-08-21,10
2016-08-22,49
2016-08-23,43
2016-08-24,48
2016-08-25,36
2016-08-26,27
2016-08-27,40
2016-08-28,10
2016-08-29,34
2016-08-30,30
2016-08-31,34
2016-09-01,37
2016-09-02,23
2016-09-03,70
2016-09-04,3
2016-09-05,27
2016-09-06,30
2016-09-07,38
2016-09-08,16
2016-09-09,32
2016-09-10,50
2016-09-11,12
2016-09-12,29
2016-09-13,39
2016-09-14,30
2016-09-15,46
2016-09-16,53
2016-09-18,130
2016-09-19,4
2016-09-20,32
2016-09-21,36
2016-09-23,47
2016-09-24,45
2016-09-25,14
2016-09-26,31
2016-09-27,37
2016-09-28,38
2016-09-29,22
2016-09-30,59
2016-10-01,49
2016-10-02,28
2016-10-03,17
2016-10-04,29
2016-10-05,42
2016-10-06,48
2016-10-07,41
2016-10-08,27
2016-10-09,8
2016-10-11,34
2016-10-12,35
2016-10-13,33
2016-10-14,41
2016-10-15,87
2016-10-16,4
2016-10-17,61
2016-10-18,39
2016-10-19,39
2016-10-20,49
2016-10-21,42
2016-10-22,67
2016-10-24,14
2016-10-25,33
2016-10-26,32
2016-10-27,19
2016-10-28,34
2016-10-29,36
2016-10-31,13
2016-11-01,38
2016-11-02,43
2016-11-03,12
2016-11-04,27
2016-11-05,79
2016-11-06,2
2016-11-07,21
2016-11-08,17
2016-11-09,21
2016-11-10,27
2016-11-11,24
2016-11-12,38
2016-11-14,16
2016-11-15,35
2016-11-16,57
2016-11-17,20
2016-11-18,37
2016-11-19,54
2016-11-20,22
2016-11-21,49
2016-11-22,42
2016-11-23,19
2016-11-24,21
2016-11-25,46
2016-11-26,43
2016-11-27,6
2016-11-28,39
2016-11-29,33
2016-11-30,47
2016-12-01,32
2016-12-02,44
2016-12-03,100
2016-12-04,24
2016-12-05,32
2016-12-06,37
2016-12-07,62
2016-12-08,34
2016-12-09,46
2016-12-10,43
2016-12-11,25
2016-12-12,39
2016-12-13,34
2016-12-14,16
2016-12-15,39
2016-12-16,67
2016-12-17,61
2016-12-18,4
2016-12-19,39
2016-12-20,50
2016-12-21,38
2016-12-22,9
2016-12-23,31
2016-12-24,27
2016-12-25,10
2016-12-26,39
2016-12-27,41
2016-12-28,16
2016-12-30,23
2017-01-05,30
2017-01-06,30
2017-01-07,25
2017-01-08,7
2017-01-10,55
2017-01-11,39
2017-01-12,33
2017-01-13,48
2017-01-14,43
2017-01-16,25
2017-01-17,46
2017-01-18,31
2017-01-19,55
2017-01-20,43
2017-01-21,42
2017-01-23,33
2017-01-24,34
2017-01-25,53
2017-01-26,19
2017-01-27,50
2017-01-28,38
2017-01-29,4
2017-01-30,42
2017-01-31,34
2017-02-01,39
2017-02-02,44
2017-02-03,54
2017-02-04,28
2017-02-05,32
2017-02-06,18
2017-02-07,46
2017-02-08,36
2017-02-09,39
2017-02-10,47
2017-02-11,9
2017-02-12,43
2017-02-13,34
2017-02-14,50
2017-02-15,48
2017-02-16,28
2017-02-17,53
2017-02-18,29
2017-02-19,6
2017-02-20,30
2017-02-21,65
2017-02-22,28
2017-02-23,64
2017-02-24,37
