date,visitors
2016-01-07,29
2016-01-08,39
2016-01-09,14
2016-01-10,27
2016-01-11,8
2016-01-12,27
2016-01-13,29
2016-01-14,16
2016-01-15,20
2016-01-16,26
2016-01-17,10
2016-01-18,15
2016-01-19,34
2016-01-20,15
2016-01-21,26
2016-01-22,23
2016-01-23,30
2016-01-24,20
2016-01-25,5
2016-01-26,24
2016-01-27,33
2016-01-28,57
2016-01-29,22
2016-01-30,21
2016-01-31,5
2016-02-01,17
2016-02-02,44
2016-02-03,22
2016-02-04,27
2016-02-05,39
2016-02-06,24
2016-02-07,20
2016-02-08,14
2016-02-09,38
2016-02-10,39
2016-02-11,8
2016-02-12,25
2016-02-13,33
2016-02-14,9
2016-02-15,27
2016-02-16,34
2016-02-17,31
2016-02-18,20
2016-02-19,29
2016-02-20,14
2016-02-22,54
2016-02-23,34
2016-02-24,49
2016-02-25,51
2016-02-26,42
2016-02-27,42
2016-02-28,8
2016-02-29,14
2016-03-01,57
2016-03-02,31
2016-03-03,59
2016-03-04,42
2016-03-05,31
2016-03-06,11
2016-03-07,28
2016-03-08,51
2016-03-09,43
2016-03-10,34
2016-03-11,31
2016-03-12,36
2016-03-14,10
2016-03-15,30
2016-03-16,45
2016-03-17,39
2016-03-18,44
2016-03-19,29
2016-03-20,35
2016-03-22,33
2016-03-23,28
2016-03-24,47
2016-03-25,38
2016-03-26,19
2016-03-27,25
2016-03-28,20
2016-03-29,50
2016-03-30,40
2016-03-31,45
2016-04-01,81
2016-04-02,17
2016-04-03,11
2016-04-04,24
2016-04-05,43
2016-04-06,42
2016-04-07,42
2016-04-08,39
2016-04-09,19
2016-04-10,15
2016-04-11,16
2016-04-12,49
2016-04-13,32
2016-04-14,52
2016-04-15,29
2016-04-16,20
2016-04-17,16
2016-04-18,10
2016-04-19,40
2016-04-20,40
2016-04-21,43
2016-04-22,35
2016-04-23,23
2016-04-24,10
2016-04-25,15
2016-04-26,44
2016-04-27,60
2016-04-28,50
2016-04-29,27
2016-04-30,16
2016-05-01,18
2016-05-02,28
2016-05-06,21
2016-05-07,24
2016-05-08,6
2016-05-09,16
2016-05-10,39
2016-05-11,42
2016-05-12,58
2016-05-13,25
2016-05-14,40
2016-05-15,14
2016-05-16,16
2016-05-17,51
2016-05-18,40
2016-05-19,49
2016-05-20,36
2016-05-21,27
2016-05-22,12
2016-05-23,26
2016-05-24,53
2016-05-25,43
2016-05-26,39
2016-05-27,39
2016-05-28,32
2016-05-29,30
2016-05-30,31
2016-05-31,38
2016-06-01,39
2016-06-02,49
2016-06-03,49
2016-06-04,28
2016-06-05,18
2016-06-07,35
2016-06-08,41
2016-06-09,46
2016-06-10,47
2016-06-11,30
2016-06-12,29
2016-06-13,12
2016-06-14,36
2016-06-15,88
2016-06-16,56
2016-06-17,47
2016-06-18,32
2016-06-19,20
2016-06-20,14
2016-06-21,46
2016-06-22,46
2016-06-23,32
2016-06-24,33
2016-06-25,51
2016-06-26,24
2016-06-27,10
2016-06-28,44
2016-06-29,54
2016-06-30,34
2016-07-01,42
