date,visitors
2016-07-01,26
2016-07-02,37
2016-07-03,31
2016-07-04,24
2016-07-05,11
2016-07-06,15
2016-07-07,16
2016-07-08,30
2016-07-09,23
2016-07-10,25
2016-07-11,26
2016-07-12,12
2016-07-13,13
2016-07-14,23
2016-07-15,16
2016-07-16,19
2016-07-17,22
2016-07-18,15
2016-07-19,10
2016-07-20,27
2016-07-21,16
2016-07-22,20
2016-07-23,19
2016-07-24,22
2016-07-25,23
2016-07-26,14
2016-07-27,18
2016-07-28,19
2016-07-29,19
2016-07-30,20
2016-07-31,22
2016-08-01,18
2016-08-02,13
2016-08-03,28
2016-08-04,18
2016-08-05,11
2016-08-06,18
2016-08-07,13
2016-08-08,17
2016-08-09,10
2016-08-10,16
2016-08-11,30
2016-08-12,22
2016-08-13,7
2016-08-14,17
2016-08-15,23
2016-08-16,16
2016-08-17,13
2016-08-18,19
2016-08-19,16
2016-08-20,17
2016-08-21,21
2016-08-22,10
2016-08-23,11
2016-08-24,12
2016-08-25,22
2016-08-26,17
2016-08-27,19
2016-08-28,17
2016-08-29,16
2016-08-30,18
2016-08-31,11
2016-09-01,13
2016-09-02,16
2016-09-03,17
2016-09-04,17
2016-09-05,20
2016-09-06,10
2016-09-07,7
2016-09-08,13
2016-09-09,17
2016-09-10,24
2016-09-11,21
2016-09-12,15
2016-09-13,10
2016-09-14,10
2016-09-15,11
2016-09-16,20
2016-09-17,21
2016-09-18,27
2016-09-19,23
2016-09-20,10
2016-09-21,12
2016-09-22,19
2016-09-23,17
2016-09-24,25
2016-09-25,22
2016-09-26,22
2016-09-27,13
2016-09-28,19
2016-09-29,11
2016-09-30,34
2016-10-01,24
2016-10-02,23
2016-10-03,22
2016-10-04,13
2016-10-05,15
2016-10-06,19
2016-10-07,16
2016-10-08,23
2016-10-09,18
2016-10-10,21
2016-10-11,14
2016-10-12,7
2016-10-13,15
2016-10-14,19
2016-10-15,27
2016-10-16,16
2016-10-17,16
2016-10-18,13
2016-10-19,11
2016-10-20,13
2016-10-21,23
2016-10-22,27
2016-10-23,21
2016-10-24,15
2016-10-25,9
2016-10-26,11
2016-10-27,20
2016-10-28,12
2016-10-29,25
2016-10-30,14
2016-10-31,24
2016-11-01,7
2016-11-02,6
2016-11-03,21
2016-11-04,9
2016-11-05,17
2016-11-06,10
2016-11-07,10
2016-11-08,12
2016-11-09,7
2016-11-10,8
2016-11-11,16
2016-11-12,18
2016-11-13,19
2016-11-14,11
2016-11-15,12
2016-11-16,13
2016-11-17,12
2016-11-18,18
2016-11-19,21
2016-11-20,19
2016-11-21,13
2016-11-22,9
2016-11-23,12
2016-11-24,12
2016-11-25,20
2016-11-26,15
2016-11-27,16
2016-11-28,13
2016-11-29,2
2016-11-30,3
2016-12-01,12
2016-12-02,22
2016-12-03,22
2016-12-04,20
2016-12-05,15
2016-12-06,10
2016-12-07,12
2016-12-08,9
2016-12-09,14
2016-12-10,27
2016-12-11,17
2016-12-12,9
2016-12-13,12
2016-12-14,16
2016-12-15,10
2016-12-16,7
2016-12-17,20
2016-12-18,13
2016-12-19,9
2016-12-20,9
2016-12-21,11
2016-12-22,17
2016-12-23,16
2016-12-24,23
2016-12-25,20
2016-12-26,5
2016-12-27,14
2016-12-28,11
2016-12-29,16
2016-12-30,17
2016-12-31,16
2017-01-02,20
2017-01-03,23
2017-01-04,13
2017-01-05,7
2017-01-06,14
2017-01-07,17
2017-01-08,24
2017-01-09,12
2017-01-10,6
2017-01-11,4
2017-01-12,10
2017-01-13,11
2017-01-14,14
2017-01-15,10
2017-01-16,15
2017-01-17,9
2017-01-18,9
2017-01-19,16
2017-01-20,10
2017-01-21,27
2017-01-22,20
2017-01-23,15
2017-01-24,14
2017-01-25,17
2017-01-26,14
2017-01-27,8
2017-01-28,23
2017-01-29,20
2017-01-30,10
2017-01-31,11
2017-02-01,14
2017-02-02,10
2017-02-03,9
2017-02-04,19
2017-02-05,20
2017-02-06,9
2017-02-07,15
2017-02-08,10
2017-02-09,14
2017-02-10,11
