date,visitors
2016-01-07,5
2016-01-08,14
2016-01-09,45
2016-01-10,34
2016-01-11,25
2016-01-12,14
2016-01-13,27
2016-01-14,24
2016-01-15,37
2016-01-16,41
2016-01-17,22
2016-01-19,30
2016-01-20,15
2016-01-21,10
2016-01-22,16
2016-01-23,58
2016-01-24,5
2016-01-26,6
2016-01-27,25
2016-01-28,6
2016-01-29,26
2016-01-30,65
2016-01-31,5
2016-02-01,4
2016-02-02,8
2016-02-03,25
2016-02-04,31
2016-02-05,25
2016-02-06,46
2016-02-07,18
2016-02-08,14
2016-02-09,27
2016-02-10,43
2016-02-11,16
2016-02-12,34
2016-02-13,46
2016-02-14,19
2016-02-15,16
2016-02-16,24
2016-02-17,30
2016-02-18,27
2016-02-19,21
2016-02-20,38
2016-02-21,10
2016-02-22,13
2016-02-23,24
2016-02-24,15
2016-02-25,8
2016-02-26,39
2016-02-27,46
2016-02-28,23
2016-02-29,12
2016-03-01,23
2016-03-02,9
2016-03-03,16
2016-03-04,30
2016-03-05,40
2016-03-06,23
2016-03-07,18
2016-03-08,11
2016-03-09,10
2016-03-10,5
2016-03-11,37
2016-03-12,57
2016-03-13,23
2016-03-14,5
2016-03-15,34
2016-03-16,31
2016-03-17,26
2016-03-18,32
2016-03-19,37
2016-03-20,26
2016-03-21,11
2016-03-22,10
2016-03-23,44
2016-03-24,9
2016-03-25,21
2016-03-26,62
2016-03-27,12
2016-03-28,16
2016-03-29,23
2016-03-30,38
2016-03-31,38
2016-04-01,71
2016-04-02,59
2016-04-03,13
2016-04-04,6
2016-04-05,39
2016-04-06,34
2016-04-07,25
2016-04-08,19
2016-04-09,44
2016-04-10,11
2016-04-11,1
2016-04-12,26
2016-04-13,34
2016-04-14,44
2016-04-15,31
2016-04-16,59
2016-04-18,5
2016-04-19,12
2016-04-20,30
2016-04-21,21
2016-04-22,22
2016-04-23,50
2016-04-24,12
2016-04-25,1
2016-04-26,19
2016-04-27,15
2016-04-28,54
2016-04-29,42
2016-04-30,25
2016-05-01,43
2016-05-02,22
2016-05-03,35
2016-05-04,35
2016-05-05,15
2016-05-06,31
2016-05-07,24
2016-05-08,20
2016-05-09,6
2016-05-10,19
2016-05-11,13
2016-05-12,11
2016-05-13,20
2016-05-14,24
2016-05-15,30
2016-05-16,3
2016-05-17,17
2016-05-18,19
2016-05-19,15
2016-05-20,15
2016-05-21,46
2016-05-22,11
2016-05-23,8
2016-05-24,14
2016-05-25,20
2016-05-26,43
2016-05-27,37
2016-05-28,44
2016-05-29,22
2016-05-30,9
2016-05-31,16
2016-06-01,17
2016-06-02,16
2016-06-03,31
2016-06-04,57
2016-06-05,31
2016-06-06,13
2016-06-07,27
2016-06-08,20
2016-06-09,33
2016-06-10,17
2016-06-11,52
2016-06-12,49
2016-06-13,5
2016-06-14,30
2016-06-15,10
2016-06-16,20
2016-06-17,23
2016-06-18,75
2016-06-19,10
2016-06-20,10
2016-06-21,22
2016-06-22,10
2016-06-23,27
2016-06-24,50
2016-06-25,24
2016-06-26,53
2016-06-27,5
2016-06-28,31
2016-06-29,20
2016-06-30,17
2016-07-01,16
2016-07-02,66
2016-07-03,26
2016-07-04,6
2016-07-05,22
2016-07-06,22
2016-07-07,22
2016-07-08,35
2016-07-09,36
2016-07-10,25
2016-07-11,9
2016-07-12,22
2016-07-13,24
2016-07-14,23
2016-07-15,31
2016-07-16,43
2016-07-17,27
2016-07-18,9
2016-07-19,5
2016-07-20,24
2016-07-21,42
2016-07-22,14
2016-07-23,80
2016-07-24,17
2016-07-25,6
2016-07-26,28
2016-07-27,11
2016-07-28,13
2016-07-29,14
2016-07-30,30
2016-07-31,44
2016-08-01,4
2016-08-02,26
2016-08-03,33
2016-08-04,25
2016-08-05,4
2016-08-06,36
2016-08-07,57
2016-08-08,16
2016-08-09,26
